"Année","Code SINOE ISDND","Nom  ISDND","Téléphone","Fax","Date d'ouverture  ISDND","Adresse  ISDND","Adresse ISDND (suite)","Code postal ISDND","Commune  ISDND","Code commune ISDND","Libellé de la commune ISDND","Code du département ISDND","Nom de la région ISDND","Mode de gestion  ISDND","Géolocalisation  ISDND
Longitude (Mercator)","Géolocalisation  ISDND
Latitude (Mercator)","Géolocalisation  ISDND
 Indicateur qualité","Géolocalisation  ISDND
Niveau de précision","Code SINOE Exploitant","Nom Exploitant ","Code type SINOE Exploitant","Libellé type SINOE Exploitant","Adresse Exploitant","Adresse Exploitant (suite)","Code postal Exploitant","Bureau distributeur Exploitant","Téléphone Exploitant","Fax Exploitant","Capacité réglementaire ISDND","lat","lon"
2016,23241,"Bioréacteur de Labessière",,,"20/11/2006","les Courtials","Pôle des énergies Renouvelables",81300,"Labessière-Candeil","81117","Labessière-Candeil","81","Occitanie","Régie",228423,5431730,1,"Géolocalisation manuelle",3645,"Trifyl","04H","Syndicat mixte","Route de Sieurac",,81300,"Labessiere-candeil",563812300,563812301,180000,43.779268,2.050871
2016,106855,"Carrière-isdnd Amiante Saint-martin-du-tertre",130356416,130356813,"30/10/2014","Isdi Picheta Route Départementale 909",,95270,"Saint-Martin-du-Tertre","95566","Saint-Martin-du-Tertre","95","Ile-de-France",,259633,6291980,-1,"Centroïde de la commune",2654,"Picheta","05","Entreprises et artisans","13, route de Conflans","BP 60",95480,"Pierrelaye",134643434,134641451,40000,49.106237,2.345397
2016,41679,"Centre Stockage Badaroux Lozère",466499030,466499031,"01/07/2003","Redoundel",,48000,"Badaroux","48013","Badaroux","48","Occitanie","Régie",395544,5550360,-1,"Centroïde de la commune",1436,"Syndicat Départemental d'Energie et d'Equipement de la Lozère","04H","Syndicat mixte","12, Boulevard Henri Bourrillon",,48000,"Mende",466653501,466657779,24000,44.569317,3.52654
2016,6320,"Centre de Clerac",546040338,,"16/12/1996","le Bois Rousseau",,17270,"Clérac","17110","Clérac","17","Nouvelle-Aquitaine","Gestion privée",-25283.1,5649820,0.409572,"Géolocalisation effectuée - Qualité insuffisante",2951,"Sotrival","05","Entreprises et artisans","le Bois Rousseau",,17270,"CLERAC",546040338,546042634,185000,45.200016,-0.22913
2016,5537,"Centre de Sainte Severe",545805944,545658255,"01/02/1979","la Forêt de Jarnac",,16200,"Sainte-Sévère","16349","Sainte-Sévère","16","Nouvelle-Aquitaine","Délégation de service public",-28755.3,5742850,-1,"Centroïde de la commune",3881,"Aproval 16","05","Entreprises et artisans","Zi de la Braconne",,16600,"MORNAC",545659197,545659099,70000,45.754874,-0.285199
2016,93112,"Centre de Stockage  de Hitia'a-o-te-ra",,,"01/01/2012","Adresse Nc",,98705,"Hitia'a-O-Te-Ra","98722","Hitia'a-O-Te-Ra","987","Dom-Com","Gestion privée",-16631100,-1984500,-1,"Centroïde de la commune",45554,"Teraiharoa Edwin","05","Entreprises et artisans","Adresse Nc",,98705,"Hitia'a-O-Te-Ra",,,0,,
2016,94930,"Centre de Stockage Aire-sur-l'adour",558032138,558064838,"23/10/2013","Chemin du rouzet",,40800,"Aire-sur-l'Adour","40001","Aire-sur-l'Adour","40","Nouvelle-Aquitaine","Gestion privée",-30304.4,5418120,-1,"Centroïde de la commune",57417,"Terralia","05","Entreprises et artisans","Chemin du Rouzet",,40800,"Aire-sur-l'Adour",558032138,,62000,43.743847,-0.218511
2016,78206,"Centre de Stockage Kourou",,,,"Kourou - Zone Pariacabo",,97310,"Kourou","97304","Kourou","973","Dom-Com","Délégation de service public",-5870880,547859,-1,"Centroïde de la commune",56318,"Gaia","05","Entreprises et artisans","Chemin Moges",,97351,"Matoury",594346629,,20000,4.910723,-52.737962
2016,108306,"Centre de Stockage Milhac-d'auberoche",,,"20/11/2014","Lieu Dit Madaillan",,24330,"Milhac-d'Auberoche*","24270","Milhac-d'Auberoche*","24","Nouvelle-Aquitaine","Gestion privée",101824,5639070,1,"Géolocalisation effectuée - Qualité suffisante",39961,"Suez Rv Sud Ouest","05C","Industrie","31 Rue Thomas Edison","Cs 60072",33612,"Canéjan",557260202,557266052,110000,,
2016,109456,"Centre de Stockage Montblanc",,,"16/10/2015","Ecopole Vallasse",,34290,"Montblanc","34166","Montblanc","34","Occitanie","Gestion privée",373020,5374110,0.630949,"Géolocalisation effectuée - Qualité insuffisante",5899,"Coved Midi-Méditerranée","05","Entreprises et artisans","2, Rue Augustin Fresnel",,81100,"CASTRES",563720936,563724537,0,43.396203,3.366415
