"Année","Code SINOE UIOM","Nom  UIOM","Téléphone","Fax","Date d'ouverture  UIOM","Code type SINOE  UIOM","Libellé type SINOE  UIOM","Adresse UIOM","Adresse UIOM (suite)","Code postal UIOM","Commune UIOM","Code commune UIOM","Libellé de la commune UIOM","Code du département UIOM","Nom de la région UIOM","Mode de gestion  UIOM","Géolocalisation  UIOM
Longitude (Mercator)","Géolocalisation  UIOM
Latitude (Mercator)","Géolocalisation  UIOM
Indicateur qualité","Géolocalisation  UIOM
Niveau de précision","Code SINOE Exploitant","Nom Exploitant","Code type SINOE Exploitant","Libellé type SINOE Exploitant","Adresse Exploitant","Adresse exploitant (suite)","Code postal exploitant","Bureau distributeur exploitant","Téléphone exploitant","Fax exploitant","Capacité réglementaire UIOM","lat","lon"
2016,5445,"Centre de Valorisation énergétique de Maubeuge",327582710,327582711,"21/04/1981","08A","Incinération avec valorisation énergétique","Zi des Terres du Pont Rouge",,59600,"Maubeuge",59392,"Maubeuge",59,"Hauts-de-France","Marché de prestation de service",441660,6495440,-1,"Centroïde de la commune",52710,"Cideme","05","Entreprises et artisans","Zi des Terres du Pont Rouge",,59600,"Maubeuge",327582710,327582711,92400,50.277836,3.965072
2016,5442,"Cve Antarés",320256610,320256131,"17/12/2000","08A","Incinération avec valorisation énergétique","Rd 191 - Bp 302",,59433,"Halluin",59279,"Halluin",59,"Hauts-de-France","Délégation de service public",347898,6581680,-1,"Centroïde de la commune",4869,"Valnor - Veolia Proprete","05","Entreprises et artisans","Rd 191 Route de Lille","Bp 302",59433,"Halluin Cedex",320256612,320256131,350000,,
2016,58414,"Cve Dunkerque",328287270,328287272,"22/11/2007","08A","Incinération avec valorisation énergétique","Rue Armand Carrel",,59640,"Dunkerque",59183,"Dunkerque*",59,"Hauts-de-France","Marché de prestation de service",258684,6622250,-1,"Centroïde de la commune",18150,"Valnor","05","Entreprises et artisans","Rue Armand Carrel",,59640,"Dunkerque",328612290,328617945,86000,51.006993,2.330587
2016,5612,"Cve de Colmar",389412054,369995594,"16/08/1988","08A","Incinération avec valorisation énergétique","174, Rue de Ladhof",,68000,"Colmar",68066,"Colmar",68,"Grand-Est","Marché de prestation de service",819872,6125740,-1,"Centroïde de la commune",5296,"Ste Colmarienne de Chauffage Urbain","05","Entreprises et artisans","16 Rue Henry Wilhem","Cs 20078",68027,"COLMAR cedex",389412054,389413743,82000,48.098909,7.378045
2016,5797,"Cve de Douchy-les-mines",327444190,327315490,"15/10/1997","08A","Incinération avec valorisation énergétique","7 Route de Lourches",,59282,"Douchy-les-Mines",59179,"Douchy-les-Mines",59,"Hauts-de-France","Marché de prestation de service",376120,6499920,-1,"Centroïde de la commune",4314,"Procyrdhim","05","Entreprises et artisans","7, route de Lourches",,59282,"DOUCHY-LES-MINES",327444190,327315490,88000,50.30855,3.377136
2016,6878,"Cve de Saint Saulve - Ecovalor",327470233,327470260,"17/06/1977","08A","Incinération avec valorisation énergétique","Rue du Galibot","Zi N° 4",59880,"Saint-Saulve",59544,"Saint-Saulve",59,"Hauts-de-France","Marché de prestation de service",396606,6514570,0.865685,"Géolocalisation effectuée - Qualité suffisante",2944,"Cideme - Groupe Tiru","05","Entreprises et artisans","4, Rue Galibot",,59880,"Saint Saulve",327470233,,132000,50.38913,3.558689
2016,7019,"Setmi - Uiom de Toulouse",561190960,561190969,"31/12/1969","08A","Incinération avec valorisation énergétique","11 Chemin de Perpignan","Bp 33724",31037,"Toulouse",31555,"Toulouse",31,"Occitanie","Délégation de service public",158607,5403820,-1,"Centroïde de la commune",4947,"Setmi","05","Entreprises et artisans","11, Chemin de Perpignan",,31100,"TOULOUSE",561190960,561190969,330000,43.55826,1.398589
2016,6851,"Uiom Argenteuil",134117000,134117009,"01/01/1975","08A","Incinération avec valorisation énergétique","RN 12, 2 rue du Chemin Vert",,95100,"ARGENTEUIL",95018,"Argenteuil",95,"Ile-de-France","Délégation de service public",250000,6266350,-1,"Centroïde de la commune",5492,"Suez Environnement - Novergie Ile de France","05","Entreprises et artisans","19-21 Rue Emile Duclaux",,92150,"Suresnes",140806000,140806001,196000,48.959119,2.205639
2016,6547,"Uiom Carrieres-sous-poissy",130063030,130063040,"01/11/1998","08A","Incinération avec valorisation énergétique","Lieu Dit la Demie Lieue","Rd 190",78955,"CARRIERES-SOUS-POISSY",78123,"Carrières-sous-Poissy",78,"Ile-de-France","Délégation de service public",225973,6265770,-1,"Centroïde de la commune",5492,"Suez Environnement - Novergie Ile de France","05","Entreprises et artisans","19-21 Rue Emile Duclaux",,92150,"Suresnes",140806000,140806001,115000,48.954188,2.023064
2016,6852,"Uiom Carrieres-sur-seine",130860810,130861922,"01/01/1977","08A","Incinération avec valorisation énergétique","2 Rue de l'Union",,78420,"Carrières-sur-Seine",78124,"Carrières-sur-Seine",78,"Ile-de-France","Délégation de service public",242857,6260090,-1,"Centroïde de la commune",5492,"Suez Environnement - Novergie Ile de France","05","Entreprises et artisans","19-21 Rue Emile Duclaux",,92150,"Suresnes",140806000,140806001,123000,48.908263,2.161554
