"ANNEE","C_REGION","L_REGION","C_DEPT","N_DEPT","C_TYP_REG_DECHET","L_TYP_REG_DECHET","C_TYP_REG_SERVICE","L_TYP_REG_SERVICE","TONNAGE_DMA"
2009,84,"Auvergne-Rhône-Alpes","01","Ain","07A","Ordures ménagères résiduelles","02B","Incinération avec récupération d'énergie",98575.12651
2009,84,"Auvergne-Rhône-Alpes","01","Ain","07A","Ordures ménagères résiduelles","02D","Stockage",35633.55809
2009,84,"Auvergne-Rhône-Alpes","01","Ain","07B","Déblais et gravats","02A","Valorisation matière",6194.70895
2009,84,"Auvergne-Rhône-Alpes","01","Ain","07B","Déblais et gravats","02D","Stockage",11773.74
2009,84,"Auvergne-Rhône-Alpes","01","Ain","07B","Déblais et gravats","02F","Stockage pour inertes",9676.31628
2009,84,"Auvergne-Rhône-Alpes","01","Ain","07B","Déblais et gravats","02Z","Non précisé",9947.93999
2009,84,"Auvergne-Rhône-Alpes","01","Ain","07C","Encombrants","02A","Valorisation matière",310.12743
2009,84,"Auvergne-Rhône-Alpes","01","Ain","07C","Encombrants","02B","Incinération avec récupération d'énergie",13620.23351
2009,84,"Auvergne-Rhône-Alpes","01","Ain","07C","Encombrants","02D","Stockage",20943.81337
2009,84,"Auvergne-Rhône-Alpes","01","Ain","07C","Encombrants","02Z","Non précisé",87.72
2009,84,"Auvergne-Rhône-Alpes","01","Ain","07D","Déchets dangereux (y.c. DEEE)","02A","Valorisation matière",3648.87228
2009,84,"Auvergne-Rhône-Alpes","01","Ain","07D","Déchets dangereux (y.c. DEEE)","02B","Incinération avec récupération d'énergie",2.24641
2009,84,"Auvergne-Rhône-Alpes","01","Ain","07D","Déchets dangereux (y.c. DEEE)","02D","Stockage",139.34999
2009,84,"Auvergne-Rhône-Alpes","01","Ain","07D","Déchets dangereux (y.c. DEEE)","02F","Stockage pour inertes",1.46094
2009,84,"Auvergne-Rhône-Alpes","01","Ain","07D","Déchets dangereux (y.c. DEEE)","02Z","Non précisé",936.06953
2009,84,"Auvergne-Rhône-Alpes","01","Ain","07E","Matériaux recyclables","02A","Valorisation matière",61734.12989
2009,84,"Auvergne-Rhône-Alpes","01","Ain","07E","Matériaux recyclables","02B","Incinération avec récupération d'énergie",831.58
2009,84,"Auvergne-Rhône-Alpes","01","Ain","07E","Matériaux recyclables","02D","Stockage",42.20021
2009,84,"Auvergne-Rhône-Alpes","01","Ain","07E","Matériaux recyclables","02E","Valorisation organique",5460.17
2009,84,"Auvergne-Rhône-Alpes","01","Ain","07E","Matériaux recyclables","02Z","Non précisé",6.62
2009,84,"Auvergne-Rhône-Alpes","01","Ain","07F","Déchets verts et biodéchets","02E","Valorisation organique",45013.01204
2009,84,"Auvergne-Rhône-Alpes","01","Ain","07Z","Autres","02A","Valorisation matière",20
2009,84,"Auvergne-Rhône-Alpes","01","Ain","07Z","Autres","02B","Incinération avec récupération d'énergie",0.05168
2009,84,"Auvergne-Rhône-Alpes","01","Ain","07Z","Autres","02D","Stockage",59.2069
2009,84,"Auvergne-Rhône-Alpes","03","Allier","07A","Ordures ménagères résiduelles","02B","Incinération avec récupération d'énergie",33016.14
2009,84,"Auvergne-Rhône-Alpes","03","Allier","07A","Ordures ménagères résiduelles","02D","Stockage",37287.32538
2009,84,"Auvergne-Rhône-Alpes","03","Allier","07A","Ordures ménagères résiduelles","02Z","Non précisé",34878.90156
2009,84,"Auvergne-Rhône-Alpes","03","Allier","07B","Déblais et gravats","02D","Stockage",14065.94429
2009,84,"Auvergne-Rhône-Alpes","03","Allier","07B","Déblais et gravats","02F","Stockage pour inertes",307.61391
2009,84,"Auvergne-Rhône-Alpes","03","Allier","07C","Encombrants","02A","Valorisation matière",469.92268
2009,84,"Auvergne-Rhône-Alpes","03","Allier","07C","Encombrants","02B","Incinération avec récupération d'énergie",731.42
2009,84,"Auvergne-Rhône-Alpes","03","Allier","07C","Encombrants","02D","Stockage",11206.86526
2009,84,"Auvergne-Rhône-Alpes","03","Allier","07C","Encombrants","02Z","Non précisé",1.015
2009,84,"Auvergne-Rhône-Alpes","03","Allier","07D","Déchets dangereux (y.c. DEEE)","02A","Valorisation matière",1618.90221
2009,84,"Auvergne-Rhône-Alpes","03","Allier","07D","Déchets dangereux (y.c. DEEE)","02B","Incinération avec récupération d'énergie",3.68409
2009,84,"Auvergne-Rhône-Alpes","03","Allier","07D","Déchets dangereux (y.c. DEEE)","02C","Incinération sans récupération d'énergie",196.36104
2009,84,"Auvergne-Rhône-Alpes","03","Allier","07D","Déchets dangereux (y.c. DEEE)","02D","Stockage",27.35519
2009,84,"Auvergne-Rhône-Alpes","03","Allier","07D","Déchets dangereux (y.c. DEEE)","02Z","Non précisé",20.32109
2009,84,"Auvergne-Rhône-Alpes","03","Allier","07E","Matériaux recyclables","02A","Valorisation matière",24610.35152
2009,84,"Auvergne-Rhône-Alpes","03","Allier","07E","Matériaux recyclables","02C","Incinération sans récupération d'énergie",1.55645
2009,84,"Auvergne-Rhône-Alpes","03","Allier","07E","Matériaux recyclables","02D","Stockage",28.24713
2009,84,"Auvergne-Rhône-Alpes","03","Allier","07E","Matériaux recyclables","02E","Valorisation organique",3397.78725
2009,84,"Auvergne-Rhône-Alpes","03","Allier","07E","Matériaux recyclables","02Z","Non précisé",5587.83551
2009,84,"Auvergne-Rhône-Alpes","03","Allier","07F","Déchets verts et biodéchets","02A","Valorisation matière",7247.86147
2009,84,"Auvergne-Rhône-Alpes","03","Allier","07F","Déchets verts et biodéchets","02E","Valorisation organique",11991.49979
2009,84,"Auvergne-Rhône-Alpes","03","Allier","07Z","Autres","02A","Valorisation matière",0.35182
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","07A","Ordures ménagères résiduelles","02D","Stockage",66946.29141
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","07A","Ordures ménagères résiduelles","02E","Valorisation organique",20833.41318
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","07A","Ordures ménagères résiduelles","02Z","Non précisé",1308.72
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","07B","Déblais et gravats","02A","Valorisation matière",2716.56127
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","07B","Déblais et gravats","02D","Stockage",4409.6322
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","07B","Déblais et gravats","02F","Stockage pour inertes",704.57823
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","07B","Déblais et gravats","02Z","Non précisé",6418.02908
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","07C","Encombrants","02A","Valorisation matière",1936.39574
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","07C","Encombrants","02B","Incinération avec récupération d'énergie",60.08
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","07C","Encombrants","02D","Stockage",14591.87477
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","07D","Déchets dangereux (y.c. DEEE)","02A","Valorisation matière",994.16407
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","07D","Déchets dangereux (y.c. DEEE)","02B","Incinération avec récupération d'énergie",60.34973
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","07D","Déchets dangereux (y.c. DEEE)","02C","Incinération sans récupération d'énergie",5.30997
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","07D","Déchets dangereux (y.c. DEEE)","02D","Stockage",0.49007
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","07D","Déchets dangereux (y.c. DEEE)","02Z","Non précisé",127.87502
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","07E","Matériaux recyclables","02A","Valorisation matière",32672.01256
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","07E","Matériaux recyclables","02B","Incinération avec récupération d'énergie",339.33
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","07E","Matériaux recyclables","02C","Incinération sans récupération d'énergie",0.0031
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","07E","Matériaux recyclables","02D","Stockage",49.84
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","07E","Matériaux recyclables","02E","Valorisation organique",1384.88562
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","07E","Matériaux recyclables","02Z","Non précisé",9.14704
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","07F","Déchets verts et biodéchets","02B","Incinération avec récupération d'énergie",422.07
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","07F","Déchets verts et biodéchets","02E","Valorisation organique",9659.76883
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","07F","Déchets verts et biodéchets","02Z","Non précisé",0.1
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","07Z","Autres","02A","Valorisation matière",1.97351
