"ANNEE","C_REGION","L_REGION","C_DEPT","N_DEPT","C_TYP_REG_DECHET","L_TYP_REG_DECHET","C_TYP_REG_SERVICE","L_TYP_REG_SERVICE","TONNAGE_OMA_T"
2009,84,"Auvergne-Rhône-Alpes","01","Ain","01A","Ordures ménagères résiduelles","01B","Incinération avec récupération d'énergie",98575.12651
2009,84,"Auvergne-Rhône-Alpes","01","Ain","01A","Ordures ménagères résiduelles","01D","Stockage",35633.55809
2009,84,"Auvergne-Rhône-Alpes","01","Ain","01B","Encombrants","01B","Incinération avec récupération d'énergie",140.34
2009,84,"Auvergne-Rhône-Alpes","01","Ain","01B","Encombrants","01D","Stockage",4.94525
2009,84,"Auvergne-Rhône-Alpes","01","Ain","01B","Encombrants","01Z","Non précisé",87.72
2009,84,"Auvergne-Rhône-Alpes","01","Ain","01C","Déchets dangereux (y.c. DEEE)","01B","Incinération avec récupération d'énergie",0.00771
2009,84,"Auvergne-Rhône-Alpes","01","Ain","01C","Déchets dangereux (y.c. DEEE)","01Z","Non précisé",3.39
2009,84,"Auvergne-Rhône-Alpes","01","Ain","01D","Emballages et papier","01A","Valorisation matière",22998.70319
2009,84,"Auvergne-Rhône-Alpes","01","Ain","01D","Emballages et papier","01D","Stockage",5.28021
2009,84,"Auvergne-Rhône-Alpes","01","Ain","01F","Verre","01A","Valorisation matière",19660.99768
2009,84,"Auvergne-Rhône-Alpes","01","Ain","01ZHG","Collectes séparées hors gravats","01A","Valorisation matière",4.88167
2009,84,"Auvergne-Rhône-Alpes","03","Allier","01A","Ordures ménagères résiduelles","01B","Incinération avec récupération d'énergie",33016.14
2009,84,"Auvergne-Rhône-Alpes","03","Allier","01A","Ordures ménagères résiduelles","01D","Stockage",37287.32538
2009,84,"Auvergne-Rhône-Alpes","03","Allier","01A","Ordures ménagères résiduelles","01Z","Non précisé",34878.90156
2009,84,"Auvergne-Rhône-Alpes","03","Allier","01B","Encombrants","01A","Valorisation matière",403.72
2009,84,"Auvergne-Rhône-Alpes","03","Allier","01B","Encombrants","01D","Stockage",73.21254
2009,84,"Auvergne-Rhône-Alpes","03","Allier","01C","Déchets dangereux (y.c. DEEE)","01B","Incinération avec récupération d'énergie",0.05988
2009,84,"Auvergne-Rhône-Alpes","03","Allier","01D","Emballages et papier","01A","Valorisation matière",12042.5385
2009,84,"Auvergne-Rhône-Alpes","03","Allier","01D","Emballages et papier","01D","Stockage",6.38872
2009,84,"Auvergne-Rhône-Alpes","03","Allier","01D","Emballages et papier","01Z","Non précisé",1996.77971
2009,84,"Auvergne-Rhône-Alpes","03","Allier","01E","Biodéchets","01A","Valorisation matière",627.76647
2009,84,"Auvergne-Rhône-Alpes","03","Allier","01F","Verre","01A","Valorisation matière",7420.25993
2009,84,"Auvergne-Rhône-Alpes","03","Allier","01F","Verre","01Z","Non précisé",3591.0558
2009,84,"Auvergne-Rhône-Alpes","03","Allier","01ZHG","Collectes séparées hors gravats","01A","Valorisation matière",4.43438
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","01A","Ordures ménagères résiduelles","01D","Stockage",66946.29141
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","01A","Ordures ménagères résiduelles","01E","Valorisation organique",20833.41318
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","01A","Ordures ménagères résiduelles","01Z","Non précisé",1308.72
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","01B","Encombrants","01A","Valorisation matière",80
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","01B","Encombrants","01D","Stockage",293.08
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","01C","Déchets dangereux (y.c. DEEE)","01B","Incinération avec récupération d'énergie",0.28004
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","01C","Déchets dangereux (y.c. DEEE)","01Z","Non précisé",0.04
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","01D","Emballages et papier","01A","Valorisation matière",12424.563
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","01D","Emballages et papier","01Z","Non précisé",8.16689
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","01E","Biodéchets","01E","Valorisation organique",52
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","01F","Verre","01A","Valorisation matière",10628.1583
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","01ZHG","Collectes séparées hors gravats","01A","Valorisation matière",8.5
2009,84,"Auvergne-Rhône-Alpes","15","Cantal","01A","Ordures ménagères résiduelles","01B","Incinération avec récupération d'énergie",2714.2567
2009,84,"Auvergne-Rhône-Alpes","15","Cantal","01A","Ordures ménagères résiduelles","01D","Stockage",23907.04588
2009,84,"Auvergne-Rhône-Alpes","15","Cantal","01A","Ordures ménagères résiduelles","01Z","Non précisé",30015.61456
2009,84,"Auvergne-Rhône-Alpes","15","Cantal","01B","Encombrants","01Z","Non précisé",50
2009,84,"Auvergne-Rhône-Alpes","15","Cantal","01D","Emballages et papier","01A","Valorisation matière",4140.50183
2009,84,"Auvergne-Rhône-Alpes","15","Cantal","01D","Emballages et papier","01Z","Non précisé",1121.22883
2009,84,"Auvergne-Rhône-Alpes","15","Cantal","01E","Biodéchets","01A","Valorisation matière",368.34
2009,84,"Auvergne-Rhône-Alpes","15","Cantal","01F","Verre","01A","Valorisation matière",2735.82649
2009,84,"Auvergne-Rhône-Alpes","15","Cantal","01F","Verre","01Z","Non précisé",1483.22736
2009,84,"Auvergne-Rhône-Alpes","15","Cantal","01ZHG","Collectes séparées hors gravats","01A","Valorisation matière",48
2009,84,"Auvergne-Rhône-Alpes","26","Drôme","01A","Ordures ménagères résiduelles","01B","Incinération avec récupération d'énergie",47.2124
2009,84,"Auvergne-Rhône-Alpes","26","Drôme","01A","Ordures ménagères résiduelles","01D","Stockage",127679.0664
2009,84,"Auvergne-Rhône-Alpes","26","Drôme","01A","Ordures ménagères résiduelles","01E","Valorisation organique",3353.14682
2009,84,"Auvergne-Rhône-Alpes","26","Drôme","01B","Encombrants","01D","Stockage",215.38
2009,84,"Auvergne-Rhône-Alpes","26","Drôme","01C","Déchets dangereux (y.c. DEEE)","01B","Incinération avec récupération d'énergie",0.44997
2009,84,"Auvergne-Rhône-Alpes","26","Drôme","01C","Déchets dangereux (y.c. DEEE)","01Z","Non précisé",0.5
2009,84,"Auvergne-Rhône-Alpes","26","Drôme","01D","Emballages et papier","01A","Valorisation matière",19575.71436
2009,84,"Auvergne-Rhône-Alpes","26","Drôme","01D","Emballages et papier","01Z","Non précisé",15.55751
2009,84,"Auvergne-Rhône-Alpes","26","Drôme","01E","Biodéchets","01E","Valorisation organique",1422.24
2009,84,"Auvergne-Rhône-Alpes","26","Drôme","01F","Verre","01A","Valorisation matière",13982.62703
2009,84,"Auvergne-Rhône-Alpes","26","Drôme","01F","Verre","01Z","Non précisé",0.80571
2009,84,"Auvergne-Rhône-Alpes","26","Drôme","01ZHG","Collectes séparées hors gravats","01A","Valorisation matière",97.45
2009,84,"Auvergne-Rhône-Alpes","38","Isère","01A","Ordures ménagères résiduelles","01A","Valorisation matière",84290
2009,84,"Auvergne-Rhône-Alpes","38","Isère","01A","Ordures ménagères résiduelles","01B","Incinération avec récupération d'énergie",149054.0786
2009,84,"Auvergne-Rhône-Alpes","38","Isère","01A","Ordures ménagères résiduelles","01C","Incinération sans récupération d'énergie",22595.15673
2009,84,"Auvergne-Rhône-Alpes","38","Isère","01A","Ordures ménagères résiduelles","01D","Stockage",36442.15355
2009,84,"Auvergne-Rhône-Alpes","38","Isère","01B","Encombrants","01A","Valorisation matière",3998.62
2009,84,"Auvergne-Rhône-Alpes","38","Isère","01B","Encombrants","01D","Stockage",66.9
2009,84,"Auvergne-Rhône-Alpes","38","Isère","01C","Déchets dangereux (y.c. DEEE)","01A","Valorisation matière",18
2009,84,"Auvergne-Rhône-Alpes","38","Isère","01C","Déchets dangereux (y.c. DEEE)","01B","Incinération avec récupération d'énergie",1.01632
2009,84,"Auvergne-Rhône-Alpes","38","Isère","01C","Déchets dangereux (y.c. DEEE)","01Z","Non précisé",20.65867
2009,84,"Auvergne-Rhône-Alpes","38","Isère","01D","Emballages et papier","01A","Valorisation matière",61808.62987
2009,84,"Auvergne-Rhône-Alpes","38","Isère","01D","Emballages et papier","01Z","Non précisé",10.4329
2009,84,"Auvergne-Rhône-Alpes","38","Isère","01E","Biodéchets","01A","Valorisation matière",79
2009,84,"Auvergne-Rhône-Alpes","38","Isère","01E","Biodéchets","01E","Valorisation organique",2414.13
