"ANNEE","C_REGION","L_REGION","C_DEPT","N_DEPT","TYP_COLLECTE","TONNAGE_DMA_T_HG","TONNAGE_DMA_T"
2009,84,"Auvergne-Rhône-Alpes","01","Ain","Collecte OMR",134208.6846,134208.6846
2009,84,"Auvergne-Rhône-Alpes","01","Ain","Collecte séparées",42906.2657,42906.2657
2009,84,"Auvergne-Rhône-Alpes","01","Ain","Déchèterie",109950.5985,147543.3037
2009,84,"Auvergne-Rhône-Alpes","03","Allier","Collecte OMR",105182.3669,105182.3669
2009,84,"Auvergne-Rhône-Alpes","03","Allier","Collecte séparées",26166.21592,26166.21592
2009,84,"Auvergne-Rhône-Alpes","03","Allier","Déchèterie",40975.12157,55348.67977
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","Collecte OMR",89088.4246,89088.4246
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","Collecte séparées",23494.78825,23494.78825
2009,84,"Auvergne-Rhône-Alpes","07","Ardèche","Déchèterie",38853.39789,53102.19867
2009,84,"Auvergne-Rhône-Alpes","15","Cantal","Collecte OMR",56636.91714,56636.91714
2009,84,"Auvergne-Rhône-Alpes","15","Cantal","Collecte séparées",9947.1245,9947.1245
2009,84,"Auvergne-Rhône-Alpes","15","Cantal","Déchèterie",14022.3226,16862.32261
2009,84,"Auvergne-Rhône-Alpes","26","Drôme","Collecte OMR",131079.4256,131079.4256
2009,84,"Auvergne-Rhône-Alpes","26","Drôme","Collecte séparées",35310.72458,35310.72458
2009,84,"Auvergne-Rhône-Alpes","26","Drôme","Déchèterie",75301.13482,108390.1392
2009,84,"Auvergne-Rhône-Alpes","38","Isère","Collecte OMR",292381.3888,292381.3888
2009,84,"Auvergne-Rhône-Alpes","38","Isère","Collecte séparées",101588.3682,101717.6482
2009,84,"Auvergne-Rhône-Alpes","38","Isère","Déchèterie",254800.2149,373786.1626
2009,84,"Auvergne-Rhône-Alpes","42","Loire","Collecte OMR",204364.351,204364.351
2009,84,"Auvergne-Rhône-Alpes","42","Loire","Collecte séparées",57491.0655,57491.0655
2009,84,"Auvergne-Rhône-Alpes","42","Loire","Déchèterie",100004.3601,138903.3068
2009,84,"Auvergne-Rhône-Alpes","43","Haute-Loire","Collecte OMR",57687.52278,57687.52278
2009,84,"Auvergne-Rhône-Alpes","43","Haute-Loire","Collecte séparées",14670.59165,14670.59165
2009,84,"Auvergne-Rhône-Alpes","43","Haute-Loire","Déchèterie",21474.56206,29070.84786
2009,84,"Auvergne-Rhône-Alpes","63","Puy-de-Dôme","Collecte OMR",158708.5094,158708.5094
2009,84,"Auvergne-Rhône-Alpes","63","Puy-de-Dôme","Collecte séparées",62423.09557,62423.09557
2009,84,"Auvergne-Rhône-Alpes","63","Puy-de-Dôme","Déchèterie",116069.5024,143984.1309
2009,84,"Auvergne-Rhône-Alpes","69","Rhône","Collecte OMR",415659.05,415659.05
2009,84,"Auvergne-Rhône-Alpes","69","Rhône","Collecte séparées",117570.5731,117570.5731
2009,84,"Auvergne-Rhône-Alpes","69","Rhône","Déchèterie",163717.979,214840.1465
2009,84,"Auvergne-Rhône-Alpes","73","Savoie","Collecte OMR",137352.8145,137352.8145
2009,84,"Auvergne-Rhône-Alpes","73","Savoie","Collecte séparées",42433.36738,42433.36738
2009,84,"Auvergne-Rhône-Alpes","73","Savoie","Déchèterie",89779.56111,122995.2646
2009,84,"Auvergne-Rhône-Alpes","74","Haute-Savoie","Collecte OMR",235445.4101,235445.4101
2009,84,"Auvergne-Rhône-Alpes","74","Haute-Savoie","Collecte séparées",61882.37695,61882.37695
2009,84,"Auvergne-Rhône-Alpes","74","Haute-Savoie","Déchèterie",141388.6421,178932.2621
2009,27,"Bourgogne-Franche-Comté","21","Cote-d'Or","Collecte OMR",138368.3928,138368.3928
2009,27,"Bourgogne-Franche-Comté","21","Cote-d'Or","Collecte séparées",52183.54712,52183.54712
2009,27,"Bourgogne-Franche-Comté","21","Cote-d'Or","Déchèterie",81041.73082,114700.0168
2009,27,"Bourgogne-Franche-Comté","25","Doubs","Collecte OMR",136451.3185,136451.3185
2009,27,"Bourgogne-Franche-Comté","25","Doubs","Collecte séparées",56517.50496,56517.50496
2009,27,"Bourgogne-Franche-Comté","25","Doubs","Déchèterie",83915.18651,100332.9377
2009,27,"Bourgogne-Franche-Comté","39","Jura","Collecte OMR",54879.95745,54879.95745
2009,27,"Bourgogne-Franche-Comté","39","Jura","Collecte séparées",35591.05849,35591.05849
2009,27,"Bourgogne-Franche-Comté","39","Jura","Déchèterie",38743.392,46276.752
2009,27,"Bourgogne-Franche-Comté","58","Nièvre","Collecte OMR",52706.64385,52706.64385
2009,27,"Bourgogne-Franche-Comté","58","Nièvre","Collecte séparées",25035.35611,25035.35611
2009,27,"Bourgogne-Franche-Comté","58","Nièvre","Déchèterie",38257.55786,48750.38594
2009,27,"Bourgogne-Franche-Comté","70","Haute-Saône","Collecte OMR",56174.14644,56174.14644
2009,27,"Bourgogne-Franche-Comté","70","Haute-Saône","Collecte séparées",28978.92781,28978.92781
2009,27,"Bourgogne-Franche-Comté","70","Haute-Saône","Déchèterie",45163.54886,58653.74199
2009,27,"Bourgogne-Franche-Comté","71","Saône-et-Loire","Collecte OMR",128157.2352,128157.2352
2009,27,"Bourgogne-Franche-Comté","71","Saône-et-Loire","Collecte séparées",59737.48248,59737.48248
2009,27,"Bourgogne-Franche-Comté","71","Saône-et-Loire","Déchèterie",110457.4995,135827.6058
