"C_TYP_ACTEUR","C_TYP_ACTEUR_PERE","L_TYP_ACTEUR","LC_TYP_ACTEUR","NIV_HIER","DD_VALID","DF_VALID"
"01",,"Administration",,1,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"01A",1,"Ministère",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"01B",1,"Préfecture ou sous-préfecture",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"01C",1,"DRIRE",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"01D",1,"DIREN","Direction Régionale de l'Environnement",2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"01E",1,"DDE","Direction Départemental de l'Equipement",2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"01F",1,"DDA",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"02",,"Etablissement public",,1,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"02A",2,"ADEME","Agence de l'Environnement et de la Maîtrise de l'Energie",2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"02B",2,"Agence de l'eau",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"03",,"Collectivité territoriale",,1,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"03A",3,"Région",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"03B",3,"Département",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"03C",3,"Commune",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"03D",3,"Territoire d'outre mer",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"04",,"Structure intercommunale",,1,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"04A",4,"SIVU",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"04B",4,"SIVOM",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"04C",4,"District",,2,"0000-00-00 00:00:00","2002-12-31 00:00:00"
"04D",4,"Communauté urbaine",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"04E",4,"Communauté de communes",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"04F",4,"Communauté de villes",,2,"2003-01-01 00:00:00","2002-12-31 00:00:00"
"04G",4,"Communauté d'agglomération",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"04H",4,"Syndicat mixte",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"04I",4,"Métropole",,2,"2015-01-01 00:00:00","0000-00-00 00:00:00"
"04J",4,"Commune Nouvelle",,2,"2010-12-16 00:00:00","0000-00-00 00:00:00"
"05",,"Entreprises et artisans",,1,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"05A",5,"Agriculture",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"05B",5,"Pêche",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"05C",5,"Industrie",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"05D",5,"Bâtiment",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"05E",5,"Commerce",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"05F",5,"Services",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"06",,"Chambres, syndicats et fédérations professionnelles",,1,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"06A",6,"Syndicats et fédérations professionnelles",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"06B",6,"Centre technique",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"06C",6,"Chambre de commerce et de l'industrie",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"06D",6,"Chambre des métiers",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"06E",6,"Chambre d'agriculture",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"07",,"Association",,1,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"07A",7,"Association de protection de l'environnement",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"07B",7,"Association pour l'emploi",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"07C",7,"Représentation des collectivités",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"07D",7,"Association de consommateurs",,2,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"08",,"Ecoles et universités",,1,"2003-01-01 00:00:00","0000-00-00 00:00:00"
"NP",,"Non précisé",,1,"2003-01-01 00:00:00","0000-00-00 00:00:00"
