groupe INCA3;Libellé INCA3;Conversion ADEME groupe principal;Conversion ADEME sous-groupe
1;panification sèche raffinés;Grandes cultures;Blé tendre – Farine - Pain - Viennoiseries – Biscottes et biscuits
2;pain et panification sèche complets ou semi-complets;Grandes cultures;Blé tendre – Farine - Pain - Viennoiseries – Biscottes et biscuits
3;céréales pour petit déjeuner et barres céréalières;Grandes cultures;Blé dur – Semoules – Pâtes
4;pain, riz, blé et autres céréales raffinées;Grandes cultures;Blé tendre – Farine - Pain - Viennoiseries – Biscottes et biscuits
5;pain, riz, blé et autres céréales complètes/semi-complètes;Grandes cultures;Blé tendre – Farine - Pain - Viennoiseries – Biscottes et biscuits
6;viennoiseries, pâtisseries, gâteaux et biscuits sucrés;Grandes cultures;Blé tendre – Farine - Pain - Viennoiseries – Biscottes et biscuits
7;laits;Produits animaux;Lait et produits laitiers
8;yaourts et fromages blancs;Produits animaux;Lait et produits laitiers
9;fromages;Produits animaux;Lait et produits laitiers
10;entremets et crèmes desserts;Produits animaux;Lait et produits laitiers
11;glaces, desserts glacés et sorbets;Produits animaux;Lait et produits laitiers
12;matières grasses animales;Produits animaux;Lait et produits laitiers
13;matières grasses végétales;Grandes cultures;Oléagineux - Huile
14;oeufs et plats à base d'oeufs;Produits animaux;Œufs
15;viandes (hors volailles);Produits animaux;Bovins et porcins
16;volailles;Produits animaux;Volaille
17;charcuterie;Produits animaux;Bovins et porcins
18;poissons;Produits animaux;Pêche maritime et aquaculture
19;crustacés et mollusques;Produits animaux;Pêche maritime et aquaculture
20;abats;Produits animaux;Bovins et porcins
21;légumes;Légumes;NA
22;légumineuses;Grandes cultures;NA
23;pommes de terre et autres tubercules;Grandes cultures;Pomme de terre
24;fruits frais et secs;Fruits;NA
25;compotes et fruits au sirop;Fruits;NA
26;noix, graines et fruits oléagineux;NA;NA
27;confiseries et chocolat;Grandes cultures;Betterave - Sucre
28;sucre et matières sucrantes;Grandes cultures;Betterave - Sucre
29;eaux conditionnées;NA;NA
30;eau du robinet;NA;NA
31;boissons rafraîchissantes sans alcool (BRSA);NA;NA
32;jus de fruits et de légumes;Fruits;NA
33;boissons alcoolisées;Grandes cultures;Orge - Malt - Bière
34;boissons chaudes;NA;NA
35;soupes et bouillons;Légumes;NA
36;plats à base de viandes;Produits animaux;Bovins et porcins
37;plats à base de poissons;Produits animaux;Pêche maritime et aquaculture
38;plats à base de légumes;Légumes;NA
39;plats à base de pommes de terre, céréales ou légumineuses;Grandes cultures;NA
40;sandwichs, pizzas, tartes, pâtisseries et biscuits salés;NA;NA
41;condiments, herbes, épices et sauces;NA;NA
42;substituts de prod. animaux à base de soja/autres végétaux;Grandes cultures;NA
43;plats préparés et desserts infantiles;NA;NA
44;laits et boissons infantiles;Produits animaux;Lait et produits laitiers
