NOM;ANNREF;NIVGEO;GEO;Q_0009_MOD_DIM1;Q_0009_MOD_DIM2;VALEUR;QUALITE;FRANCE;Q_0009_DIM1;Q_0009_LIB_DIM1;Q_0009_DIM2;Q_0009_LIB_DIM2
Q_0009;2008;FRANCE;FR;001;369;99880;OUI;FR;QUANTITE;;NAF;10.91.10.10 Prémélanges des types utilisés pour l’alim. des animaux de ferme
Q_0009;2008;FRANCE;FR;005;369;109869;OUI;FR;QUANTITE;;NAF;10.91.10.10 Prémélanges des types utilisés pour l’alim. des animaux de ferme
Q_0009;2009;FRANCE;FR;001;369;135775;OUI;FR;QUANTITE;;NAF;10.91.10.10 Prémélanges des types utilisés pour l’alim. des animaux de ferme
Q_0009;2009;FRANCE;FR;005;369;176507.5;OUI;FR;QUANTITE;;NAF;10.91.10.10 Prémélanges des types utilisés pour l’alim. des animaux de ferme
Q_0009;2010;FRANCE;FR;001;369;174550;OUI;FR;QUANTITE;;NAF;10.91.10.10 Prémélanges des types utilisés pour l’alim. des animaux de ferme
Q_0009;2010;FRANCE;FR;005;369;233897;OUI;FR;QUANTITE;;NAF;10.91.10.10 Prémélanges des types utilisés pour l’alim. des animaux de ferme
Q_0009;2011;FRANCE;FR;001;369;169255;OUI;FR;QUANTITE;;NAF;10.91.10.10 Prémélanges des types utilisés pour l’alim. des animaux de ferme
Q_0009;2011;FRANCE;FR;005;369;227570;OUI;FR;QUANTITE;;NAF;10.91.10.10 Prémélanges des types utilisés pour l’alim. des animaux de ferme
Q_0009;2012;FRANCE;FR;001;369;174600;OUI;FR;QUANTITE;;NAF;10.91.10.10 Prémélanges des types utilisés pour l’alim. des animaux de ferme
Q_0009;2012;FRANCE;FR;005;369;239741.5;OUI;FR;QUANTITE;;NAF;10.91.10.10 Prémélanges des types utilisés pour l’alim. des animaux de ferme
Q_0009;2013;FRANCE;FR;001;369;165355;OUI;FR;QUANTITE;;NAF;10.91.10.10 Prémélanges des types utilisés pour l’alim. des animaux de ferme
Q_0009;2013;FRANCE;FR;005;369;239848.95;OUI;FR;QUANTITE;;NAF;10.91.10.10 Prémélanges des types utilisés pour l’alim. des animaux de ferme
Q_0009;2014;FRANCE;FR;001;369;169945;OUI;FR;QUANTITE;;NAF;10.91.10.10 Prémélanges des types utilisés pour l’alim. des animaux de ferme
Q_0009;2014;FRANCE;FR;005;369;232112.77;OUI;FR;QUANTITE;;NAF;10.91.10.10 Prémélanges des types utilisés pour l’alim. des animaux de ferme
Q_0009;2015;FRANCE;FR;001;369;176810;OUI;FR;QUANTITE;;NAF;10.91.10.10 Prémélanges des types utilisés pour l’alim. des animaux de ferme
Q_0009;2015;FRANCE;FR;005;369;244000;OUI;FR;QUANTITE;;NAF;10.91.10.10 Prémélanges des types utilisés pour l’alim. des animaux de ferme
Q_0009;2016;FRANCE;FR;001;369;167735;OUI;FR;QUANTITE;;NAF;10.91.10.10 Prémélanges des types utilisés pour l’alim. des animaux de ferme
Q_0009;2016;FRANCE;FR;005;369;235000;OUI;FR;QUANTITE;;NAF;10.91.10.10 Prémélanges des types utilisés pour l’alim. des animaux de ferme
Q_0009;2017;FRANCE;FR;001;369;160972;OUI;FR;QUANTITE;;NAF;10.91.10.10 Prémélanges des types utilisés pour l’alim. des animaux de ferme
Q_0009;2017;FRANCE;FR;005;369;250000;OUI;FR;QUANTITE;;NAF;10.91.10.10 Prémélanges des types utilisés pour l’alim. des animaux de ferme
Q_0009;2018;FRANCE;FR;001;369;150354;OUI;FR;QUANTITE;;NAF;10.91.10.10 Prémélanges des types utilisés pour l’alim. des animaux de ferme
Q_0009;2018;FRANCE;FR;005;369;268000;OUI;FR;QUANTITE;;NAF;10.91.10.10 Prémélanges des types utilisés pour l’alim. des animaux de ferme
Q_0009;2019;FRANCE;FR;001;369;150308;OUI;FR;QUANTITE;;NAF;10.91.10.10 Prémélanges des types utilisés pour l’alim. des animaux de ferme
Q_0009;2019;FRANCE;FR;005;369;246000;OUI;FR;QUANTITE;;NAF;10.91.10.10 Prémélanges des types utilisés pour l’alim. des animaux de ferme
Q_0009;2020;FRANCE;FR;001;369;156094;OUI;FR;QUANTITE;;NAF;10.91.10.10 Prémélanges des types utilisés pour l’alim. des animaux de ferme
Q_0009;2020;FRANCE;FR;005;369;253000;OUI;FR;QUANTITE;;NAF;10.91.10.10 Prémélanges des types utilisés pour l’alim. des animaux de ferme
Q_0009;2008;FRANCE;FR;001;370;6229135;OUI;FR;QUANTITE;;NAF;10.91.10.33 Aliments pour porcins d’élevage (à l’exclusion des prémélanges)
Q_0009;2008;FRANCE;FR;005;370;1543159.864;OUI;FR;QUANTITE;;NAF;10.91.10.33 Aliments pour porcins d’élevage (à l’exclusion des prémélanges)
Q_0009;2009;FRANCE;FR;001;370;5897740;OUI;FR;QUANTITE;;NAF;10.91.10.33 Aliments pour porcins d’élevage (à l’exclusion des prémélanges)
Q_0009;2009;FRANCE;FR;005;370;1283665.766;OUI;FR;QUANTITE;;NAF;10.91.10.33 Aliments pour porcins d’élevage (à l’exclusion des prémélanges)
Q_0009;2010;FRANCE;FR;001;370;5804359;OUI;FR;QUANTITE;;NAF;10.91.10.33 Aliments pour porcins d’élevage (à l’exclusion des prémélanges)
Q_0009;2010;FRANCE;FR;005;370;1257299.221;OUI;FR;QUANTITE;;NAF;10.91.10.33 Aliments pour porcins d’élevage (à l’exclusion des prémélanges)
Q_0009;2011;FRANCE;FR;001;370;5705992.1;OUI;FR;QUANTITE;;NAF;10.91.10.33 Aliments pour porcins d’élevage (à l’exclusion des prémélanges)
Q_0009;2011;FRANCE;FR;005;370;1513463.658;OUI;FR;QUANTITE;;NAF;10.91.10.33 Aliments pour porcins d’élevage (à l’exclusion des prémélanges)
Q_0009;2012;FRANCE;FR;001;370;5437091;OUI;FR;QUANTITE;;NAF;10.91.10.33 Aliments pour porcins d’élevage (à l’exclusion des prémélanges)
Q_0009;2012;FRANCE;FR;005;370;1595696.031;OUI;FR;QUANTITE;;NAF;10.91.10.33 Aliments pour porcins d’élevage (à l’exclusion des prémélanges)
Q_0009;2013;FRANCE;FR;001;370;5317107;OUI;FR;QUANTITE;;NAF;10.91.10.33 Aliments pour porcins d’élevage (à l’exclusion des prémélanges)
Q_0009;2013;FRANCE;FR;005;370;1633176.403;OUI;FR;QUANTITE;;NAF;10.91.10.33 Aliments pour porcins d’élevage (à l’exclusion des prémélanges)
Q_0009;2014;FRANCE;FR;001;370;5175222;OUI;FR;QUANTITE;;NAF;10.91.10.33 Aliments pour porcins d’élevage (à l’exclusion des prémélanges)
Q_0009;2014;FRANCE;FR;005;370;1434354.205;OUI;FR;QUANTITE;;NAF;10.91.10.33 Aliments pour porcins d’élevage (à l’exclusion des prémélanges)
Q_0009;2015;FRANCE;FR;001;370;5177888;OUI;FR;QUANTITE;;NAF;10.91.10.33 Aliments pour porcins d’élevage (à l’exclusion des prémélanges)
Q_0009;2015;FRANCE;FR;005;370;1354400.956;OUI;FR;QUANTITE;;NAF;10.91.10.33 Aliments pour porcins d’élevage (à l’exclusion des prémélanges)
Q_0009;2016;FRANCE;FR;001;370;5032732;OUI;FR;QUANTITE;;NAF;10.91.10.33 Aliments pour porcins d’élevage (à l’exclusion des prémélanges)
Q_0009;2016;FRANCE;FR;005;370;1269293;OUI;FR;QUANTITE;;NAF;10.91.10.33 Aliments pour porcins d’élevage (à l’exclusion des prémélanges)
Q_0009;2017;FRANCE;FR;001;370;4978768;OUI;FR;QUANTITE;;NAF;10.91.10.33 Aliments pour porcins d’élevage (à l’exclusion des prémélanges)
Q_0009;2017;FRANCE;FR;005;370;1256550;OUI;FR;QUANTITE;;NAF;10.91.10.33 Aliments pour porcins d’élevage (à l’exclusion des prémélanges)
Q_0009;2018;FRANCE;FR;001;370;4941295;OUI;FR;QUANTITE;;NAF;10.91.10.33 Aliments pour porcins d’élevage (à l’exclusion des prémélanges)
Q_0009;2018;FRANCE;FR;005;370;1286884;OUI;FR;QUANTITE;;NAF;10.91.10.33 Aliments pour porcins d’élevage (à l’exclusion des prémélanges)
Q_0009;2019;FRANCE;FR;001;370;4953085;OUI;FR;QUANTITE;;NAF;10.91.10.33 Aliments pour porcins d’élevage (à l’exclusion des prémélanges)
Q_0009;2019;FRANCE;FR;005;370;1357347;OUI;FR;QUANTITE;;NAF;10.91.10.33 Aliments pour porcins d’élevage (à l’exclusion des prémélanges)
Q_0009;2020;FRANCE;FR;001;370;4411200;OUI;FR;QUANTITE;;NAF;10.91.10.33 Aliments pour porcins d’élevage (à l’exclusion des prémélanges)
