NOM;ANNREF;NIVGEO;GEO;Q_0008_MOD_DIM1;Q_0008_MOD_DIM2;VALEUR;QUALITE;FRANCE;Q_0008_DIM1;Q_0008_LIB_DIM1;Q_0008_DIM2;Q_0008_LIB_DIM2
Q_0008;2008;FRANCE;FR;001;285;539031.293;OUI;FR;QUANTITE;;NAF;10.81.11.00 Sucres bruts de canne/betteraves, sans addition [.], état solide
Q_0008;2008;FRANCE;FR;005;285;267496.699;OUI;FR;QUANTITE;;NAF;10.81.11.00 Sucres bruts de canne/betteraves, sans addition [.], état solide
Q_0008;2009;FRANCE;FR;001;285;635351.955;OUI;FR;QUANTITE;;NAF;10.81.11.00 Sucres bruts de canne/betteraves, sans addition [.], état solide
Q_0008;2009;FRANCE;FR;005;285;289572.69;OUI;FR;QUANTITE;;NAF;10.81.11.00 Sucres bruts de canne/betteraves, sans addition [.], état solide
Q_0008;2010;FRANCE;FR;001;285;488455.346;OUI;FR;QUANTITE;;NAF;10.81.11.00 Sucres bruts de canne/betteraves, sans addition [.], état solide
Q_0008;2010;FRANCE;FR;005;285;208308.42;OUI;FR;QUANTITE;;NAF;10.81.11.00 Sucres bruts de canne/betteraves, sans addition [.], état solide
Q_0008;2011;FRANCE;FR;001;285;437235.47;OUI;FR;QUANTITE;;NAF;10.81.11.00 Sucres bruts de canne/betteraves, sans addition [.], état solide
Q_0008;2011;FRANCE;FR;005;285;203609.818;OUI;FR;QUANTITE;;NAF;10.81.11.00 Sucres bruts de canne/betteraves, sans addition [.], état solide
Q_0008;2012;FRANCE;FR;001;285;228398.322;OUI;FR;QUANTITE;;NAF;10.81.11.00 Sucres bruts de canne/betteraves, sans addition [.], état solide
Q_0008;2012;FRANCE;FR;005;285;99829.671;OUI;FR;QUANTITE;;NAF;10.81.11.00 Sucres bruts de canne/betteraves, sans addition [.], état solide
Q_0008;2013;FRANCE;FR;001;285;242784.849;OUI;FR;QUANTITE;;NAF;10.81.11.00 Sucres bruts de canne/betteraves, sans addition [.], état solide
Q_0008;2013;FRANCE;FR;005;285;105991.172;OUI;FR;QUANTITE;;NAF;10.81.11.00 Sucres bruts de canne/betteraves, sans addition [.], état solide
Q_0008;2014;FRANCE;FR;001;285;295177.311;OUI;FR;QUANTITE;;NAF;10.81.11.00 Sucres bruts de canne/betteraves, sans addition [.], état solide
