NOM;ANNREF;NIVGEO;GEO;Q_0007_MOD_DIM1;Q_0007_MOD_DIM2;VALEUR;QUALITE;FRANCE;Q_0007_DIM1;Q_0007_LIB_DIM1;Q_0007_DIM2;Q_0007_LIB_DIM2
Q_0007;2008;FRANCE;FR;001;264;1258774.258;OUI;FR;QUANTITE;;NAF;10.71.11.00 Pain sans addition de miel, d’œufs, de fromage ou de fruits
Q_0007;2008;FRANCE;FR;005;264;1512176.209;OUI;FR;QUANTITE;;NAF;10.71.11.00 Pain sans addition de miel, d’œufs, de fromage ou de fruits
Q_0007;2009;FRANCE;FR;001;264;1211584.385;OUI;FR;QUANTITE;;NAF;10.71.11.00 Pain sans addition de miel, d’œufs, de fromage ou de fruits
Q_0007;2009;FRANCE;FR;005;264;1385629.924;OUI;FR;QUANTITE;;NAF;10.71.11.00 Pain sans addition de miel, d’œufs, de fromage ou de fruits
Q_0007;2010;FRANCE;FR;001;264;1236437.59;OUI;FR;QUANTITE;;NAF;10.71.11.00 Pain sans addition de miel, d’œufs, de fromage ou de fruits
Q_0007;2010;FRANCE;FR;005;264;1395657.068;OUI;FR;QUANTITE;;NAF;10.71.11.00 Pain sans addition de miel, d’œufs, de fromage ou de fruits
Q_0007;2011;FRANCE;FR;001;264;1262505.762;OUI;FR;QUANTITE;;NAF;10.71.11.00 Pain sans addition de miel, d’œufs, de fromage ou de fruits
Q_0007;2011;FRANCE;FR;005;264;1457008.528;OUI;FR;QUANTITE;;NAF;10.71.11.00 Pain sans addition de miel, d’œufs, de fromage ou de fruits
Q_0007;2012;FRANCE;FR;001;264;1335297.502;OUI;FR;QUANTITE;;NAF;10.71.11.00 Pain sans addition de miel, d’œufs, de fromage ou de fruits
Q_0007;2012;FRANCE;FR;005;264;1551029.27;OUI;FR;QUANTITE;;NAF;10.71.11.00 Pain sans addition de miel, d’œufs, de fromage ou de fruits
Q_0007;2013;FRANCE;FR;001;264;1292055.904;OUI;FR;QUANTITE;;NAF;10.71.11.00 Pain sans addition de miel, d’œufs, de fromage ou de fruits
Q_0007;2013;FRANCE;FR;005;264;1568240.293;OUI;FR;QUANTITE;;NAF;10.71.11.00 Pain sans addition de miel, d’œufs, de fromage ou de fruits
Q_0007;2014;FRANCE;FR;001;264;1243656.088;OUI;FR;QUANTITE;;NAF;10.71.11.00 Pain sans addition de miel, d’œufs, de fromage ou de fruits
Q_0007;2014;FRANCE;FR;005;264;1574635.991;OUI;FR;QUANTITE;;NAF;10.71.11.00 Pain sans addition de miel, d’œufs, de fromage ou de fruits
Q_0007;2015;FRANCE;FR;001;264;1172874.252;OUI;FR;QUANTITE;;NAF;10.71.11.00 Pain sans addition de miel, d’œufs, de fromage ou de fruits
Q_0007;2015;FRANCE;FR;005;264;1509561.021;OUI;FR;QUANTITE;;NAF;10.71.11.00 Pain sans addition de miel, d’œufs, de fromage ou de fruits
Q_0007;2016;FRANCE;FR;001;264;1230745;OUI;FR;QUANTITE;;NAF;10.71.11.00 Pain sans addition de miel, d’œufs, de fromage ou de fruits
Q_0007;2016;FRANCE;FR;005;264;1586401;OUI;FR;QUANTITE;;NAF;10.71.11.00 Pain sans addition de miel, d’œufs, de fromage ou de fruits
Q_0007;2017;FRANCE;FR;001;264;1224167;OUI;FR;QUANTITE;;NAF;10.71.11.00 Pain sans addition de miel, d’œufs, de fromage ou de fruits
Q_0007;2017;FRANCE;FR;005;264;1564269;OUI;FR;QUANTITE;;NAF;10.71.11.00 Pain sans addition de miel, d’œufs, de fromage ou de fruits
Q_0007;2018;FRANCE;FR;001;264;1270326;OUI;FR;QUANTITE;;NAF;10.71.11.00 Pain sans addition de miel, d’œufs, de fromage ou de fruits
Q_0007;2018;FRANCE;FR;005;264;1581158;OUI;FR;QUANTITE;;NAF;10.71.11.00 Pain sans addition de miel, d’œufs, de fromage ou de fruits
Q_0007;2019;FRANCE;FR;001;264;1252528;OUI;FR;QUANTITE;;NAF;10.71.11.00 Pain sans addition de miel, d’œufs, de fromage ou de fruits
Q_0007;2019;FRANCE;FR;005;264;1617794;OUI;FR;QUANTITE;;NAF;10.71.11.00 Pain sans addition de miel, d’œufs, de fromage ou de fruits
Q_0007;2020;FRANCE;FR;001;264;1094186;OUI;FR;QUANTITE;;NAF;10.71.11.00 Pain sans addition de miel, d’œufs, de fromage ou de fruits
Q_0007;2020;FRANCE;FR;005;264;1508946;OUI;FR;QUANTITE;;NAF;10.71.11.00 Pain sans addition de miel, d’œufs, de fromage ou de fruits
Q_0007;2008;FRANCE;FR;001;265;1001250.668;OUI;FR;QUANTITE;;NAF;10.71.12.00 Aut. prod. de boulang., pâtis., biscuit. additionnés d’édulcorants
Q_0007;2008;FRANCE;FR;005;265;3013517.24;OUI;FR;QUANTITE;;NAF;10.71.12.00 Aut. prod. de boulang., pâtis., biscuit. additionnés d’édulcorants
Q_0007;2009;FRANCE;FR;001;265;1026339.726;OUI;FR;QUANTITE;;NAF;10.71.12.00 Aut. prod. de boulang., pâtis., biscuit. additionnés d’édulcorants
Q_0007;2009;FRANCE;FR;005;265;2931857.803;OUI;FR;QUANTITE;;NAF;10.71.12.00 Aut. prod. de boulang., pâtis., biscuit. additionnés d’édulcorants
Q_0007;2010;FRANCE;FR;001;265;1100650.34;OUI;FR;QUANTITE;;NAF;10.71.12.00 Aut. prod. de boulang., pâtis., biscuit. additionnés d’édulcorants
Q_0007;2010;FRANCE;FR;005;265;3142749.431;OUI;FR;QUANTITE;;NAF;10.71.12.00 Aut. prod. de boulang., pâtis., biscuit. additionnés d’édulcorants
Q_0007;2011;FRANCE;FR;001;265;1124583.99;OUI;FR;QUANTITE;;NAF;10.71.12.00 Aut. prod. de boulang., pâtis., biscuit. additionnés d’édulcorants
Q_0007;2011;FRANCE;FR;005;265;3235139.166;OUI;FR;QUANTITE;;NAF;10.71.12.00 Aut. prod. de boulang., pâtis., biscuit. additionnés d’édulcorants
Q_0007;2012;FRANCE;FR;001;265;1201454.54;OUI;FR;QUANTITE;;NAF;10.71.12.00 Aut. prod. de boulang., pâtis., biscuit. additionnés d’édulcorants
Q_0007;2012;FRANCE;FR;005;265;3426131.169;OUI;FR;QUANTITE;;NAF;10.71.12.00 Aut. prod. de boulang., pâtis., biscuit. additionnés d’édulcorants
Q_0007;2013;FRANCE;FR;001;265;1215931.077;OUI;FR;QUANTITE;;NAF;10.71.12.00 Aut. prod. de boulang., pâtis., biscuit. additionnés d’édulcorants
Q_0007;2013;FRANCE;FR;005;265;3472671.444;OUI;FR;QUANTITE;;NAF;10.71.12.00 Aut. prod. de boulang., pâtis., biscuit. additionnés d’édulcorants
Q_0007;2014;FRANCE;FR;001;265;1213885.409;OUI;FR;QUANTITE;;NAF;10.71.12.00 Aut. prod. de boulang., pâtis., biscuit. additionnés d’édulcorants
