NOM;ANNREF;NIVGEO;GEO;Q_0003_MOD_DIM1;Q_0003_MOD_DIM2;VALEUR;QUALITE;FRANCE;Q_0003_DIM1;Q_0003_LIB_DIM1;Q_0003_DIM2;Q_0003_LIB_DIM2
Q_0003;2012;FRANCE;FR;001;104;11.42;NON;FR;QUANTITE;;NAF;10.31.11.10 Pommes de terre non cuites ou cuites eau/vapeur, congelées/surgelées
Q_0003;2012;FRANCE;FR;005;104;29.988;NON;FR;QUANTITE;;NAF;10.31.11.10 Pommes de terre non cuites ou cuites eau/vapeur, congelées/surgelées
Q_0003;2013;FRANCE;FR;001;104;407.956;NON;FR;QUANTITE;;NAF;10.31.11.10 Pommes de terre non cuites ou cuites eau/vapeur, congelées/surgelées
Q_0003;2013;FRANCE;FR;005;104;310.729;NON;FR;QUANTITE;;NAF;10.31.11.10 Pommes de terre non cuites ou cuites eau/vapeur, congelées/surgelées
Q_0003;2014;FRANCE;FR;001;104;325.348;NON;FR;QUANTITE;;NAF;10.31.11.10 Pommes de terre non cuites ou cuites eau/vapeur, congelées/surgelées
Q_0003;2014;FRANCE;FR;005;104;267.92;NON;FR;QUANTITE;;NAF;10.31.11.10 Pommes de terre non cuites ou cuites eau/vapeur, congelées/surgelées
Q_0003;2015;FRANCE;FR;001;104;316.516;NON;FR;QUANTITE;;NAF;10.31.11.10 Pommes de terre non cuites ou cuites eau/vapeur, congelées/surgelées
Q_0003;2015;FRANCE;FR;005;104;290.53;NON;FR;QUANTITE;;NAF;10.31.11.10 Pommes de terre non cuites ou cuites eau/vapeur, congelées/surgelées
Q_0003;2016;FRANCE;FR;001;104;286;NON;FR;QUANTITE;;NAF;10.31.11.10 Pommes de terre non cuites ou cuites eau/vapeur, congelées/surgelées
Q_0003;2016;FRANCE;FR;005;104;267;NON;FR;QUANTITE;;NAF;10.31.11.10 Pommes de terre non cuites ou cuites eau/vapeur, congelées/surgelées
Q_0003;2017;FRANCE;FR;001;104;289;NON;FR;QUANTITE;;NAF;10.31.11.10 Pommes de terre non cuites ou cuites eau/vapeur, congelées/surgelées
Q_0003;2017;FRANCE;FR;005;104;283;NON;FR;QUANTITE;;NAF;10.31.11.10 Pommes de terre non cuites ou cuites eau/vapeur, congelées/surgelées
Q_0003;2018;FRANCE;FR;001;104;299;NON;FR;QUANTITE;;NAF;10.31.11.10 Pommes de terre non cuites ou cuites eau/vapeur, congelées/surgelées
Q_0003;2018;FRANCE;FR;005;104;374;NON;FR;QUANTITE;;NAF;10.31.11.10 Pommes de terre non cuites ou cuites eau/vapeur, congelées/surgelées
Q_0003;2019;FRANCE;FR;001;104;17;NON;FR;QUANTITE;;NAF;10.31.11.10 Pommes de terre non cuites ou cuites eau/vapeur, congelées/surgelées
Q_0003;2019;FRANCE;FR;005;104;60;NON;FR;QUANTITE;;NAF;10.31.11.10 Pommes de terre non cuites ou cuites eau/vapeur, congelées/surgelées
Q_0003;2020;FRANCE;FR;001;104;89;NON;FR;QUANTITE;;NAF;10.31.11.10 Pommes de terre non cuites ou cuites eau/vapeur, congelées/surgelées
Q_0003;2020;FRANCE;FR;005;104;135;NON;FR;QUANTITE;;NAF;10.31.11.10 Pommes de terre non cuites ou cuites eau/vapeur, congelées/surgelées
Q_0003;2008;FRANCE;FR;001;105;331862;OUI;FR;QUANTITE;;NAF;10.31.11.30 Pommes de terre prépa ou conserv aut vinaigre[.] congelées/surgelées
Q_0003;2008;FRANCE;FR;005;105;268101.522;OUI;FR;QUANTITE;;NAF;10.31.11.30 Pommes de terre prépa ou conserv aut vinaigre[.] congelées/surgelées
Q_0003;2009;FRANCE;FR;001;105;297707;OUI;FR;QUANTITE;;NAF;10.31.11.30 Pommes de terre prépa ou conserv aut vinaigre[.] congelées/surgelées
Q_0003;2009;FRANCE;FR;005;105;247826.977;OUI;FR;QUANTITE;;NAF;10.31.11.30 Pommes de terre prépa ou conserv aut vinaigre[.] congelées/surgelées
Q_0003;2010;FRANCE;FR;001;105;284100;OUI;FR;QUANTITE;;NAF;10.31.11.30 Pommes de terre prépa ou conserv aut vinaigre[.] congelées/surgelées
Q_0003;2010;FRANCE;FR;005;105;226140.178;OUI;FR;QUANTITE;;NAF;10.31.11.30 Pommes de terre prépa ou conserv aut vinaigre[.] congelées/surgelées
Q_0003;2011;FRANCE;FR;001;105;294686;OUI;FR;QUANTITE;;NAF;10.31.11.30 Pommes de terre prépa ou conserv aut vinaigre[.] congelées/surgelées
Q_0003;2011;FRANCE;FR;005;105;257281.681;OUI;FR;QUANTITE;;NAF;10.31.11.30 Pommes de terre prépa ou conserv aut vinaigre[.] congelées/surgelées
Q_0003;2012;FRANCE;FR;001;105;310165.21;OUI;FR;QUANTITE;;NAF;10.31.11.30 Pommes de terre prépa ou conserv aut vinaigre[.] congelées/surgelées
Q_0003;2012;FRANCE;FR;005;105;244723.84;OUI;FR;QUANTITE;;NAF;10.31.11.30 Pommes de terre prépa ou conserv aut vinaigre[.] congelées/surgelées
Q_0003;2013;FRANCE;FR;001;105;304978.927;OUI;FR;QUANTITE;;NAF;10.31.11.30 Pommes de terre prépa ou conserv aut vinaigre[.] congelées/surgelées
Q_0003;2013;FRANCE;FR;005;105;264461.599;OUI;FR;QUANTITE;;NAF;10.31.11.30 Pommes de terre prépa ou conserv aut vinaigre[.] congelées/surgelées
Q_0003;2014;FRANCE;FR;001;105;261926.951;OUI;FR;QUANTITE;;NAF;10.31.11.30 Pommes de terre prépa ou conserv aut vinaigre[.] congelées/surgelées
Q_0003;2014;FRANCE;FR;005;105;256234.243;OUI;FR;QUANTITE;;NAF;10.31.11.30 Pommes de terre prépa ou conserv aut vinaigre[.] congelées/surgelées
Q_0003;2015;FRANCE;FR;001;105;255570.102;OUI;FR;QUANTITE;;NAF;10.31.11.30 Pommes de terre prépa ou conserv aut vinaigre[.] congelées/surgelées
Q_0003;2015;FRANCE;FR;005;105;264868.493;OUI;FR;QUANTITE;;NAF;10.31.11.30 Pommes de terre prépa ou conserv aut vinaigre[.] congelées/surgelées
Q_0003;2016;FRANCE;FR;001;105;268513;OUI;FR;QUANTITE;;NAF;10.31.11.30 Pommes de terre prépa ou conserv aut vinaigre[.] congelées/surgelées
Q_0003;2016;FRANCE;FR;005;105;278410;OUI;FR;QUANTITE;;NAF;10.31.11.30 Pommes de terre prépa ou conserv aut vinaigre[.] congelées/surgelées
Q_0003;2017;FRANCE;FR;001;105;269744;OUI;FR;QUANTITE;;NAF;10.31.11.30 Pommes de terre prépa ou conserv aut vinaigre[.] congelées/surgelées
Q_0003;2017;FRANCE;FR;005;105;266078;OUI;FR;QUANTITE;;NAF;10.31.11.30 Pommes de terre prépa ou conserv aut vinaigre[.] congelées/surgelées
Q_0003;2018;FRANCE;FR;001;105;273607;OUI;FR;QUANTITE;;NAF;10.31.11.30 Pommes de terre prépa ou conserv aut vinaigre[.] congelées/surgelées
Q_0003;2018;FRANCE;FR;005;105;277584;OUI;FR;QUANTITE;;NAF;10.31.11.30 Pommes de terre prépa ou conserv aut vinaigre[.] congelées/surgelées
Q_0003;2019;FRANCE;FR;001;105;275477;OUI;FR;QUANTITE;;NAF;10.31.11.30 Pommes de terre prépa ou conserv aut vinaigre[.] congelées/surgelées
Q_0003;2019;FRANCE;FR;005;105;281809;OUI;FR;QUANTITE;;NAF;10.31.11.30 Pommes de terre prépa ou conserv aut vinaigre[.] congelées/surgelées
Q_0003;2020;FRANCE;FR;001;105;274093;OUI;FR;QUANTITE;;NAF;10.31.11.30 Pommes de terre prépa ou conserv aut vinaigre[.] congelées/surgelées
Q_0003;2020;FRANCE;FR;005;105;278337;OUI;FR;QUANTITE;;NAF;10.31.11.30 Pommes de terre prépa ou conserv aut vinaigre[.] congelées/surgelées
Q_0003;2012;FRANCE;FR;001;106;190;NON;FR;QUANTITE;;NAF;10.31.12.00 Pommes de terre déshydratées, coupées ou non, sans autre préparation
Q_0003;2012;FRANCE;FR;005;106;579.984;NON;FR;QUANTITE;;NAF;10.31.12.00 Pommes de terre déshydratées, coupées ou non, sans autre préparation
Q_0003;2013;FRANCE;FR;001;106;164.501;NON;FR;QUANTITE;;NAF;10.31.12.00 Pommes de terre déshydratées, coupées ou non, sans autre préparation
Q_0003;2013;FRANCE;FR;005;106;510.714;NON;FR;QUANTITE;;NAF;10.31.12.00 Pommes de terre déshydratées, coupées ou non, sans autre préparation
Q_0003;2008;FRANCE;FR;001;107;45109;OUI;FR;QUANTITE;;NAF;10.31.13.00 Pommes de terre déshydratées sous forme de farine, de poudre [.]
Q_0003;2008;FRANCE;FR;005;107;101864.465;OUI;FR;QUANTITE;;NAF;10.31.13.00 Pommes de terre déshydratées sous forme de farine, de poudre [.]
Q_0003;2009;FRANCE;FR;001;107;44553;OUI;FR;QUANTITE;;NAF;10.31.13.00 Pommes de terre déshydratées sous forme de farine, de poudre [.]
Q_0003;2009;FRANCE;FR;005;107;97741.037;OUI;FR;QUANTITE;;NAF;10.31.13.00 Pommes de terre déshydratées sous forme de farine, de poudre [.]
Q_0003;2010;FRANCE;FR;001;107;46036;OUI;FR;QUANTITE;;NAF;10.31.13.00 Pommes de terre déshydratées sous forme de farine, de poudre [.]
Q_0003;2010;FRANCE;FR;005;107;86053.625;OUI;FR;QUANTITE;;NAF;10.31.13.00 Pommes de terre déshydratées sous forme de farine, de poudre [.]
Q_0003;2011;FRANCE;FR;001;107;44179;OUI;FR;QUANTITE;;NAF;10.31.13.00 Pommes de terre déshydratées sous forme de farine, de poudre [.]
Q_0003;2011;FRANCE;FR;005;107;71186.151;OUI;FR;QUANTITE;;NAF;10.31.13.00 Pommes de terre déshydratées sous forme de farine, de poudre [.]
Q_0003;2012;FRANCE;FR;001;107;44125;NON;FR;QUANTITE;;NAF;10.31.13.00 Pommes de terre déshydratées sous forme de farine, de poudre [.]
Q_0003;2012;FRANCE;FR;005;107;69369.133;NON;FR;QUANTITE;;NAF;10.31.13.00 Pommes de terre déshydratées sous forme de farine, de poudre [.]
Q_0003;2013;FRANCE;FR;001;107;41901;NON;FR;QUANTITE;;NAF;10.31.13.00 Pommes de terre déshydratées sous forme de farine, de poudre [.]
Q_0003;2013;FRANCE;FR;005;107;58360.325;NON;FR;QUANTITE;;NAF;10.31.13.00 Pommes de terre déshydratées sous forme de farine, de poudre [.]
Q_0003;2014;FRANCE;FR;001;107;38720;NON;FR;QUANTITE;;NAF;10.31.13.00 Pommes de terre déshydratées sous forme de farine, de poudre [.]
Q_0003;2014;FRANCE;FR;005;107;53896.377;NON;FR;QUANTITE;;NAF;10.31.13.00 Pommes de terre déshydratées sous forme de farine, de poudre [.]
Q_0003;2015;FRANCE;FR;001;107;36429;NON;FR;QUANTITE;;NAF;10.31.13.00 Pommes de terre déshydratées sous forme de farine, de poudre [.]
Q_0003;2015;FRANCE;FR;005;107;54284.608;NON;FR;QUANTITE;;NAF;10.31.13.00 Pommes de terre déshydratées sous forme de farine, de poudre [.]
Q_0003;2016;FRANCE;FR;001;107;37797;NON;FR;QUANTITE;;NAF;10.31.13.00 Pommes de terre déshydratées sous forme de farine, de poudre [.]
Q_0003;2016;FRANCE;FR;005;107;56992;NON;FR;QUANTITE;;NAF;10.31.13.00 Pommes de terre déshydratées sous forme de farine, de poudre [.]
Q_0003;2017;FRANCE;FR;001;107;40226;NON;FR;QUANTITE;;NAF;10.31.13.00 Pommes de terre déshydratées sous forme de farine, de poudre [.]
Q_0003;2017;FRANCE;FR;005;107;58291;NON;FR;QUANTITE;;NAF;10.31.13.00 Pommes de terre déshydratées sous forme de farine, de poudre [.]
Q_0003;2018;FRANCE;FR;001;107;41966;NON;FR;QUANTITE;;NAF;10.31.13.00 Pommes de terre déshydratées sous forme de farine, de poudre [.]
Q_0003;2018;FRANCE;FR;005;107;62318;NON;FR;QUANTITE;;NAF;10.31.13.00 Pommes de terre déshydratées sous forme de farine, de poudre [.]
Q_0003;2019;FRANCE;FR;001;107;43489;NON;FR;QUANTITE;;NAF;10.31.13.00 Pommes de terre déshydratées sous forme de farine, de poudre [.]
Q_0003;2019;FRANCE;FR;005;107;71931;NON;FR;QUANTITE;;NAF;10.31.13.00 Pommes de terre déshydratées sous forme de farine, de poudre [.]
Q_0003;2020;FRANCE;FR;001;107;42771;NON;FR;QUANTITE;;NAF;10.31.13.00 Pommes de terre déshydratées sous forme de farine, de poudre [.]
Q_0003;2020;FRANCE;FR;005;107;82226;NON;FR;QUANTITE;;NAF;10.31.13.00 Pommes de terre déshydratées sous forme de farine, de poudre [.]
Q_0003;2008;FRANCE;FR;001;108;4540;NON;FR;QUANTITE;;NAF;10.31.14.30 Pommes de terre [.], sous forme de farine, semoule ou flocons
Q_0003;2008;FRANCE;FR;005;108;30702;NON;FR;QUANTITE;;NAF;10.31.14.30 Pommes de terre [.], sous forme de farine, semoule ou flocons
Q_0003;2009;FRANCE;FR;001;108;4540;NON;FR;QUANTITE;;NAF;10.31.14.30 Pommes de terre [.], sous forme de farine, semoule ou flocons
Q_0003;2009;FRANCE;FR;005;108;28361;NON;FR;QUANTITE;;NAF;10.31.14.30 Pommes de terre [.], sous forme de farine, semoule ou flocons
Q_0003;2010;FRANCE;FR;001;108;1996;NON;FR;QUANTITE;;NAF;10.31.14.30 Pommes de terre [.], sous forme de farine, semoule ou flocons
Q_0003;2010;FRANCE;FR;005;108;6165;NON;FR;QUANTITE;;NAF;10.31.14.30 Pommes de terre [.], sous forme de farine, semoule ou flocons
Q_0003;2011;FRANCE;FR;001;108;2239;NON;FR;QUANTITE;;NAF;10.31.14.30 Pommes de terre [.], sous forme de farine, semoule ou flocons
Q_0003;2011;FRANCE;FR;005;108;6908;NON;FR;QUANTITE;;NAF;10.31.14.30 Pommes de terre [.], sous forme de farine, semoule ou flocons
Q_0003;2012;FRANCE;FR;001;108;2118;NON;FR;QUANTITE;;NAF;10.31.14.30 Pommes de terre [.], sous forme de farine, semoule ou flocons
Q_0003;2012;FRANCE;FR;005;108;6000;NON;FR;QUANTITE;;NAF;10.31.14.30 Pommes de terre [.], sous forme de farine, semoule ou flocons
Q_0003;2013;FRANCE;FR;001;108;4820;NON;FR;QUANTITE;;NAF;10.31.14.30 Pommes de terre [.], sous forme de farine, semoule ou flocons
Q_0003;2013;FRANCE;FR;005;108;13653;NON;FR;QUANTITE;;NAF;10.31.14.30 Pommes de terre [.], sous forme de farine, semoule ou flocons
Q_0003;2014;FRANCE;FR;001;108;4533;NON;FR;QUANTITE;;NAF;10.31.14.30 Pommes de terre [.], sous forme de farine, semoule ou flocons
Q_0003;2014;FRANCE;FR;005;108;12854;NON;FR;QUANTITE;;NAF;10.31.14.30 Pommes de terre [.], sous forme de farine, semoule ou flocons
Q_0003;2015;FRANCE;FR;001;108;4624;NON;FR;QUANTITE;;NAF;10.31.14.30 Pommes de terre [.], sous forme de farine, semoule ou flocons
Q_0003;2015;FRANCE;FR;005;108;11444;NON;FR;QUANTITE;;NAF;10.31.14.30 Pommes de terre [.], sous forme de farine, semoule ou flocons
Q_0003;2016;FRANCE;FR;001;108;4175;NON;FR;QUANTITE;;NAF;10.31.14.30 Pommes de terre [.], sous forme de farine, semoule ou flocons
Q_0003;2016;FRANCE;FR;005;108;10316;NON;FR;QUANTITE;;NAF;10.31.14.30 Pommes de terre [.], sous forme de farine, semoule ou flocons
Q_0003;2017;FRANCE;FR;001;108;4413;NON;FR;QUANTITE;;NAF;10.31.14.30 Pommes de terre [.], sous forme de farine, semoule ou flocons
Q_0003;2017;FRANCE;FR;005;108;10353;NON;FR;QUANTITE;;NAF;10.31.14.30 Pommes de terre [.], sous forme de farine, semoule ou flocons
Q_0003;2018;FRANCE;FR;001;108;3443;NON;FR;QUANTITE;;NAF;10.31.14.30 Pommes de terre [.], sous forme de farine, semoule ou flocons
Q_0003;2018;FRANCE;FR;005;108;10353;NON;FR;QUANTITE;;NAF;10.31.14.30 Pommes de terre [.], sous forme de farine, semoule ou flocons
Q_0003;2019;FRANCE;FR;001;108;3344;NON;FR;QUANTITE;;NAF;10.31.14.30 Pommes de terre [.], sous forme de farine, semoule ou flocons
Q_0003;2019;FRANCE;FR;005;108;8861;NON;FR;QUANTITE;;NAF;10.31.14.30 Pommes de terre [.], sous forme de farine, semoule ou flocons
Q_0003;2020;FRANCE;FR;001;108;3399;NON;FR;QUANTITE;;NAF;10.31.14.30 Pommes de terre [.], sous forme de farine, semoule ou flocons
Q_0003;2020;FRANCE;FR;005;108;14990;NON;FR;QUANTITE;;NAF;10.31.14.30 Pommes de terre [.], sous forme de farine, semoule ou flocons
Q_0003;2008;FRANCE;FR;001;109;126430;OUI;FR;QUANTITE;;NAF;10.31.14.60 Autres préparations ou conserves de pommes de terre, yc les chips
Q_0003;2008;FRANCE;FR;005;109;302603.56;OUI;FR;QUANTITE;;NAF;10.31.14.60 Autres préparations ou conserves de pommes de terre, yc les chips
Q_0003;2009;FRANCE;FR;001;109;119337;OUI;FR;QUANTITE;;NAF;10.31.14.60 Autres préparations ou conserves de pommes de terre, yc les chips
Q_0003;2009;FRANCE;FR;005;109;260287.825;OUI;FR;QUANTITE;;NAF;10.31.14.60 Autres préparations ou conserves de pommes de terre, yc les chips
Q_0003;2010;FRANCE;FR;001;109;120626;OUI;FR;QUANTITE;;NAF;10.31.14.60 Autres préparations ou conserves de pommes de terre, yc les chips
Q_0003;2010;FRANCE;FR;005;109;258000.669;OUI;FR;QUANTITE;;NAF;10.31.14.60 Autres préparations ou conserves de pommes de terre, yc les chips
Q_0003;2011;FRANCE;FR;001;109;130946;OUI;FR;QUANTITE;;NAF;10.31.14.60 Autres préparations ou conserves de pommes de terre, yc les chips
Q_0003;2011;FRANCE;FR;005;109;294280.493;OUI;FR;QUANTITE;;NAF;10.31.14.60 Autres préparations ou conserves de pommes de terre, yc les chips
Q_0003;2012;FRANCE;FR;001;109;121179;OUI;FR;QUANTITE;;NAF;10.31.14.60 Autres préparations ou conserves de pommes de terre, yc les chips
Q_0003;2012;FRANCE;FR;005;109;295135.995;OUI;FR;QUANTITE;;NAF;10.31.14.60 Autres préparations ou conserves de pommes de terre, yc les chips
Q_0003;2013;FRANCE;FR;001;109;117646.914;OUI;FR;QUANTITE;;NAF;10.31.14.60 Autres préparations ou conserves de pommes de terre, yc les chips
Q_0003;2013;FRANCE;FR;005;109;300831.791;OUI;FR;QUANTITE;;NAF;10.31.14.60 Autres préparations ou conserves de pommes de terre, yc les chips
Q_0003;2014;FRANCE;FR;001;109;98029.006;OUI;FR;QUANTITE;;NAF;10.31.14.60 Autres préparations ou conserves de pommes de terre, yc les chips
Q_0003;2014;FRANCE;FR;005;109;304912.13;OUI;FR;QUANTITE;;NAF;10.31.14.60 Autres préparations ou conserves de pommes de terre, yc les chips
Q_0003;2015;FRANCE;FR;001;109;121337.322;OUI;FR;QUANTITE;;NAF;10.31.14.60 Autres préparations ou conserves de pommes de terre, yc les chips
Q_0003;2015;FRANCE;FR;005;109;313542.248;OUI;FR;QUANTITE;;NAF;10.31.14.60 Autres préparations ou conserves de pommes de terre, yc les chips
Q_0003;2016;FRANCE;FR;001;109;128197;OUI;FR;QUANTITE;;NAF;10.31.14.60 Autres préparations ou conserves de pommes de terre, yc les chips
Q_0003;2016;FRANCE;FR;005;109;324753;OUI;FR;QUANTITE;;NAF;10.31.14.60 Autres préparations ou conserves de pommes de terre, yc les chips
Q_0003;2017;FRANCE;FR;001;109;136906;OUI;FR;QUANTITE;;NAF;10.31.14.60 Autres préparations ou conserves de pommes de terre, yc les chips
Q_0003;2017;FRANCE;FR;005;109;337598;OUI;FR;QUANTITE;;NAF;10.31.14.60 Autres préparations ou conserves de pommes de terre, yc les chips
Q_0003;2018;FRANCE;FR;001;109;137005;OUI;FR;QUANTITE;;NAF;10.31.14.60 Autres préparations ou conserves de pommes de terre, yc les chips
Q_0003;2018;FRANCE;FR;005;109;348313;OUI;FR;QUANTITE;;NAF;10.31.14.60 Autres préparations ou conserves de pommes de terre, yc les chips
Q_0003;2019;FRANCE;FR;001;109;132924;OUI;FR;QUANTITE;;NAF;10.31.14.60 Autres préparations ou conserves de pommes de terre, yc les chips
Q_0003;2019;FRANCE;FR;005;109;356622;OUI;FR;QUANTITE;;NAF;10.31.14.60 Autres préparations ou conserves de pommes de terre, yc les chips
Q_0003;2020;FRANCE;FR;001;109;134760;OUI;FR;QUANTITE;;NAF;10.31.14.60 Autres préparations ou conserves de pommes de terre, yc les chips
Q_0003;2020;FRANCE;FR;005;109;376134;OUI;FR;QUANTITE;;NAF;10.31.14.60 Autres préparations ou conserves de pommes de terre, yc les chips
Q_0003;2008;FRANCE;FR;002;110;114839.57;OUI;FR;QUANTITE;;NAF;10.32.11.00 Jus de tomate
Q_0003;2008;FRANCE;FR;005;110;7629;OUI;FR;QUANTITE;;NAF;10.32.11.00 Jus de tomate
Q_0003;2009;FRANCE;FR;002;110;102623.24;OUI;FR;QUANTITE;;NAF;10.32.11.00 Jus de tomate
Q_0003;2009;FRANCE;FR;005;110;7078;OUI;FR;QUANTITE;;NAF;10.32.11.00 Jus de tomate
Q_0003;2010;FRANCE;FR;002;110;137841.18;OUI;FR;QUANTITE;;NAF;10.32.11.00 Jus de tomate
Q_0003;2010;FRANCE;FR;005;110;12162;OUI;FR;QUANTITE;;NAF;10.32.11.00 Jus de tomate
