NOM;ANNREF;NIVGEO;GEO;Q_0006_MOD_DIM1;Q_0006_MOD_DIM2;VALEUR;QUALITE;FRANCE;Q_0006_DIM1;Q_0006_LIB_DIM1;Q_0006_DIM2;Q_0006_LIB_DIM2
Q_0006;2008;FRANCE;FR;001;228;16173.714;OUI;FR;QUANTITE;;NAF;10.61.11.00 Riz décortiqué (cargo ou brun)
Q_0006;2008;FRANCE;FR;005;228;8954.68;OUI;FR;QUANTITE;;NAF;10.61.11.00 Riz décortiqué (cargo ou brun)
Q_0006;2009;FRANCE;FR;001;228;3789.157;OUI;FR;QUANTITE;;NAF;10.61.11.00 Riz décortiqué (cargo ou brun)
Q_0006;2009;FRANCE;FR;005;228;3821.488;OUI;FR;QUANTITE;;NAF;10.61.11.00 Riz décortiqué (cargo ou brun)
Q_0006;2010;FRANCE;FR;001;228;2771.068;OUI;FR;QUANTITE;;NAF;10.61.11.00 Riz décortiqué (cargo ou brun)
Q_0006;2010;FRANCE;FR;005;228;2896.474;OUI;FR;QUANTITE;;NAF;10.61.11.00 Riz décortiqué (cargo ou brun)
Q_0006;2011;FRANCE;FR;001;228;1723.936;OUI;FR;QUANTITE;;NAF;10.61.11.00 Riz décortiqué (cargo ou brun)
Q_0006;2011;FRANCE;FR;005;228;2219.822;OUI;FR;QUANTITE;;NAF;10.61.11.00 Riz décortiqué (cargo ou brun)
Q_0006;2012;FRANCE;FR;001;228;2145;OUI;FR;QUANTITE;;NAF;10.61.11.00 Riz décortiqué (cargo ou brun)
Q_0006;2012;FRANCE;FR;005;228;3082.096;OUI;FR;QUANTITE;;NAF;10.61.11.00 Riz décortiqué (cargo ou brun)
Q_0006;2013;FRANCE;FR;001;228;4053;OUI;FR;QUANTITE;;NAF;10.61.11.00 Riz décortiqué (cargo ou brun)
Q_0006;2013;FRANCE;FR;005;228;3836.98;OUI;FR;QUANTITE;;NAF;10.61.11.00 Riz décortiqué (cargo ou brun)
Q_0006;2014;FRANCE;FR;001;228;2960.244;OUI;FR;QUANTITE;;NAF;10.61.11.00 Riz décortiqué (cargo ou brun)
Q_0006;2014;FRANCE;FR;005;228;2933.643;OUI;FR;QUANTITE;;NAF;10.61.11.00 Riz décortiqué (cargo ou brun)
Q_0006;2015;FRANCE;FR;001;228;6130.119;OUI;FR;QUANTITE;;NAF;10.61.11.00 Riz décortiqué (cargo ou brun)
Q_0006;2015;FRANCE;FR;005;228;4698.296;OUI;FR;QUANTITE;;NAF;10.61.11.00 Riz décortiqué (cargo ou brun)
Q_0006;2016;FRANCE;FR;001;228;5621;OUI;FR;QUANTITE;;NAF;10.61.11.00 Riz décortiqué (cargo ou brun)
Q_0006;2016;FRANCE;FR;005;228;6639;OUI;FR;QUANTITE;;NAF;10.61.11.00 Riz décortiqué (cargo ou brun)
Q_0006;2017;FRANCE;FR;001;228;8219;OUI;FR;QUANTITE;;NAF;10.61.11.00 Riz décortiqué (cargo ou brun)
Q_0006;2017;FRANCE;FR;005;228;8177;OUI;FR;QUANTITE;;NAF;10.61.11.00 Riz décortiqué (cargo ou brun)
Q_0006;2018;FRANCE;FR;001;228;5956;OUI;FR;QUANTITE;;NAF;10.61.11.00 Riz décortiqué (cargo ou brun)
Q_0006;2018;FRANCE;FR;005;228;5304;OUI;FR;QUANTITE;;NAF;10.61.11.00 Riz décortiqué (cargo ou brun)
Q_0006;2019;FRANCE;FR;001;228;7140;OUI;FR;QUANTITE;;NAF;10.61.11.00 Riz décortiqué (cargo ou brun)
Q_0006;2019;FRANCE;FR;005;228;5735;OUI;FR;QUANTITE;;NAF;10.61.11.00 Riz décortiqué (cargo ou brun)
Q_0006;2020;FRANCE;FR;001;228;8729;OUI;FR;QUANTITE;;NAF;10.61.11.00 Riz décortiqué (cargo ou brun)
Q_0006;2020;FRANCE;FR;005;228;6648;OUI;FR;QUANTITE;;NAF;10.61.11.00 Riz décortiqué (cargo ou brun)
Q_0006;2008;FRANCE;FR;001;229;120568.208;OUI;FR;QUANTITE;;NAF;10.61.12.30 Riz semi-blanchi ou blanchi, même poli ou glacé
Q_0006;2008;FRANCE;FR;005;229;121706.214;OUI;FR;QUANTITE;;NAF;10.61.12.30 Riz semi-blanchi ou blanchi, même poli ou glacé
