NOM;ANNREF;NIVGEO;GEO;Q_0004_MOD_DIM1;Q_0004_MOD_DIM2;VALEUR;QUALITE;FRANCE;Q_0004_DIM1;Q_0004_LIB_DIM1;Q_0004_DIM2;Q_0004_LIB_DIM2
Q_0004;2008;FRANCE;FR;001;157;4879.2;NON;FR;QUANTITE;;NAF;10.41.12.00 Graisses/huiles poissons, mammif. marins et fract (non chimiq modif)
Q_0004;2008;FRANCE;FR;005;157;3385.462;NON;FR;QUANTITE;;NAF;10.41.12.00 Graisses/huiles poissons, mammif. marins et fract (non chimiq modif)
Q_0004;2009;FRANCE;FR;001;157;4777.82;NON;FR;QUANTITE;;NAF;10.41.12.00 Graisses/huiles poissons, mammif. marins et fract (non chimiq modif)
Q_0004;2009;FRANCE;FR;005;157;2496.867;NON;FR;QUANTITE;;NAF;10.41.12.00 Graisses/huiles poissons, mammif. marins et fract (non chimiq modif)
Q_0004;2010;FRANCE;FR;001;157;5205.65;NON;FR;QUANTITE;;NAF;10.41.12.00 Graisses/huiles poissons, mammif. marins et fract (non chimiq modif)
Q_0004;2010;FRANCE;FR;005;157;3046.113;NON;FR;QUANTITE;;NAF;10.41.12.00 Graisses/huiles poissons, mammif. marins et fract (non chimiq modif)
Q_0004;2011;FRANCE;FR;001;157;4450.32;NON;FR;QUANTITE;;NAF;10.41.12.00 Graisses/huiles poissons, mammif. marins et fract (non chimiq modif)
Q_0004;2011;FRANCE;FR;005;157;4039.827;NON;FR;QUANTITE;;NAF;10.41.12.00 Graisses/huiles poissons, mammif. marins et fract (non chimiq modif)
Q_0004;2012;FRANCE;FR;001;157;4285.04;NON;FR;QUANTITE;;NAF;10.41.12.00 Graisses/huiles poissons, mammif. marins et fract (non chimiq modif)
Q_0004;2012;FRANCE;FR;005;157;4115.068;NON;FR;QUANTITE;;NAF;10.41.12.00 Graisses/huiles poissons, mammif. marins et fract (non chimiq modif)
Q_0004;2013;FRANCE;FR;001;157;4143.66;NON;FR;QUANTITE;;NAF;10.41.12.00 Graisses/huiles poissons, mammif. marins et fract (non chimiq modif)
Q_0004;2013;FRANCE;FR;005;157;4995.912;NON;FR;QUANTITE;;NAF;10.41.12.00 Graisses/huiles poissons, mammif. marins et fract (non chimiq modif)
