NOM;ANNREF;NIVGEO;GEO;Q_0002_MOD_DIM1;Q_0002_MOD_DIM2;VALEUR;QUALITE;FRANCE;Q_0002_DIM1;Q_0002_LIB_DIM1;Q_0002_DIM2;Q_0002_LIB_DIM2
Q_0002;2008;FRANCE;FR;001;066;89060.079;OUI;FR;QUANTITE;;NAF;10.20.11.00 Filets et chair de poissons (même hachée), frais ou réfrigérés
Q_0002;2008;FRANCE;FR;005;066;530111.394;OUI;FR;QUANTITE;;NAF;10.20.11.00 Filets et chair de poissons (même hachée), frais ou réfrigérés
Q_0002;2009;FRANCE;FR;001;066;93846.017;OUI;FR;QUANTITE;;NAF;10.20.11.00 Filets et chair de poissons (même hachée), frais ou réfrigérés
Q_0002;2009;FRANCE;FR;005;066;534913.389;OUI;FR;QUANTITE;;NAF;10.20.11.00 Filets et chair de poissons (même hachée), frais ou réfrigérés
Q_0002;2010;FRANCE;FR;001;066;112037.159;OUI;FR;QUANTITE;;NAF;10.20.11.00 Filets et chair de poissons (même hachée), frais ou réfrigérés
Q_0002;2010;FRANCE;FR;005;066;649783.261;OUI;FR;QUANTITE;;NAF;10.20.11.00 Filets et chair de poissons (même hachée), frais ou réfrigérés
Q_0002;2011;FRANCE;FR;001;066;115105.194;OUI;FR;QUANTITE;;NAF;10.20.11.00 Filets et chair de poissons (même hachée), frais ou réfrigérés
Q_0002;2011;FRANCE;FR;005;066;679530.877;OUI;FR;QUANTITE;;NAF;10.20.11.00 Filets et chair de poissons (même hachée), frais ou réfrigérés
Q_0002;2012;FRANCE;FR;001;066;117533.689;OUI;FR;QUANTITE;;NAF;10.20.11.00 Filets et chair de poissons (même hachée), frais ou réfrigérés
Q_0002;2012;FRANCE;FR;005;066;662663.84;OUI;FR;QUANTITE;;NAF;10.20.11.00 Filets et chair de poissons (même hachée), frais ou réfrigérés
Q_0002;2013;FRANCE;FR;001;066;95081.21;OUI;FR;QUANTITE;;NAF;10.20.11.00 Filets et chair de poissons (même hachée), frais ou réfrigérés
Q_0002;2013;FRANCE;FR;005;066;579707.614;OUI;FR;QUANTITE;;NAF;10.20.11.00 Filets et chair de poissons (même hachée), frais ou réfrigérés
Q_0002;2014;FRANCE;FR;001;066;80797;OUI;FR;QUANTITE;;NAF;10.20.11.00 Filets et chair de poissons (même hachée), frais ou réfrigérés
Q_0002;2014;FRANCE;FR;005;066;520129;OUI;FR;QUANTITE;;NAF;10.20.11.00 Filets et chair de poissons (même hachée), frais ou réfrigérés
Q_0002;2015;FRANCE;FR;001;066;71916.901;OUI;FR;QUANTITE;;NAF;10.20.11.00 Filets et chair de poissons (même hachée), frais ou réfrigérés
Q_0002;2015;FRANCE;FR;005;066;525208.651;OUI;FR;QUANTITE;;NAF;10.20.11.00 Filets et chair de poissons (même hachée), frais ou réfrigérés
Q_0002;2016;FRANCE;FR;001;066;54385;OUI;FR;QUANTITE;;NAF;10.20.11.00 Filets et chair de poissons (même hachée), frais ou réfrigérés
Q_0002;2016;FRANCE;FR;005;066;466009;OUI;FR;QUANTITE;;NAF;10.20.11.00 Filets et chair de poissons (même hachée), frais ou réfrigérés
Q_0002;2017;FRANCE;FR;001;066;65752;OUI;FR;QUANTITE;;NAF;10.20.11.00 Filets et chair de poissons (même hachée), frais ou réfrigérés
Q_0002;2017;FRANCE;FR;005;066;548707;OUI;FR;QUANTITE;;NAF;10.20.11.00 Filets et chair de poissons (même hachée), frais ou réfrigérés
Q_0002;2018;FRANCE;FR;001;066;67292;OUI;FR;QUANTITE;;NAF;10.20.11.00 Filets et chair de poissons (même hachée), frais ou réfrigérés
Q_0002;2018;FRANCE;FR;005;066;574670;OUI;FR;QUANTITE;;NAF;10.20.11.00 Filets et chair de poissons (même hachée), frais ou réfrigérés
Q_0002;2019;FRANCE;FR;001;067;54213;OUI;FR;QUANTITE;;NAF;10.20.11.10 Filets de poissons frais ou réfrigérés/viandes de poisson yc hachées
Q_0002;2019;FRANCE;FR;005;067;523767;OUI;FR;QUANTITE;;NAF;10.20.11.10 Filets de poissons frais ou réfrigérés/viandes de poisson yc hachées
Q_0002;2020;FRANCE;FR;001;067;60240;OUI;FR;QUANTITE;;NAF;10.20.11.10 Filets de poissons frais ou réfrigérés/viandes de poisson yc hachées
Q_0002;2020;FRANCE;FR;005;067;537187;OUI;FR;QUANTITE;;NAF;10.20.11.10 Filets de poissons frais ou réfrigérés/viandes de poisson yc hachées
Q_0002;2008;FRANCE;FR;001;068;290.599;OUI;FR;QUANTITE;;NAF;10.20.12.00 Foies, œufs et laitances de poissons, frais ou réfrigérés
Q_0002;2008;FRANCE;FR;005;068;2662.451;OUI;FR;QUANTITE;;NAF;10.20.12.00 Foies, œufs et laitances de poissons, frais ou réfrigérés
Q_0002;2009;FRANCE;FR;001;068;225.972;OUI;FR;QUANTITE;;NAF;10.20.12.00 Foies, œufs et laitances de poissons, frais ou réfrigérés
