NOM;ANNREF;NIVGEO;GEO;Q_0001_MOD_DIM1;Q_0001_MOD_DIM2;VALEUR;QUALITE;FRANCE;Q_0001_DIM1;Q_0001_LIB_DIM1;Q_0001_DIM2;Q_0001_LIB_DIM2
Q_0001;2008;FRANCE;FR;001;001;515847.757;OUI;FR;QUANTITE;Production commercialisée, quantité (tonnes);NAF;10.11.11.40 Viandes bovines fraîches/réfrigérées, en (demi-)carcasses, quartiers
Q_0001;2008;FRANCE;FR;005;001;2323973.425;OUI;FR;QUANTITE;Production commercialisée, valeur (millier d'euros);NAF;10.11.11.40 Viandes bovines fraîches/réfrigérées, en (demi-)carcasses, quartiers
Q_0001;2009;FRANCE;FR;001;001;486469.655;OUI;FR;QUANTITE;Production commercialisée, quantité (tonnes);NAF;10.11.11.40 Viandes bovines fraîches/réfrigérées, en (demi-)carcasses, quartiers
Q_0001;2009;FRANCE;FR;005;001;2178013.285;OUI;FR;QUANTITE;Production commercialisée, valeur (millier d'euros);NAF;10.11.11.40 Viandes bovines fraîches/réfrigérées, en (demi-)carcasses, quartiers
Q_0001;2010;FRANCE;FR;001;001;492352.238;OUI;FR;QUANTITE;Production commercialisée, quantité (tonnes);NAF;10.11.11.40 Viandes bovines fraîches/réfrigérées, en (demi-)carcasses, quartiers
Q_0001;2010;FRANCE;FR;005;001;2176676.687;OUI;FR;QUANTITE;Production commercialisée, valeur (millier d'euros);NAF;10.11.11.40 Viandes bovines fraîches/réfrigérées, en (demi-)carcasses, quartiers
Q_0001;2011;FRANCE;FR;001;001;514435.987;OUI;FR;QUANTITE;Production commercialisée, quantité (tonnes);NAF;10.11.11.40 Viandes bovines fraîches/réfrigérées, en (demi-)carcasses, quartiers
Q_0001;2011;FRANCE;FR;005;001;2349255.126;OUI;FR;QUANTITE;Production commercialisée, valeur (millier d'euros);NAF;10.11.11.40 Viandes bovines fraîches/réfrigérées, en (demi-)carcasses, quartiers
Q_0001;2012;FRANCE;FR;001;001;485932.029;OUI;FR;QUANTITE;Production commercialisée, quantité (tonnes);NAF;10.11.11.40 Viandes bovines fraîches/réfrigérées, en (demi-)carcasses, quartiers
Q_0001;2012;FRANCE;FR;005;001;2412080.348;OUI;FR;QUANTITE;Production commercialisée, valeur (millier d'euros);NAF;10.11.11.40 Viandes bovines fraîches/réfrigérées, en (demi-)carcasses, quartiers
Q_0001;2013;FRANCE;FR;001;001;466838.358;OUI;FR;QUANTITE;Production commercialisée, quantité (tonnes);NAF;10.11.11.40 Viandes bovines fraîches/réfrigérées, en (demi-)carcasses, quartiers
Q_0001;2013;FRANCE;FR;005;001;2442646.972;OUI;FR;QUANTITE;Production commercialisée, valeur (millier d'euros);NAF;10.11.11.40 Viandes bovines fraîches/réfrigérées, en (demi-)carcasses, quartiers
