NOM;ANNREF;FRANCE;FRDOM;REGION;DEP;G_0044_DIM1;G_0044_MOD_DIM1;G_0044_LIB_DIM1;G_0044_DIM2;G_0044_MOD_DIM2;G_0044_LIB_DIM2;VALEUR;QUALITE
G_0044;2010;FR;............;............;............;Cheptel;001;Ensemble des structures collectives;Indicateur;001;Nombre de structures collectives;1410;OUI
G_0044;2010;FR;............;............;............;Cheptel;001;Ensemble des structures collectives;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;1207790;OUI
G_0044;2010;FR;............;............;............;Cheptel;001;Ensemble des structures collectives;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));54951390;OUI
G_0044;2010;FR;............;............;............;Cheptel;002;Vaches laitières;Indicateur;001;Nombre de structures collectives;79;OUI
G_0044;2010;FR;............;............;............;Cheptel;002;Vaches laitières;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;7672;OUI
G_0044;2010;FR;............;............;............;Cheptel;002;Vaches laitières;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));317500;OUI
G_0044;2010;FR;............;............;............;Cheptel;003;Vaches nourrices;Indicateur;001;Nombre de structures collectives;417;OUI
G_0044;2010;FR;............;............;............;Cheptel;003;Vaches nourrices;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;59233;OUI
G_0044;2010;FR;............;............;............;Cheptel;003;Vaches nourrices;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));2932725;OUI
G_0044;2010;FR;............;............;............;Cheptel;004;Autres bovins;Indicateur;001;Nombre de structures collectives;460;OUI
G_0044;2010;FR;............;............;............;Cheptel;004;Autres bovins;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;51671;OUI
G_0044;2010;FR;............;............;............;Cheptel;004;Autres bovins;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));2500500;OUI
G_0044;2010;FR;............;............;............;Cheptel;005;Equidés;Indicateur;001;Nombre de structures collectives;263;OUI
G_0044;2010;FR;............;............;............;Cheptel;005;Equidés;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;9147;OUI
G_0044;2010;FR;............;............;............;Cheptel;005;Equidés;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));534985;OUI
G_0044;2010;FR;............;............;............;Cheptel;006;Ovins;Indicateur;001;Nombre de structures collectives;569;OUI
G_0044;2010;FR;............;............;............;Cheptel;006;Ovins;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;914951;OUI
G_0044;2010;FR;............;............;............;Cheptel;006;Ovins;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));41126065;OUI
G_0044;2010;FR;............;............;............;Cheptel;007;Caprins;Indicateur;001;Nombre de structures collectives;126;OUI
G_0044;2010;FR;............;............;............;Cheptel;007;Caprins;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;5166;OUI
G_0044;2010;FR;............;............;............;Cheptel;007;Caprins;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));269955;OUI
G_0044;2010;FR;............;............;............;Cheptel;008;Autres herbivores;Indicateur;001;Nombre de structures collectives;15;OUI
G_0044;2010;FR;............;............;............;Cheptel;008;Autres herbivores;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;2892;OUI
G_0044;2010;FR;............;............;............;Cheptel;008;Autres herbivores;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));109820;OUI
G_0044;2010;FR;............;............;............;Cheptel;009;UGB;Indicateur;001;Nombre de structures collectives;358;OUI
G_0044;2010;FR;............;............;............;Cheptel;009;UGB;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;157058;OUI
G_0044;2010;FR;............;............;............;Cheptel;009;UGB;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));7159840;OUI
G_0044;2010;FR;DOM;............;............;Cheptel;001;Ensemble des structures collectives;Indicateur;001;Nombre de structures collectives;;OUI
G_0044;2010;FR;DOM;............;............;Cheptel;001;Ensemble des structures collectives;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;;OUI
G_0044;2010;FR;DOM;............;............;Cheptel;001;Ensemble des structures collectives;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));;OUI
G_0044;2010;FR;DOM;............;............;Cheptel;003;Vaches nourrices;Indicateur;001;Nombre de structures collectives;3;OUI
G_0044;2010;FR;DOM;............;............;Cheptel;003;Vaches nourrices;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;16;OUI
G_0044;2010;FR;DOM;............;............;Cheptel;003;Vaches nourrices;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));1840;OUI
G_0044;2010;FR;DOM;............;............;Cheptel;004;Autres bovins;Indicateur;001;Nombre de structures collectives;;NON
G_0044;2010;FR;DOM;............;............;Cheptel;004;Autres bovins;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;;NON
G_0044;2010;FR;DOM;............;............;Cheptel;004;Autres bovins;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));;NON
G_0044;2010;FR;DOM;R01;............;Cheptel;001;Ensemble des structures collectives;Indicateur;001;Nombre de structures collectives;;OUI
G_0044;2010;FR;DOM;R01;............;Cheptel;001;Ensemble des structures collectives;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;;OUI
G_0044;2010;FR;DOM;R01;............;Cheptel;001;Ensemble des structures collectives;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));;OUI
G_0044;2010;FR;DOM;R01;............;Cheptel;003;Vaches nourrices;Indicateur;001;Nombre de structures collectives;3;OUI
G_0044;2010;FR;DOM;R01;............;Cheptel;003;Vaches nourrices;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;16;OUI
G_0044;2010;FR;DOM;R01;............;Cheptel;003;Vaches nourrices;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));1840;OUI
G_0044;2010;FR;DOM;R01;............;Cheptel;004;Autres bovins;Indicateur;001;Nombre de structures collectives;;NON
G_0044;2010;FR;DOM;R01;............;Cheptel;004;Autres bovins;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;;NON
G_0044;2010;FR;DOM;R01;............;Cheptel;004;Autres bovins;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));;NON
G_0044;2010;FR;DOM;R01;971;Cheptel;001;Ensemble des structures collectives;Indicateur;001;Nombre de structures collectives;;OUI
G_0044;2010;FR;DOM;R01;971;Cheptel;001;Ensemble des structures collectives;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;;OUI
G_0044;2010;FR;DOM;R01;971;Cheptel;001;Ensemble des structures collectives;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));;OUI
G_0044;2010;FR;DOM;R01;971;Cheptel;003;Vaches nourrices;Indicateur;001;Nombre de structures collectives;3;OUI
G_0044;2010;FR;DOM;R01;971;Cheptel;003;Vaches nourrices;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;16;OUI
G_0044;2010;FR;DOM;R01;971;Cheptel;003;Vaches nourrices;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));1840;OUI
G_0044;2010;FR;DOM;R01;971;Cheptel;004;Autres bovins;Indicateur;001;Nombre de structures collectives;;NON
G_0044;2010;FR;DOM;R01;971;Cheptel;004;Autres bovins;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;;NON
G_0044;2010;FR;DOM;R01;971;Cheptel;004;Autres bovins;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));;NON
G_0044;2010;FR;METRO;............;............;Cheptel;001;Ensemble des structures collectives;Indicateur;001;Nombre de structures collectives;1407;OUI
G_0044;2010;FR;METRO;............;............;Cheptel;001;Ensemble des structures collectives;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;1207763;OUI
G_0044;2010;FR;METRO;............;............;Cheptel;001;Ensemble des structures collectives;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));54948285;OUI
G_0044;2010;FR;METRO;............;............;Cheptel;002;Vaches laitières;Indicateur;001;Nombre de structures collectives;79;OUI
G_0044;2010;FR;METRO;............;............;Cheptel;002;Vaches laitières;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;7672;OUI
G_0044;2010;FR;METRO;............;............;Cheptel;002;Vaches laitières;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));317500;OUI
G_0044;2010;FR;METRO;............;............;Cheptel;003;Vaches nourrices;Indicateur;001;Nombre de structures collectives;414;OUI
G_0044;2010;FR;METRO;............;............;Cheptel;003;Vaches nourrices;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;59217;OUI
G_0044;2010;FR;METRO;............;............;Cheptel;003;Vaches nourrices;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));2930885;OUI
G_0044;2010;FR;METRO;............;............;Cheptel;004;Autres bovins;Indicateur;001;Nombre de structures collectives;458;OUI
G_0044;2010;FR;METRO;............;............;Cheptel;004;Autres bovins;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;51660;OUI
G_0044;2010;FR;METRO;............;............;Cheptel;004;Autres bovins;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));2499235;OUI
G_0044;2010;FR;METRO;............;............;Cheptel;005;Equidés;Indicateur;001;Nombre de structures collectives;263;OUI
G_0044;2010;FR;METRO;............;............;Cheptel;005;Equidés;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;9147;OUI
G_0044;2010;FR;METRO;............;............;Cheptel;005;Equidés;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));534985;OUI
G_0044;2010;FR;METRO;............;............;Cheptel;006;Ovins;Indicateur;001;Nombre de structures collectives;569;OUI
G_0044;2010;FR;METRO;............;............;Cheptel;006;Ovins;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;914951;OUI
G_0044;2010;FR;METRO;............;............;Cheptel;006;Ovins;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));41126065;OUI
G_0044;2010;FR;METRO;............;............;Cheptel;007;Caprins;Indicateur;001;Nombre de structures collectives;126;OUI
G_0044;2010;FR;METRO;............;............;Cheptel;007;Caprins;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;5166;OUI
G_0044;2010;FR;METRO;............;............;Cheptel;007;Caprins;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));269955;OUI
G_0044;2010;FR;METRO;............;............;Cheptel;008;Autres herbivores;Indicateur;001;Nombre de structures collectives;15;OUI
G_0044;2010;FR;METRO;............;............;Cheptel;008;Autres herbivores;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;2892;OUI
G_0044;2010;FR;METRO;............;............;Cheptel;008;Autres herbivores;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));109820;OUI
