NOM;ANNREF;FRANCE;FRDOM;REGION;DEP;N027;N027_MOD;N027_LIB;VALEUR;QUALITE
SAANR_PAILLE_2;2015;FR;METRO;NR11;77;Groupe d'indicateurs;020.09;Production de pailles (volume);573700;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR11;78;Groupe d'indicateurs;020.09;Production de pailles (volume);150800;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR11;91;Groupe d'indicateurs;020.09;Production de pailles (volume);106000;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR11;92;Groupe d'indicateurs;020.09;Production de pailles (volume);0;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR11;93;Groupe d'indicateurs;020.09;Production de pailles (volume);500;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR11;94;Groupe d'indicateurs;020.09;Production de pailles (volume);1700;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR11;95;Groupe d'indicateurs;020.09;Production de pailles (volume);84900;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR24;18;Groupe d'indicateurs;020.09;Production de pailles (volume);1963800;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR24;28;Groupe d'indicateurs;020.09;Production de pailles (volume);993800;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR24;36;Groupe d'indicateurs;020.09;Production de pailles (volume);1154400;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR24;37;Groupe d'indicateurs;020.09;Production de pailles (volume);598100;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR24;41;Groupe d'indicateurs;020.09;Production de pailles (volume);461000;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR24;45;Groupe d'indicateurs;020.09;Production de pailles (volume);617600;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR27;21;Groupe d'indicateurs;020.09;Production de pailles (volume);4330000;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR27;58;Groupe d'indicateurs;020.09;Production de pailles (volume);2109000;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR27;71;Groupe d'indicateurs;020.09;Production de pailles (volume);1491000;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR27;89;Groupe d'indicateurs;020.09;Production de pailles (volume);5383000;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR27;25;Groupe d'indicateurs;020.09;Production de pailles (volume);719300;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR27;39;Groupe d'indicateurs;020.09;Production de pailles (volume);1194500;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR27;70;Groupe d'indicateurs;020.09;Production de pailles (volume);2559700;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR27;90;Groupe d'indicateurs;020.09;Production de pailles (volume);165400;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR28;27;Groupe d'indicateurs;020.09;Production de pailles (volume);4300000;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR28;76;Groupe d'indicateurs;020.09;Production de pailles (volume);4400000;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR28;14;Groupe d'indicateurs;020.09;Production de pailles (volume);5040000;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR28;50;Groupe d'indicateurs;020.09;Production de pailles (volume);2300000;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR28;61;Groupe d'indicateurs;020.09;Production de pailles (volume);5000000;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR32;02;Groupe d'indicateurs;020.09;Production de pailles (volume);2803755;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR32;60;Groupe d'indicateurs;020.09;Production de pailles (volume);2302724;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR32;80;Groupe d'indicateurs;020.09;Production de pailles (volume);4366182;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR32;59;Groupe d'indicateurs;020.09;Production de pailles (volume);3626129;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR32;62;Groupe d'indicateurs;020.09;Production de pailles (volume);5605038;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR44;08;Groupe d'indicateurs;020.09;Production de pailles (volume);3140670;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR44;10;Groupe d'indicateurs;020.09;Production de pailles (volume);1749620;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR44;51;Groupe d'indicateurs;020.09;Production de pailles (volume);2564730;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR44;52;Groupe d'indicateurs;020.09;Production de pailles (volume);3552270;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR44;54;Groupe d'indicateurs;020.09;Production de pailles (volume);3190000;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR44;55;Groupe d'indicateurs;020.09;Production de pailles (volume);4300000;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR44;57;Groupe d'indicateurs;020.09;Production de pailles (volume);3630000;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR44;88;Groupe d'indicateurs;020.09;Production de pailles (volume);1280000;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR44;67;Groupe d'indicateurs;020.09;Production de pailles (volume);941469;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR44;68;Groupe d'indicateurs;020.09;Production de pailles (volume);539562;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR52;44;Groupe d'indicateurs;020.09;Production de pailles (volume);3425318;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR52;49;Groupe d'indicateurs;020.09;Production de pailles (volume);4782294;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR52;53;Groupe d'indicateurs;020.09;Production de pailles (volume);4470098;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR52;72;Groupe d'indicateurs;020.09;Production de pailles (volume);4910813;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR52;85;Groupe d'indicateurs;020.09;Production de pailles (volume);4060038;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR53;22;Groupe d'indicateurs;020.09;Production de pailles (volume);6020556;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR53;29;Groupe d'indicateurs;020.09;Production de pailles (volume);5113201;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR53;35;Groupe d'indicateurs;020.09;Production de pailles (volume);6366600;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR53;56;Groupe d'indicateurs;020.09;Production de pailles (volume);5130033;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR75;16;Groupe d'indicateurs;020.09;Production de pailles (volume);2610600;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR75;17;Groupe d'indicateurs;020.09;Production de pailles (volume);4158750;OUI
SAANR_PAILLE_2;2015;FR;METRO;NR75;79;Groupe d'indicateurs;020.09;Production de pailles (volume);4400000;OUI
