NOM;ANNREF;GEOGRAPHIE;D_0041_DIM1;D_0041_MOD_DIM1;D_0041_LIB_DIM1;D_0041_DIM2;D_0041_MOD_DIM2;D_0041_LIB_DIM2;D_0041_DIM3;D_0041_MOD_DIM3;D_0041_LIB_DIM3;VALEUR;QUALITE
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;001;Laits conditionnés (tous laits);;001;Janvier;322978;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;002;_Laits conditionnés vache;;001;Janvier;321819;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;003;__Lait pasteurisé conditionné;;001;Janvier;6686;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;004;__Lait stérilisé conditionné;;001;Janvier;548;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;005;__Lait UHT conditionné;;001;Janvier;300202;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;006;__Lait aromatisé;;001;Janvier;3537;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;008;_Laits conditionnés chèvre;;001;Janvier;1158;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;007;__Lait liquide infantile (1);;001;Janvier;10846;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;001;Laits conditionnés (tous laits);;002;Février;295441;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;002;_Laits conditionnés vache;;002;Février;294610;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;003;__Lait pasteurisé conditionné;;002;Février;6148;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;004;__Lait stérilisé conditionné;;002;Février;415;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;005;__Lait UHT conditionné;;002;Février;276539;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;006;__Lait aromatisé;;002;Février;3168;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;008;_Laits conditionnés chèvre;;002;Février;831;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;007;__Lait liquide infantile (1);;002;Février;8339;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;001;Laits conditionnés (tous laits);;003;Mars;315638;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;002;_Laits conditionnés vache;;003;Mars;314753;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;003;__Lait pasteurisé conditionné;;003;Mars;6257;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;004;__Lait stérilisé conditionné;;003;Mars;483;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;005;__Lait UHT conditionné;;003;Mars;294124;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;006;__Lait aromatisé;;003;Mars;4238;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;008;_Laits conditionnés chèvre;;003;Mars;885;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;007;__Lait liquide infantile (1);;003;Mars;9652;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;001;Laits conditionnés (tous laits);;004;Avril;307480;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;002;_Laits conditionnés vache;;004;Avril;306395;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;003;__Lait pasteurisé conditionné;;004;Avril;6805;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;004;__Lait stérilisé conditionné;;004;Avril;570;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;005;__Lait UHT conditionné;;004;Avril;283838;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;006;__Lait aromatisé;;004;Avril;4934;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;008;_Laits conditionnés chèvre;;004;Avril;1085;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;007;__Lait liquide infantile (1);;004;Avril;10248;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;001;Laits conditionnés (tous laits);;005;Mai;328124;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;002;_Laits conditionnés vache;;005;Mai;327199;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;003;__Lait pasteurisé conditionné;;005;Mai;7758;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;004;__Lait stérilisé conditionné;;005;Mai;484;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;005;__Lait UHT conditionné;;005;Mai;303538;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;006;__Lait aromatisé;;005;Mai;4507;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;008;_Laits conditionnés chèvre;;005;Mai;925;OUI
