France entière;Département;Cultures développées 1;Cultures développées 2;Cultures développées 3;Cultures développées 4;Année de référence;   Production (volume)   ;   Superficie développée   ;   Rendement   
FR - France entière;;Céréales, oléagineux, protéagineux;;;;2019;774117050;11542451;67.1
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;;;2019;712078631;9394033;75.8
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Blé;;2019;410826638;5244254;78.3
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Blé;Blé tendre et épeautre;2019;395164616;4998750;79.1
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Blé;Blé dur;2019;15662022;245504;63.8
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Orge et escourgeon;;2019;137250172;1944189;70.6
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Orge et escourgeon;Orge d'hiver et escourgeon;2019;92473663;1305222;70.8
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Orge et escourgeon;Orge de printemps;2019;44776509;638967;70.1
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Avoine;;2019;4071591;87471;46.5
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Avoine;Avoine d'hiver;2019;2346508;49301;47.6
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Avoine;Avoine de printemps;2019;1725083;38170;45.2
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Triticale;;2019;16607930;305221;54.4
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Seigle et méteil;;2019;1369547;28725;47.7
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Maïs grain et maïs semence;;2019;129961399;1506098;86.3
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Maïs grain et maïs semence;Maïs grain (yc maïs grain humide);2019;127626604;1436167;88.9
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Maïs grain et maïs semence;Maïs semence;2019;2334795;69931;33.4
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Sorgho grain;;2019;4278787;83085;51.5
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Riz;;2019;845154;15100;56
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Riz;Riz indica;2019;112010;2560;43.8
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Riz;Autres riz (Japonica);2019;733144;12540;58.5
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Autres céréales, n.c.a. niv. 1;;2019;6867413;179890;38.2
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Autres céréales, n.c.a. niv. 1;Autres céréales non mélangées;2019;2294133;64469;35.6
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Autres céréales, n.c.a. niv. 1;Mélanges de céréales, hors méteil;2019;4573280;115421;39.6
FR - France entière;;Céréales, oléagineux, protéagineux;Oléagineux (y c. semences);;;2019;53099660;1906836;27.8
FR - France entière;;Céréales, oléagineux, protéagineux;Oléagineux (y c. semences);Colza grain et navette;;2019;35232989;1107041;31.8
FR - France entière;;Céréales, oléagineux, protéagineux;Oléagineux (y c. semences);Colza grain et navette;Colza grain d'hiver;2019;35165953;1104795;31.8
FR - France entière;;Céréales, oléagineux, protéagineux;Oléagineux (y c. semences);Colza grain et navette;Colza grain de printemps et navette;2019;67036;2246;29.8
FR - France entière;;Céréales, oléagineux, protéagineux;Oléagineux (y c. semences);Tournesol;;2019;12981369;603917;21.5
FR - France entière;;Céréales, oléagineux, protéagineux;Oléagineux (y c. semences);Soja;;2019;4285314;163800;26.2
FR - France entière;;Céréales, oléagineux, protéagineux;Oléagineux (y c. semences);Autres oléagineux (lin, oeillette, ricin), n.c.a. niv. 1;;2019;599988;32078;18.7
FR - France entière;;Céréales, oléagineux, protéagineux;Oléagineux (y c. semences);Autres oléagineux (lin, oeillette, ricin), n.c.a. niv. 1;Lin oléagineux;2019;455033;21839;20.8
FR - France entière;;Céréales, oléagineux, protéagineux;Oléagineux (y c. semences);Autres oléagineux (lin, oeillette, ricin), n.c.a. niv. 1;Autres oléagineux (hors chanvre), n.c.a. niv. 2;2019;144955;10239;14.2
FR - France entière;;Céréales, oléagineux, protéagineux;Protéagineux (y c. semences);;;2019;8938759;241582;37
FR - France entière;;Céréales, oléagineux, protéagineux;Protéagineux (y c. semences);Pois protéagineux;;2019;7093847;175572;40.4
FR - France entière;;Céréales, oléagineux, protéagineux;Protéagineux (y c. semences);Féveroles et fèves;;2019;1773810;63105;28.1
FR - France entière;;Céréales, oléagineux, protéagineux;Protéagineux (y c. semences);Lupin doux;;2019;71102;2905;24.5
FR - France entière;;Choux, racines et tubercules fourragers;;;;2019;6799366;16372;
FR - France entière;;Choux, racines et tubercules fourragers;Chou fourrager;;;2019;1059170;2320;456.5
FR - France entière;;Choux, racines et tubercules fourragers;Autres racines ou tubercules fourragères, n.c.a.;;;2019;5740196;14052;
FR - France entière;;Cultures industrielles;;;;2019;414833278;682906;
FR - France entière;;Cultures industrielles;Betteraves industrielles et canne à sucre;;;2019;404888328;484953;834.9
FR - France entière;;Cultures industrielles;Betteraves industrielles et canne à sucre;Betterave industrielle;;2019;380243860;446601;851.4
FR - France entière;;Cultures industrielles;Betteraves industrielles et canne à sucre;Canne à sucre;;2019;24644468;38352;642.6
FR - France entière;;Cultures industrielles;Plantes à fibres (y compris semences);;;2019;9283995;136229;68.1
FR - France entière;;Cultures industrielles;Plantes à fibres (y compris semences);Lin textile;;2019;8503502;121674;69.9
FR - France entière;;Cultures industrielles;Plantes à fibres (y compris semences);Chanvre papier;;2019;554726;10668;52
FR - France entière;;Cultures industrielles;Plantes à fibres (y compris semences);Autres plantes textiles, n.c.a. niv. 1;;2019;225767;3887;58.1
