sep;Département;Cultures développées 1;Cultures développées 2;Cultures développées 3;Cultures développées 4;Année de référence;   Production (volume)   ;   Superficie développée   ;   Rendement   
FR - France entière;;Céréales, oléagineux, protéagineux;;;;2020;636953865;11337672;56.2
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;;;2020;575193135;8904695;64.6
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Blé;;2020;304987448;4512420;67.6
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Blé;Blé tendre et épeautre;2020;291774013;4260925;68.5
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Blé;Blé dur;2020;13213435;251495;52.5
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Orge et escourgeon;;2020;103944342;1972274;52.7
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Orge et escourgeon;Orge d'hiver et escourgeon;2020;65068637;1177354;55.3
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Orge et escourgeon;Orge de printemps;2020;38875705;794920;48.9
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Avoine;;2020;3901594;98155;39.7
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Avoine;Avoine d'hiver;2020;1646905;41913;39.3
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Avoine;Avoine de printemps;2020;2254689;56242;40.1
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Triticale;;2020;12182078;260996;46.7
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Seigle et méteil;;2020;1333253;31815;41.9
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Maïs grain et maïs semence;;2020;135767631;1691101;80.3
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Maïs grain et maïs semence;Maïs grain (yc maïs grain humide);2020;132949590;1608622;82.6
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Maïs grain et maïs semence;Maïs semence;2020;2818041;82479;34.2
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Sorgho grain;;2020;5332662;115098;46.3
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Riz;;2020;781178;14808;52.8
FR - France entière;;Céréales, oléagineux, protéagineux;Céréales;Riz;Riz indica;2020;94214;2270;41.5
