"idBank";"Dernière mise à jour";"Catalogue d'indicateurs démographiques";"Sexe";"Puissance";"Indicateur";"Unité";"Périodicité";"Zone géographique";"Nature";"Série arrêtée";"Âge";"Correction"
"000067671";"18/01/2022 12:00";"Population moyenne de la période";"Sans objet";"0";"Population moyenne";"individus";"Annuelle";"France métropolitaine";"Valeur absolue";"non";"Sans objet";"Non corrigé"
"000067672";"18/01/2022 12:00";"Excédent naturel";"Sans objet";"0";"Excédent des naissances sur les décès";"individus";"Annuelle";"France métropolitaine";"Valeur absolue";"non";"Sans objet";"Non corrigé"
"001002693";"18/01/2022 12:00";"Excédent migratoire";"Sans objet";"0";"Excédent migratoire évalué";"individus";"Annuelle";"France métropolitaine";"Valeur absolue";"non";"Sans objet";"Non corrigé"
"001002694";"18/01/2022 12:00";"Ajustement statistique";"Sans objet";"0";"Ajustement statistique";"individus";"Annuelle";"France métropolitaine";"Valeur absolue";"non";"Sans objet";"Non corrigé"
"000067675";"18/01/2022 12:00";"Taux d'accroissement naturel";"Sans objet";"0";"Taux d'accroissement";"pour mille";"Annuelle";"France métropolitaine";"Taux";"non";"Sans objet";"Non corrigé"
"001641584";"18/01/2022 12:00";"Population moyenne de la période";"Sans objet";"0";"Population moyenne";"individus";"Annuelle";"France";"Valeur absolue";"non";"Sans objet";"Non corrigé"
"001641585";"18/01/2022 12:00";"Excédent naturel";"Sans objet";"0";"Excédent des naissances sur les décès";"individus";"Annuelle";"France";"Valeur absolue";"non";"Sans objet";"Non corrigé"
"001641597";"18/01/2022 12:00";"Excédent migratoire";"Sans objet";"0";"Excédent migratoire évalué";"individus";"Annuelle";"France";"Valeur absolue";"non";"Sans objet";"Non corrigé"
"001641598";"18/01/2022 12:00";"Ajustement statistique";"Sans objet";"0";"Ajustement statistique";"individus";"Annuelle";"France";"Valeur absolue";"non";"Sans objet";"Non corrigé"
"001641588";"18/01/2022 12:00";"Taux d'accroissement naturel";"Sans objet";"0";"Taux d'accroissement";"sans objet";"Annuelle";"France";"Taux";"non";"Sans objet";"Non corrigé"
"000067670";"18/01/2022 12:00";"Population au début de la période";"Sans objet";"0";"Population au 1er janvier";"individus";"Annuelle";"France métropolitaine";"Valeur absolue";"non";"Sans objet";"Non corrigé"
"001641586";"18/01/2022 12:00";"Population au début de la période";"Sans objet";"0";"Population au 1er janvier";"individus";"Annuelle";"France";"Valeur absolue";"sans objet";"Sans objet";"Non corrigé"
"001686784";"18/01/2022 12:00";"Sans objet";"Hommes";"0";"Population au 1er janvier";"individus";"Annuelle";"France métropolitaine";"Valeur absolue";"non";"De 0 à 14 ans";"Non corrigé"
"001686785";"18/01/2022 12:00";"Sans objet";"Hommes";"0";"Population au 1er janvier";"individus";"Annuelle";"France métropolitaine";"Valeur absolue";"non";"Moins de 20 ans";"Non corrigé"
"001686786";"18/01/2022 12:00";"Sans objet";"Hommes";"0";"Population au 1er janvier";"individus";"Annuelle";"France métropolitaine";"Valeur absolue";"non";"De 20 à 59 ans";"Non corrigé"
