"Libellé";"idBank";"Dernière mise à jour";"Période";"1901";"1902";"1903";"1904";"1905";"1906";"1907";"1908";"1909";"1910";"1911";"1912";"1913";"1914";"1915";"1916";"1917";"1918";"1919";"1920";"1921";"1922";"1923";"1924";"1925";"1926";"1927";"1928";"1929";"1930";"1931";"1932";"1933";"1934";"1935";"1936";"1937";"1938";"1939";"1940";"1941";"1942";"1943";"1944";"1945";"1946";"1947";"1948";"1949";"1950";"1951";"1952";"1953";"1954";"1955";"1956";"1957";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Démographie - Population moyenne de l'année - France métropolitaine";"000067671";"18/01/2022 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40286742";"40679412";"41111882";"41480227";"41828673";"42155535";"42459668";"42751746";"43056505";"43427670";"43843075";"44310863";"44788853";"45239730";"45684227";"46162828";"46997703";"47816218";"48310415";"48757796";"49163665";"49548305";"49915404";"50317977";"50772227";"51251094";"51700913";"52118299";"52460363";"52699169";"52908672";"53145286";"53376320";"53606230";"53880009";"54181815";"54492492";"54772419";"55026079";"55284271";"55546509";"55823961";"56117976";"56423405";"56708831";"56975597";"57239847";"57467085";"57658772";"57844247";"58025989";"58207490";"58397788";"58677406";"59062385";"59476236";"59893870";"60303631";"60734343";"61181499";"61597486";"61965052";"62300288";"62615472";"62917790";"63223158";"63536918";"63862825";"64164390";"64384807";"64553963";"64741585";"64970403";"65190579";"65365922";"65537454";""
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";""
"Démographie - Excédent des naissances sur les décès - France métropolitaine";"000067672";"18/01/2022 12:00";"";"91760";"103055";"89932";"74555";"53266";"44694";"-1239";"64567";"31941";"90263";"-20147";"74794";"58914";"-17000";"-265000";"-313000";"-300000";"-395000";"-232941";"162461";"118651";"72051";"95562";"74577";"62244";"54724";"68293";"75301";"-8592";"101067";"54795";"62594";"18261";"43805";"-17852";"-11500";"-11443";"-35250";"-30078";"-179000";"-153000";"-81000";"-11000";"-37000";"2000";"298024";"332315";"357626";"299063";"327830";"260893";"297373";"247713";"291862";"279595";"261216";"284360";"311619";"320135";"298859";"338344";"291206";"311024";"357771";"321992";"334745";"297535";"282355";"268910";"308104";"327133";"327606";"298404";"248667";"184712";"163281";"208523";"190146";"215549";"253269";"250660";"254119";"188870";"217449";"215935";"231542";"240362";"246668";"236190";"236206";"234371";"222128";"179347";"191028";"197991";"198563";"196449";"204075";"207130";"243918";"239872";"226486";"209125";"258387";"246822";"280480";"264969";"263913";"255304";"261755";"258201";"231063";"223213";"234164";"178651";"163624";"136636";"123185";"114621";"42065";"59000";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";""
"Démographie - Excédent migratoire évalué - France métropolitaine";"001002693";"18/01/2022 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"25000";"130000";"45000";"35000";"35000";"30000";"20000";"19071";"50872";"120000";"170000";"220000";"140000";"130000";"140000";"180000";"860200";"214599";"185000";"110000";"125000";"92000";"102308";"151574";"179911";"142586";"102314";"106448";"30608";"13626";"57386";"44038";"19361";"34765";"43974";"55710";"60865";"56000";"45000";"38000";"39000";"44000";"57000";"71000";"80000";"90000";"90000";"70000";"50000";"40000";"35000";"40000";"45000";"60000";"70000";"85000";"95000";"100000";"105000";"95000";"115025";"74659";"66930";"44222";"43354";"47426";"90831";"106706";"38699";"53025";"87964";"166654";"211349";"155000";"155000";"155000";""
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";""
"Démographie - Ajustement statistique - France métropolitaine";"001002694";"18/01/2022 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-40000";"-40000";"-40000";"-40000";"-40000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-52545";"-54499";"-53500";"-53500";"-53501";"-54567";"-53504";"-53505";"-51424";"94455";"94456";"94455";"94456";"94455";"94456";"94647";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-63705";"-81247";"-98386";"-81803";"-82000";"-34000";"-34000";""
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";""
"Démographie - Taux d'accroissement naturel pour 1000 habitants - France métropolitaine";"000067675";"18/01/2022 12:00";"";"2.2";"2.6";"2.2";"1.8";"1.3";"1.0";"0.0";"1.6";"0.8";"2.2";"-0.4";"1.8";"1.4";"-0.4";"-6.5";"-7.8";"-7.6";"-10.2";"-6.1";"4.1";"3.1";"1.8";"2.4";"1.9";"1.5";"1.4";"1.6";"1.8";"-0.2";"2.4";"1.4";"1.5";"0.4";"1.1";"-0.4";"-0.3";"-0.2";"-0.9";"-0.8";"-4.4";"-3.9";"-2.0";"-0.3";"-1.0";"0.1";"7.4";"8.2";"8.7";"7.2";"7.8";"6.2";"7.0";"5.8";"6.7";"6.5";"6.0";"6.4";"6.9";"7.0";"6.5";"7.4";"6.2";"6.5";"7.4";"6.6";"6.8";"6.0";"5.6";"5.3";"6.0";"6.4";"6.4";"5.7";"4.8";"3.5";"3.1";"3.9";"3.6";"4.0";"4.7";"4.7";"4.6";"3.5";"3.9";"3.9";"4.2";"4.4";"4.4";"4.2";"4.1";"4.1";"3.9";"3.1";"3.3";"3.4";"3.5";"3.4";"3.5";"3.5";"4.1";"4.1";"3.8";"3.4";"4.2";"4.1";"4.5";"4.3";"4.3";"4.1";"4.2";"4.0";"3.6";"3.5";"3.7";"2.8";"2.5";"2.1";"1.9";"1.8";"0.7";"0.9";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";""
