Insee - Statistiques locales; ; 
Référentiel géographique : France par arrondissement; ; 
Code;Libellé;Nombre (provisoire pour 2021) de décès domiciliés 2020
011;Belley;1257
012;Bourg-en-Bresse;3255
013;Gex;413
014;Nantua;939
021;Château-Thierry;825
022;Laon;1787
023;Saint-Quentin;1590
024;Soissons;1239
025;Vervins;941
031;Montluçon;1539
032;Moulins;1449
033;Vichy;1830
041;Barcelonnette;125
042;Castellane;146
043;Digne-les-Bains;592
044;Forcalquier;1205
051;Briançon;371
052;Gap;1299
061;Grasse;6534
062;Nice;5918
071;Largentière;1556
072;Privas;1063
073;Tournon-sur-Rhône;1658
081;Charleville-Mézières;1702
082;Rethel;428
083;Sedan;761
084;Vouziers;304
091;Foix;552
092;Pamiers;754
093;Saint-Girons;631
101;Bar-sur-Aube;411
102;Nogent-sur-Seine;700
103;Troyes;2381
111;Carcassonne;1779
112;Limoux;644
113;Narbonne;2232
121;Millau;977
122;Rodez;1409
123;Villefranche-de-Rouergue;1240
131;Aix-en-Provence;4311
132;Arles;2024
133;Marseille;11207
134;Istres;3243
141;Bayeux;804
142;Caen;3648
143;Lisieux;2047
144;Vire;864
151;Aurillac;1097
152;Mauriac;462
153;Saint-Flour;579
161;Angoulême;2034
162;Cognac;1193
163;Confolens;1057
171;Jonzac;943
172;Rochefort;2738
173;La Rochelle;2294
174;Saintes;1435
175;Saint-Jean-d'Angély;794
181;Bourges;2155
182;Saint-Amand-Montrond;1009
183;Vierzon;1015
191;Brive-la-Gaillarde;1546
192;Tulle;1026
193;Ussel;611
211;Beaune;1318
212;Dijon;3437
213;Montbard;839
221;Dinan;1375
222;Guingamp;1781
223;Lannion;1413
224;Saint-Brieuc;3142
231;Aubusson;797
232;Guéret;1216
241;Bergerac;1358
242;Nontron;924
243;Périgueux;2217
244;Sarlat-la-Canéda;1098
251;Besançon;2313
252;Montbéliard;2082
253;Pontarlier;1030
261;Die;714
262;Nyons;1612
263;Valence;2965
271;Les Andelys;2305
272;Bernay;2536
273;Évreux;1392
281;Chartres;1991
282;Châteaudun;743
283;Dreux;1297
284;Nogent-le-Rotrou;460
291;Brest;3633
292;Châteaulin;1095
293;Morlaix;1691
294;Quimper;4110
2A1;Ajaccio;1218
2A4;Sartène;446
2B2;Bastia;765
2B3;Corte;642
2B5;Calvi;327
301;Alès;1917
302;Nîmes;5701
303;Le Vigan;478
311;Muret;1851
312;Saint-Gaudens;1114
313;Toulouse;7354
321;Auch;923
322;Condom;941
323;Mirande;601
331;Blaye;825
332;Bordeaux;7313
333;Langon;1365
334;Lesparre-Médoc;949
