Insee - Statistiques locales; ; 
Référentiel géographique : France par commune; ; 
Code;Libellé;Nombre (provisoire pour 2021) de décès domiciliés 2020
01001;L'Abergement-Clémenciat;7
01002;L'Abergement-de-Varey;0
01004;Ambérieu-en-Bugey;150
01005;Ambérieux-en-Dombes;14
01006;Ambléon;1
01007;Ambronay;13
01008;Ambutrix;5
01009;Andert-et-Condon;1
01010;Anglefort;4
01011;Apremont;2
01012;Aranc;5
01013;Arandas;3
01014;Arbent;29
01015;Arboys en Bugey;14
01016;Arbigny;6
01017;Argis;5
01019;Armix;1
01021;Ars-sur-Formans;6
01022;Artemare;12
01023;Asnières-sur-Saône;0
01024;Attignat;18
01025;Bâgé-Dommartin;27
01026;Bâgé-le-Châtel;11
01027;Balan;8
01028;Baneins;6
01029;Beaupont;5
01030;Beauregard;4
01031;Bellignat;22
01032;Béligneux;50
01033;Valserhône;191
01034;Belley;166
01035;Belleydoux;2
01036;Valromey-sur-Séran;17
01037;Bénonces;3
01038;Bény;4
01039;Béon;3
01040;Béréziat;4
01041;Bettant;9
01042;Bey;0
01043;Beynost;25
01044;Billiat;3
01045;Birieux;2
01046;Biziat;6
01047;Blyes;4
01049;La Boisse;16
01050;Boissey;3
01051;Bolozon;1
01052;Bouligneux;2
01053;Bourg-en-Bresse;518
01054;Bourg-Saint-Christophe;2
01056;Boyeux-Saint-Jérôme;4
01057;Boz;5
01058;Brégnier-Cordon;8
01060;Brénod;6
01061;Brens;8
01062;Bressolles;6
01063;Brion;2
01064;Briord;6
01065;Buellas;9
01066;La Burbanche;0
01067;Ceignes;4
01068;Cerdon;16
01069;Certines;9
01071;Cessy;14
01072;Ceyzériat;36
01073;Ceyzérieu;7
01074;Chalamont;41
01075;Chaleins;4
01076;Chaley;1
01077;Challes-la-Montagne;1
01078;Challex;28
01079;Champagne-en-Valromey;22
01080;Champdor-Corcelles;5
01081;Champfromier;9
01082;Chanay;5
01083;Chaneins;6
01084;Chanoz-Châtenay;3
01085;La Chapelle-du-Châtelard;1
01087;Charix;1
