Insee - Statistiques locales; ; 
Référentiel géographique : France par intercommunalité; ; 
Code;Libellé;Nombre (provisoire pour 2021) de décès domiciliés 2020
200000172;CC Faucigny-Glières;197
200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;333
200000545;CC des Portes de Romilly-sur-Seine;246
200000628;CC Rhône Lez Provence;236
200000800;CC Cœur de Sologne;108
200000925;CC de la Plaine Dijonnaise;160
200000933;CC Sauldre et Sologne;236
200004802;CC du Pays de Fayence;312
200005932;CC des Portes de Sologne;123
200005957;CC de la Région de Rambervillers;169
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;623
200006716;CC du Nogentais;236
200006930;CC du Haut Allier;106
200006971;CC du Perche;229
200007052;CC de la Marche Berrichonne;115
200007177;CC Pays de Nérondes;85
200010650;CA du Grand Dole;597
200010700;CA Caux Seine Agglo;760
200011773;CA Annemasse-les Voirons-Agglomération;627
200011781;CC Portes du Berry entre Loire et Val d'Aubois;113
200013050;CC Sauer-Pechelbronn;164
200015162;CC de l'Oriente;53
200016905;CC du Pays de Lamastre;85
200017341;CC Lodévois et Larzac;191
200017846;CA Étampois Sud-Essonne;487
200018083;CC de Desvres-Samer;213
200018166;CC Le Grésivaudan;821
200018406;CC du Romorantinais et du Monestois;446
200018521;CC du Val de Bouzanne;88
200018653;CA Cap Excellence;878
200022986;CC du Grand Pic Saint-Loup;374
200023075;CC du Pays de Maîche;191
200023125;CC Les Portes Briardes entre Villes et Forêts;326
200023240;CC Pays de Nemours;319
200023299;CC Cœur de Tarentaise;117
200023307;CA du Grand Villeneuvois;593
200023372;CC de la Vallée de Chamonix-Mont-Blanc;122
200023414;Métropole Rouen Normandie;4807
200023620;CC de la Gascogne Toulousaine;121
200023737;CA du Grand Cahors;464
200023778;CA du Pays de Saint-Gilles-Croix-de-Vie;700
200023794;CC de Blaye;232
200023919;CC Gâtinais Val de Loing;256
200026573;CC Haut-Jura Saint-Claude;263
200027027;CC Arc Sud Bretagne;294
200027076;CC Arnon Boischaut Cher;120
200027100;CC Méditerranée Porte des Maures;558
200027183;CU Perpignan Méditerranée Métropole;3163
200027217;CC Sarlat-Périgord Noir;183
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;103
