Insee - Statistiques locales; ; 
Référentiel géographique : France par région; ; 
Code;Libellé;Nombre (provisoire pour 2021) de décès domiciliés 2020
01;Guadeloupe;3742
02;Martinique;3586
03;Guyane;990
04;La Réunion;5154
06;Mayotte;967
11;Île-de-France;90566
24;Centre-Val de Loire;28612
27;Bourgogne-Franche-Comté;33660
28;Normandie;36425
32;Hauts-de-France;61568
44;Grand Est;60673
52;Pays de la Loire;36806
53;Bretagne;35735
75;Nouvelle-Aquitaine;66917
76;Occitanie;62481
84;Auvergne-Rhône-Alpes;80364
93;Provence-Alpes-Côte d'Azur;55613
94;Corse;3398
