Insee - Statistiques locales; ; 
Référentiel géographique : France par arrondissement; ; 
Code;Libellé;Densité de population (historique depuis 1876) 2018
011;Belley;77
012;Bourg-en-Bresse;116.8
013;Gex;238.4
014;Nantua;103.9
021;Château-Thierry;63
022;Laon;71.8
023;Saint-Quentin;119.4
024;Soissons;80.2
025;Vervins;43
031;Montluçon;50.4
032;Moulins;35.7
033;Vichy;55.2
041;Barcelonnette;7.6
042;Castellane;6.7
043;Digne-les-Bains;30.1
044;Forcalquier;37.4
051;Briançon;16
052;Gap;31.2
061;Grasse;457.4
062;Nice;170.5
071;Largentière;38.6
072;Privas;74.5
073;Tournon-sur-Rhône;80.1
081;Charleville-Mézières;85.5
082;Rethel;31.1
083;Sedan;71.7
084;Vouziers;15.3
091;Foix;26.4
092;Pamiers;60.3
093;Saint-Girons;20.2
101;Bar-sur-Aube;22.7
102;Nogent-sur-Seine;44.1
103;Troyes;64.4
111;Carcassonne;70
112;Limoux;24.5
113;Narbonne;80.4
121;Millau;21.3
122;Rodez;39
123;Villefranche-de-Rouergue;41.4
131;Aix-en-Provence;273.3
132;Arles;84.2
133;Marseille;1582.3
134;Istres;460.3
141;Bayeux;75.5
142;Caen;243.3
143;Lisieux;91.4
144;Vire;59.4
151;Aurillac;42.3
152;Mauriac;20
153;Saint-Flour;14.9
161;Angoulême;97.1
162;Cognac;59.4
163;Confolens;29.5
171;Jonzac;39.1
172;Rochefort;124.3
173;La Rochelle;257.2
174;Saintes;88.3
175;Saint-Jean-d'Angély;36.8
181;Bourges;61.7
182;Saint-Amand-Montrond;23.3
183;Vierzon;39.1
191;Brive-la-Gaillarde;87.2
192;Tulle;29.9
193;Ussel;20.5
211;Beaune;46.6
212;Dijon;129.7
213;Montbard;16.4
221;Dinan;105
222;Guingamp;54.6
223;Lannion;110
224;Saint-Brieuc;100.7
231;Aubusson;15.5
232;Guéret;26.9
241;Bergerac;56.3
242;Nontron;25.9
243;Périgueux;61.1
244;Sarlat-la-Canéda;35.7
251;Besançon;129.9
252;Montbéliard;140.3
253;Pontarlier;56.1
261;Die;26.7
262;Nyons;60.5
263;Valence;195.7
271;Les Andelys;126.9
272;Bernay;70.2
273;Évreux;144.1
281;Chartres;98.3
282;Châteaudun;40.6
283;Dreux;85.9
284;Nogent-le-Rotrou;43.6
291;Brest;269.8
