Code;Libellé;Densité de population (historique depuis 1876) 2018
1001;L'Abergement-Clémenciat;48.3
1002;L'Abergement-de-Varey;27.7
1004;Ambérieu-en-Bugey;577.4
1005;Ambérieux-en-Dombes;108
1006;Ambléon;19
1007;Ambronay;82.4
1008;Ambutrix;144.6
1009;Andert-et-Condon;46.7
1010;Anglefort;38
1011;Apremont;25.6
1012;Aranc;15.2
1013;Arandas;10.2
1014;Arbent;142.9
1015;Arboys en Bugey;28.8
1016;Arbigny;26.4
1017;Argis;57.4
1019;Armix;4
1021;Ars-sur-Formans;259.5
1022;Artemare;331.7
1023;Asnières-sur-Saône;15.2
1024;Attignat;171
1025;Bâgé-Dommartin;71.7
1026;Bâgé-le-Châtel;1077.3
1027;Balan;139.3
1028;Baneins;68.5
1029;Beaupont;48.8
1030;Beauregard;902.1
1031;Bellignat;463.9
1032;Béligneux;252
1033;Valserhône;262.8
1034;Belley;406.9
1035;Belleydoux;17.7
1036;Valromey-sur-Séran;23.3
1037;Bénonces;19.7
1038;Bény;41.3
1039;Béon;43
1040;Béréziat;45.3
1041;Bettant;221.1
1042;Bey;101.4
1043;Beynost;440.2
1044;Billiat;46.1
1045;Birieux;17.8
1046;Biziat;77.6
1047;Blyes;117.4
1049;La Boisse;343.6
1050;Boissey;38.8
1051;Bolozon;18.5
1052;Bouligneux;12.6
1053;Bourg-en-Bresse;1728.8
1054;Bourg-Saint-Christophe;156.7
1056;Boyeux-Saint-Jérôme;20.4
1057;Boz;71.5
1058;Brégnier-Cordon;76
1060;Brénod;21
1061;Brens;167.4
1062;Bressolles;120.4
1063;Brion;118.5
1064;Briord;85
1065;Buellas;176
1066;La Burbanche;7.7
1067;Ceignes;25.4
1068;Cerdon;63.3
1069;Certines;94.3
1071;Cessy;757.9
1072;Ceyzériat;339.4
1073;Ceyzérieu;50.9
1074;Chalamont;76.9
1075;Chaleins;80.1
1076;Chaley;27.6
1077;Challes-la-Montagne;25.1
1078;Challex;175.1
1079;Champagne-en-Valromey;44.9
1080;Champdor-Corcelles;20.4
1081;Champfromier;22.6
1082;Chanay;34.6
1083;Chaneins;72.2
1084;Chanoz-Châtenay;64.7
1085;La Chapelle-du-Châtelard;29.5
1087;Charix;15.4
1088;Charnoz-sur-Ain;136.6
1089;Château-Gaillard;136.7
1090;Châtenay;23.3
1092;Châtillon-la-Palud;113.8
1093;Châtillon-sur-Chalaronne;271.5
1094;Chavannes-sur-Reyssouze;45.6
1095;Nivigne et Suran;26.4
1096;Chaveyriat;59.9
1098;Chazey-Bons;74.1
1099;Chazey-sur-Ain;70.3
1100;Cheignieu-la-Balme;21.2
1101;Chevillard;22.6
1102;Chevroux;55.1
1103;Chevry;339
1104;Chézery-Forens;9.9
1105;Civrieux;88.8
1106;Cize;38.9
1107;Cleyzieu;17.3
1108;Coligny;69.8
1109;Collonges;136.7
1110;Colomieu;24.8
1111;Conand;8.4
1112;Condamine;93.1
1113;Condeissiat;37.9
1114;Confort;56.3
1115;Confrançon;73.6
1116;Contrevoz;35.2
1117;Conzieu;20.7
1118;Corbonod;40.2
1121;Corlier;21.3
1123;Cormoranche-sur-Saône;117.2
1124;Cormoz;34.6
1125;Corveissiat;27.1
1127;Courmangoux;34.3
1128;Courtes;34.1
1129;Crans;21
1130;Bresse Vallons;88.8
1133;Cressin-Rochefort;49.6
1134;Crottet;143.5
1135;Crozet;78.2
1136;Cruzilles-lès-Mépillat;74.3
1138;Culoz;156
1139;Curciat-Dongalon;18.5
1140;Curtafond;62.1
1141;Cuzieu;92.2
1142;Dagneux;717.1
1143;Divonne-les-Bains;288.9
1145;Dompierre-sur-Veyle;40.2
1146;Dompierre-sur-Chalaronne;91
1147;Domsure;32.2
1148;Dortan;102.4
1149;Douvres;201.3
1150;Drom;27.6
1151;Druillat;55.6
1152;Échallon;26.7
1153;Échenevex;127.3
1155;Évosges;11.9
1156;Faramans;72.2
1157;Fareins;269.2
1158;Farges;73
1159;Feillens;223.2
1160;Ferney-Voltaire;2070.1
1162;Flaxieu;23.7
1163;Foissiat;51.1
1165;Francheleins;118.2
1166;Frans;303.5
1167;Garnerans;74.6
1169;Genouilleux;152.9
1170;Béard-Géovreissiat;226.9
1171;Géovreisset;258.6
1173;Gex;408.9
1174;Giron;19.2
1175;Gorrevod;117.6
1177;Grand-Corent;25.2
1179;Grièges;126.4
1180;Grilly;111.5
1181;Groissiat;195.4
1183;Guéreins;321.1
1184;Hautecourt-Romanèche;35.6
1185;Plateau d'Hauteville;45.8
1187;Haut Valromey;6
1188;Illiat;31.7
1189;Injoux-Génissiat;38
1190;Innimond;6.5
1191;Izenave;12
1192;Izernore;108.1
1193;Izieu;29.9
1194;Jassans-Riottier;1321.4
1195;Jasseron;93.5
1196;Jayat;73.4
1197;Journans;145.3
1198;Joyeux;16.2
1199;Jujurieux;138.5
1200;Labalme;24.4
1202;Lagnieu;263.3
1203;Laiz;127.4
1204;Le Poizat-Lalleyriat;22
1206;Lantenay;42
1207;Lapeyrouse;15.8
1208;Lavours;20.3
1209;Léaz;66.5
1210;Lélex;13
1211;Lent;44.3
1212;Lescheroux;36.2
1213;Leyment;93.2
1214;Leyssard;17
1215;Surjoux-Lhopital;17.1
1216;Lhuis;36.5
1219;Lompnas;13.1
1224;Loyettes;149.2
1225;Lurcy;78.6
1227;Magnieu;56.6
1228;Maillat;57.3
1229;Malafretaz;135.3
1230;Mantenay-Montlin;29.2
1231;Manziat;154.3
1232;Marboz;56.3
1233;Marchamp;10
1234;Marignieu;47.9
1235;Marlieux;67.6
1236;Marsonnas;54.5
1237;Martignat;124.3
1238;Massieux;849
1239;Massignieu-de-Rives;64.8
1240;Matafelon-Granges;29.4
1241;Meillonnas;75.8
1242;Mérignat;42.6
1243;Messimy-sur-Saône;208.2
1244;Meximieux;570.8
1245;Bohas-Meyriat-Rignat;39.6
1246;Mézériat;114.5
1247;Mijoux;14.8
1248;Mionnay;109.5
1249;Miribel;410.1
1250;Misérieux;262.3
1252;Mogneneins;91.2
1254;Montagnat;147.2
1255;Montagnieu;101.9
1257;Montanges;25.4
1258;Montceaux;118.4
1259;Montcet;104.3
1260;Le Montellier;19.4
1261;Monthieux;59.8
1262;Montluel;172.7
1263;Montmerle-sur-Saône;909.4
1264;Montracol;70.6
1265;Montréal-la-Cluse;266.5
1266;Montrevel-en-Bresse;244.9
1267;Nurieux-Volognat;53.1
1268;Murs-et-Gélignieux;38.5
1269;Nantua;266.6
1272;Neuville-les-Dames;56.8
1273;Neuville-sur-Ain;89.5
1274;Les Neyrolles;67.6
1275;Neyron;475.6
1276;Niévroz;155.3
1277;Nivollet-Montgriffon;14.4
1279;Oncieu;10.8
1280;Ordonnaz;9.3
1281;Ornex;783.5
1282;Outriaz;43.8
1283;Oyonnax;617.4
1284;Ozan;104.4
1285;Parcieux;388.9
