Insee - Statistiques locales; ; 
Référentiel géographique : France par intercommunalité; ; 
Code;Libellé;Densité de population (historique depuis 1876) 2018
200000172;CC Faucigny-Glières;180.3
200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;108.5
200000545;CC des Portes de Romilly-sur-Seine;175.9
200000628;CC Rhône Lez Provence;159.2
200000800;CC Cœur de Sologne;31.1
200000925;CC de la Plaine Dijonnaise;107.7
200000933;CC Sauldre et Sologne;15
200004802;CC du Pays de Fayence;69.9
200005932;CC des Portes de Sologne;37.1
200005957;CC de la Région de Rambervillers;39.7
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;92
200006716;CC du Nogentais;57.1
200006930;CC du Haut Allier;18.3
200006971;CC du Perche;55.9
200007052;CC de la Marche Berrichonne;19.9
200007177;CC Pays de Nérondes;19.5
200010650;CA du Grand Dole;128.6
200010700;CA Caux Seine Agglo;135.7
200011773;CA Annemasse-les Voirons-Agglomération;1156
200011781;CC Portes du Berry entre Loire et Val d'Aubois;33.7
200013050;CC Sauer-Pechelbronn;87.9
200015162;CC de l'Oriente;12.9
200016905;CC du Pays de Lamastre;30.2
200017341;CC Lodévois et Larzac;26.6
200017846;CA Étampois Sud-Essonne;112.6
200018083;CC de Desvres-Samer;94.7
200018166;CC Le Grésivaudan;150.3
200018406;CC du Romorantinais et du Monestois;69.4
200018521;CC du Val de Bouzanne;21.6
200018653;CA Cap Excellence;767.3
200022986;CC du Grand Pic Saint-Loup;84.9
200023075;CC du Pays de Maîche;48.6
200023125;CC Les Portes Briardes entre Villes et Forêts;678.8
200023240;CC Pays de Nemours;132.3
200023299;CC Cœur de Tarentaise;33.1
200023307;CA du Grand Villeneuvois;134.5
200023372;CC de la Vallée de Chamonix-Mont-Blanc;60
200023414;Métropole Rouen Normandie;742.2
200023620;CC de la Gascogne Toulousaine;93.6
200023737;CA du Grand Cahors;70.1
200023778;CA du Pays de Saint-Gilles-Croix-de-Vie;169.5
200023794;CC de Blaye;117
200023919;CC Gâtinais Val de Loing;55.4
200026573;CC Haut-Jura Saint-Claude;55.3
200027027;CC Arc Sud Bretagne;78.7
200027076;CC Arnon Boischaut Cher;21.4
200027100;CC Méditerranée Porte des Maures;103.1
200027183;CU Perpignan Méditerranée Métropole;435.3
200027217;CC Sarlat-Périgord Noir;70.2
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;11
200027548;CC des Savanes;2.5
200029734;CC des 4B Sud Charente;31.7
200029999;CC Rives de l'Ain - Pays du Cerdon;85.8
200030195;Métropole Nice Côte d'Azur;368.9
200030385;CA de Blois Agglopolys;132.9
200030435;CC d'Aire-sur-l'Adour;42.7
200030526;CC du Ried de Marckolsheim;109.7
200030633;CA du Caudrésis et du Catésis;173.2
200030658;CC du Trièves;16
200030674;CA Val de Garonne Agglomération;90
200032514;CC Berry-Loire-Vauvise;19.9
200033025;CA de Bar-le-Duc - Sud Meuse;86.1
200033090;CC Plaines et Monts de France;171.7
200033116;CC Cluses-Arve et Montagnes;226.3
200033173;CC de la Haute Vallée de Chevreuse;300.7
200033181;CA Chartres Métropole;158.7
200033298;CC des Coëvrons;34.6
200033579;CU d'Arras;354.1
200033827;CC de Fium'orbu Castellu;20.4
200033868;CC des Ballons des Hautes-Vosges;77.7
200034023;CC Tarn-Agout;110.6
200034031;CC des Monts d'Alban et du Villefranchois;18.8
200034049;CC Centre Tarn;33.2
200034056;CC du Lautrécois et du Pays d'Agout;36.4
200034064;CC du Cordais et du Causse (4 C);17.8
200034098;CC des Montagnes du Giffre;34.6
200034130;CC Gally Mauldre;232
200034197;CC de Montaigne Montravel et Gurson;46.1
200034205;CC de la Costa Verde;57.6
200034270;CC du Pays de Barr;128
200034379;CC Pays d'Uzès;59.6
200034411;CC du Piémont Cévenol;48.5
200034601;CC Causses Aigoual Cévennes;11.4
200034635;CC du Kochersberg;192
200034692;CA du Gard Rhodanien;117.7
200034700;CA Durance-Lubéron-Verdon Agglomération;74.5
200034718;CC de Vitry, Champagne et Der;46.7
200034726;CC Bastides de Lomagne;26.4
200034825;CA du Grand Guéret;59.8
200034833;CC des Bastides Dordogne-Périgord;28.1
200034874;CC Côtes de Meuse Woëvre;14.2
200034882;CC Pays du Mont-Blanc;119.4
200034957;CC du Frontonnais;166.1
200035087;CA Terre de Provence;224
200035103;CC de la Vallée de la Haute Sarthe;27.4
200035111;CC des Sources de l'Orne;32.8
200035129;CC de Cèze Cévennes;60.1
200035137;CC Marche Occitane - Val d'Anglin;13.1
200035202;CC Charlieu-Belmont;83.5
200035319;CA Estérel Côte d'Azur Agglomération;330.9
200035327;CC Cazals-Salviac;21.5
200035442;CC du Sud-Artois;64.2
200035533;CC du Grand Saint-Émilionnais;61.7
200035541;CC des Landes d'Armagnac;10.2
200035632;CC Armagnac Adour;22.9
200035707;CC Piège Lauragais Malepère;33.4
200035715;CA Carcassonne Agglo;106.8
200035723;CC Ventoux Sud;23.4
200035731;CA Roannais Agglomération;145.5
200035756;CC Astarac Arros en Gascogne;19.1
200035764;CC de la Beauce Loirétaine;42.1
200035772;CC du Pays du Saintois;41.3
200035814;CA Flers Agglo;94.7
200035848;CC du Châtillonnais en Berry;21.1
200035855;CC Castelnaudary Lauragais Audois;56
200035863;CC Région Lézignanaise, Corbières et Minervois;41.2
200035970;CC Vexin Centre;102.7
200036069;CC du Pays de Mortagne-au-Perche;34
200036077;CC du Golfe de Saint-Tropez;133.3
200036135;CC Cœur de France;48.3
200036150;CC des Hauts du Val de Saône;17.4
200036465;CC de Thann-Cernay;236
200036473;CA de Saintes;125.9
200036499;CC de Marana-Golo;143.1
200036523;CC des Bastides en Haut-Agenais Périgord;25.3
200036549;CC Val de Gray;41.1
200037059;CC de la Haute Somme (Combles - Péronne - Roisel);58.9
200037133;CC du Provinois;55
200038958;CC de la Pieve de l'Ornano et du Taravo;19.4
200038990;CC de Saint-Méen Montauban;75.1
200039022;CA Vitré Communauté;93.6
200039055;CC Ouche et Montagne;33.8
200039063;CC Forêts, Seine et Suzon;16.5
200039204;CC de Lacq-Orthez;72.8
200039519;CC du Quercy Blanc;18.6
200039642;CC Le Tonnerrois en Bourgogne;20.1
200039709;CC du Serein;12.7
200039758;CC Avallon, Vézelay, Morvan;26
200039808;CC des Gorges de l'Ardèche;36.9
200039824;CC Ardèche des Sources et Volcans;35.7
200039832;CC Pays des Vans en Cévennes;28.1
200039857;CA du Pays de Grasse;204.5
200039865;Metz Métropole;711.4
200039907;CC du Sud Messin;65.4
200039915;CA Cannes Pays de Lérins;1667.3
200039931;CC Alpes d'Azur;10.9
200039949;CC Rives de Moselle;411.9
200040038;CC Saône Doubs Bresse;38.3
200040095;CC Isle Vern Salembre en Périgord;66.5
200040111;CC Cœur de Chartreuse;47.8
200040137;CC des Lacs de Champagne;21.2
200040178;CC de l'Outre-Forêt;135.4
200040202;CC Provence Verdon;34.4
