Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par arrondissement; ; ; ; ; 
Code;Libellé;Évol. annuelle moy. de la pop. due au solde apparent entrées/sorties 2013-2018;Évol. annuelle moy. de la population 2013 - 2019 (en %) 2019;Évol. annuelle moy. de la population 2013-2018;Évol. annuelle moy. de la pop. due au solde naturel 2013-2018
011;Belley;0.28;0.6;0.58;0.3
012;Bourg-en-Bresse;0.44;0.7;0.75;0.31
013;Gex;1.76;2.3;2.44;0.68
014;Nantua;-0.12;0.3;0.29;0.42
021;Château-Thierry;0.28;0.3;0.44;0.16
022;Laon;-0.4;-0.3;-0.25;0.15
023;Saint-Quentin;-0.54;-0.4;-0.46;0.08
024;Soissons;-0.28;-0.1;-0.1;0.18
025;Vervins;-0.64;-0.7;-0.75;-0.11
031;Montluçon;-0.38;-0.7;-0.77;-0.39
032;Moulins;0.21;-0.1;-0.07;-0.28
033;Vichy;0.19;-0.2;-0.27;-0.46
041;Barcelonnette;-0.08;-0.6;-0.61;-0.53
042;Castellane;1.07;0.5;0.59;-0.48
043;Digne-les-Bains;0.15;0;-0.03;-0.18
044;Forcalquier;0.58;0.4;0.44;-0.13
051;Briançon;-0.97;-0.6;-0.77;0.2
052;Gap;0.63;0.5;0.53;-0.1
061;Grasse;0.07;0.2;0.1;0.03
062;Nice;0.05;0.2;0.1;0.06
071;Largentière;0.97;0.6;0.52;-0.45
072;Privas;0.27;0.3;0.25;-0.01
073;Tournon-sur-Rhône;0.37;0.3;0.37;0
081;Charleville-Mézières;-0.72;-0.7;-0.73;-0.01
082;Rethel;0.05;0.2;0.26;0.21
083;Sedan;-0.99;-1;-1.1;-0.11
084;Vouziers;-0.31;-0.4;-0.42;-0.11
091;Foix;0.04;-0.1;-0.19;-0.23
092;Pamiers;0.26;0.1;0.14;-0.12
093;Saint-Girons;0.91;0.2;0.2;-0.71
101;Bar-sur-Aube;-0.43;-0.9;-0.88;-0.45
102;Nogent-sur-Seine;0.02;0;0;-0.01
