Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Code;Libellé;Évol. annuelle moy. de la population 2013 - 2019 (en %) 2019;Évol. annuelle moy. de la population 2013-2018;Évol. annuelle moy. de la pop. due au solde naturel 2013-2018;Évol. annuelle moy. de la pop. due au solde apparent entrées/sorties 2013-2018
01001;L'Abergement-Clémenciat;0.3;0.1;0.57;-0.47
01002;L'Abergement-de-Varey;1.4;1.4;1.48;-0.08
01004;Ambérieu-en-Bugey;-0.3;-0.22;0.68;-0.9
01005;Ambérieux-en-Dombes;1.1;1.02;0.61;0.41
01006;Ambléon;0.6;0.73;0.18;0.55
01007;Ambronay;1.9;2;0.69;1.31
01008;Ambutrix;0.4;0.29;0.67;-0.37
01009;Andert-et-Condon;-0.6;-0.78;-0.48;-0.3
01010;Anglefort;0;0.09;0.5;-0.41
01011;Apremont;-1.1;-1.09;0.67;-1.76
01012;Aranc;0.8;0.94;0.06;0.88
01013;Arandas;-1.6;-1.84;-0.26;-1.58
01014;Arbent;-0.3;-0.32;0.24;-0.55
01015;Arboys en Bugey;0.5;0.5;-0.16;0.66
01016;Arbigny;1.2;1.54;0.64;0.91
01017;Argis;1.3;1.29;0.09;1.2
01019;Armix;4.3;5.15;0.86;4.3
01021;Ars-sur-Formans;0.8;0.57;0.68;-0.11
01022;Artemare;1;1.15;-0.32;1.46
01023;Asnières-sur-Saône;1.6;0.57;1.15;-0.57
01024;Attignat;0;-0.4;0.73;-1.13
01025;Bâgé-Dommartin;0.1;0.21;0.75;-0.54
01026;Bâgé-le-Châtel;2.2;2.09;-0.34;2.42
01027;Balan;-1.6;-2.33;0.79;-3.13
01028;Baneins;1.2;1.26;0.71;0.54
01029;Beaupont;0.2;0.29;-0.18;0.47
01030;Beauregard;-0.9;-0.65;0.72;-1.36
01031;Bellignat;0;-0.08;0.75;-0.82
01032;Béligneux;0.4;0.28;0.95;-0.66
01033;Valserhône;0.6;0.73;0.57;0.16
01034;Belley;0.5;0.47;-0.1;0.57
01035;Belleydoux;-0.9;-0.93;0.12;-1.06
01036;Valromey-sur-Séran;1.1;1.24;-0.24;1.48
01037;Bénonces;1.8;1.82;0.7;1.12
01038;Bény;0.8;0.96;0.22;0.74
01039;Béon;-0.5;-0.62;0.62;-1.24
01040;Béréziat;0.6;0.88;0.63;0.25
01041;Bettant;0;-0.03;0.54;-0.56
01042;Bey;1.9;1.57;0.45;1.12
01043;Beynost;0.8;0.65;0.17;0.48
01044;Billiat;1.5;1.8;0.5;1.3
01045;Birieux;0.2;0.07;1.57;-1.5
01046;Biziat;1.4;1.42;0.45;0.97
01047;Blyes;3.8;2.99;0.74;2.25
01049;La Boisse;1.9;1.99;0.81;1.18
01050;Boissey;2.5;2.25;0.61;1.64
01051;Bolozon;0.2;0.22;1.33;-1.11
01052;Bouligneux;1.3;1.53;0.13;1.4
01053;Bourg-en-Bresse;0.3;0.37;0.25;0.13
01054;Bourg-Saint-Christophe;2.5;2.26;0.96;1.31
01056;Boyeux-Saint-Jérôme;-0.7;-1.06;0.39;-1.46
01057;Boz;0.4;0.58;0.04;0.54
01058;Brégnier-Cordon;-0.7;-0.68;0.33;-1.01
01060;Brénod;-1.8;-1.89;-0.11;-1.77
01061;Brens;-0.8;-0.76;0.44;-1.2
01062;Bressolles;2.4;2.77;0.72;2.05
01063;Brion;0.6;0.65;0.15;0.5
01064;Briord;2.1;2.01;0.12;1.89
