Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par intercommunalité; ; ; ; ; 
Code;Libellé;Évol. annuelle moy. de la pop. due au solde apparent entrées/sorties 2013-2018;Évol. annuelle moy. de la population 2013 - 2019 (en %) 2019;Évol. annuelle moy. de la population 2013-2018;Évol. annuelle moy. de la pop. due au solde naturel 2013-2018
200000172;CC Faucigny-Glières;-0.27;0.4;0.43;0.7
200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;0.7;0.9;0.99;0.29
200000545;CC des Portes de Romilly-sur-Seine;0.01;0.1;-0.08;-0.09
200000628;CC Rhône Lez Provence;-0.76;-0.3;-0.26;0.5
200000800;CC Cœur de Sologne;-0.09;-0.4;-0.37;-0.29
200000925;CC de la Plaine Dijonnaise;-0.41;0.1;0.05;0.47
200000933;CC Sauldre et Sologne;-0.04;-0.6;-0.67;-0.63
200004802;CC du Pays de Fayence;0.82;0.7;0.71;-0.11
200005932;CC des Portes de Sologne;0.19;0.3;0.35;0.16
200005957;CC de la Région de Rambervillers;-0.81;-0.8;-0.83;-0.01
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;-0.42;-0.5;-0.48;-0.05
200006716;CC du Nogentais;0.16;0.1;0.15;-0.01
200006930;CC du Haut Allier;0.44;-0.4;-0.44;-0.88
200006971;CC du Perche;-0.93;-1.3;-1.42;-0.49
200007052;CC de la Marche Berrichonne;0.82;-0.5;-0.43;-1.24
200007177;CC Pays de Nérondes;-0.57;-1.1;-1.18;-0.61
200010650;CA du Grand Dole;0.3;0.4;0.43;0.13
200010700;CA Caux Seine Agglo;0.1;0.4;0.4;0.3
200011773;CA Annemasse-les Voirons-Agglomération;-0.01;0.8;0.89;0.9
200011781;CC Portes du Berry entre Loire et Val d'Aubois;-0.3;-0.8;-0.69;-0.39
200013050;CC Sauer-Pechelbronn;-0.1;-0.1;-0.11;-0.01
200015162;CC de l'Oriente;0.31;0.2;0.22;-0.09
200016905;CC du Pays de Lamastre;0.73;0.1;0.02;-0.71
200017341;CC Lodévois et Larzac;0.58;0.3;0.32;-0.26
200017846;CA Étampois Sud-Essonne;-0.26;0.4;0.39;0.66
200018083;CC de Desvres-Samer;0.53;0.7;0.76;0.23
200018166;CC Le Grésivaudan;-0.01;0.4;0.39;0.4
200018406;CC du Romorantinais et du Monestois;0.57;0.4;0.43;-0.14
200018521;CC du Val de Bouzanne;0.16;-0.4;-0.39;-0.54
200018653;CA Cap Excellence;-1.46;-0.7;-0.81;0.65
200022986;CC du Grand Pic Saint-Loup;0.84;1.2;1.03;0.19
200023075;CC du Pays de Maîche;-0.23;0.2;0.17;0.4
200023125;CC Les Portes Briardes entre Villes et Forêts;-0.34;0.2;0.2;0.53
200023240;CC Pays de Nemours;-0.24;-0.2;-0.09;0.14
200023299;CC Cœur de Tarentaise;-0.91;-0.7;-0.77;0.14
200023307;CA du Grand Villeneuvois;-0.11;-0.3;-0.29;-0.18
200023372;CC de la Vallée de Chamonix-Mont-Blanc;-0.59;-0.1;-0.16;0.43
200023414;Métropole Rouen Normandie;-0.23;0.2;0.15;0.38
200023620;CC de la Gascogne Toulousaine;1.68;2.1;2.28;0.59
200023737;CA du Grand Cahors;0.58;0.4;0.34;-0.23
200023778;CA du Pays de Saint-Gilles-Croix-de-Vie;1.63;1.2;1.09;-0.54
200023794;CC de Blaye;0.18;0.1;0.07;-0.11
200023919;CC Gâtinais Val de Loing;-0.43;-0.5;-0.55;-0.12
200026573;CC Haut-Jura Saint-Claude;-1.48;-1.5;-1.51;-0.03
200027027;CC Arc Sud Bretagne;0.95;1;0.99;0.04
200027076;CC Arnon Boischaut Cher;0.07;-0.4;-0.41;-0.48
200027100;CC Méditerranée Porte des Maures;2.38;2;2.16;-0.21
200027183;CU Perpignan Méditerranée Métropole;0.43;0.5;0.49;0.07
200027217;CC Sarlat-Périgord Noir;-0.05;-0.4;-0.54;-0.49
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;-0.22;-0.5;-0.37;-0.14
200027548;CC des Savanes;-2.83;-0.6;-0.71;2.13
200029734;CC des 4B Sud Charente;0.18;-0.1;-0.16;-0.34
200029999;CC Rives de l'Ain - Pays du Cerdon;0.83;0.9;1.03;0.19
200030195;Métropole Nice Côte d'Azur;-0.02;0.3;0.16;0.18
200030385;CA de Blois Agglopolys;-0.12;0.1;0.13;0.25
200030435;CC d'Aire-sur-l'Adour;0.29;0;-0.07;-0.36
200030526;CC du Ried de Marckolsheim;0.17;0.5;0.52;0.36
200030633;CA du Caudrésis et du Catésis;-0.44;-0.4;-0.31;0.13
200030658;CC du Trièves;0.46;0.4;0.49;0.03
200030674;CA Val de Garonne Agglomération;0.41;0.1;0.14;-0.27
200032514;CC Berry-Loire-Vauvise;-0.51;-1;-1.06;-0.56
200033025;CA de Bar-le-Duc - Sud Meuse;-0.65;-0.9;-0.97;-0.33
200033090;CC Plaines et Monts de France;0.26;1;1.05;0.79
200033116;CC Cluses-Arve et Montagnes;-0.21;0.5;0.56;0.78
200033173;CC de la Haute Vallée de Chevreuse;0.28;0;0.08;-0.2
200033181;CA Chartres Métropole;-0.21;0.2;0.2;0.41
200033298;CC des Coëvrons;-0.09;-0.2;-0.26;-0.16
200033579;CU d'Arras;-0.01;0.3;0.26;0.27
200033827;CC de Fium'orbu Castellu;0.67;0.7;0.64;-0.03
200033868;CC des Ballons des Hautes-Vosges;-0.13;-0.7;-0.61;-0.48
200034023;CC Tarn-Agout;0.61;1;0.84;0.23
200034031;CC des Monts d'Alban et du Villefranchois;0.56;0.4;0.49;-0.07
200034049;CC Centre Tarn;0.44;0.5;0.55;0.11
200034056;CC du Lautrécois et du Pays d'Agout;0.23;0;0.13;-0.1
200034064;CC du Cordais et du Causse (4 C);-0.15;-0.6;-0.8;-0.65
200034098;CC des Montagnes du Giffre;0.56;0.6;0.78;0.22
200034130;CC Gally Mauldre;0.04;0.3;0.22;0.18
200034197;CC de Montaigne Montravel et Gurson;0.44;0.2;0.28;-0.16
200034205;CC de la Costa Verde;2.57;2.1;2.39;-0.18
200034270;CC du Pays de Barr;0.31;0.3;0.45;0.14
200034379;CC Pays d'Uzès;0.35;0.1;0.09;-0.26
200034411;CC du Piémont Cévenol;0.9;0.7;0.74;-0.16
200034601;CC Causses Aigoual Cévennes;0.13;-0.7;-0.7;-0.83
200034635;CC du Kochersberg;0.64;1;0.93;0.28
200034692;CA du Gard Rhodanien;0.22;0.4;0.45;0.23
200034700;CA Durance-Lubéron-Verdon Agglomération;0.43;0.3;0.34;-0.08
200034718;CC de Vitry, Champagne et Der;-1.14;-1.4;-1.26;-0.12
200034726;CC Bastides de Lomagne;0.76;0.3;0.27;-0.49
200034825;CA du Grand Guéret;0.3;-0.2;-0.1;-0.4
200034833;CC des Bastides Dordogne-Périgord;0.37;-0.5;-0.56;-0.93
200034874;CC Côtes de Meuse Woëvre;-0.35;0;-0.01;0.34
200034882;CC Pays du Mont-Blanc;0.08;0.4;0.33;0.25
200034957;CC du Frontonnais;1.17;1.7;1.66;0.5
200035087;CA Terre de Provence;0.37;0.6;0.67;0.3
200035103;CC de la Vallée de la Haute Sarthe;-0.75;-0.9;-0.83;-0.07
200035111;CC des Sources de l'Orne;-0.5;-0.6;-0.61;-0.11
200035129;CC de Cèze Cévennes;0.42;-0.3;-0.4;-0.82
200035137;CC Marche Occitane - Val d'Anglin;-0.81;-1.6;-1.7;-0.88
200035202;CC Charlieu-Belmont;0.01;0;-0.06;-0.07
200035319;CA Estérel Côte d'Azur Agglomération;1.16;1;1;-0.15
200035327;CC Cazals-Salviac;1.11;0.2;0.2;-0.92
200035442;CC du Sud-Artois;-0.14;-0.2;-0.18;-0.03
200035533;CC du Grand Saint-Émilionnais;-0.8;-0.8;-0.86;-0.06
200035541;CC des Landes d'Armagnac;0.51;-0.1;-0.1;-0.61
200035632;CC Armagnac Adour;0.92;0;0.03;-0.89
200035707;CC Piège Lauragais Malepère;0.13;-0.1;-0.22;-0.35
200035715;CA Carcassonne Agglo;0.36;0.4;0.34;-0.01
200035723;CC Ventoux Sud;0.88;0.6;0.6;-0.28
200035731;CA Roannais Agglomération;-0.05;-0.1;-0.06;-0.01
200035756;CC Astarac Arros en Gascogne;-0.1;-0.5;-0.52;-0.42
200035764;CC de la Beauce Loirétaine;0.16;0.6;0.57;0.41
200035772;CC du Pays du Saintois;-0.27;-0.2;-0.19;0.08
200035814;CA Flers Agglo;-0.11;-0.3;-0.26;-0.14
200035848;CC du Châtillonnais en Berry;0.21;-1.3;-1.16;-1.37
200035855;CC Castelnaudary Lauragais Audois;0.8;0.8;0.77;-0.03
200035863;CC Région Lézignanaise, Corbières et Minervois;0.58;0.4;0.4;-0.18
200035970;CC Vexin Centre;-0.04;0.3;0.42;0.46
200036069;CC du Pays de Mortagne-au-Perche;-0.69;-1.1;-1.14;-0.45
200036077;CC du Golfe de Saint-Tropez;0.6;0.3;0.43;-0.18
200036135;CC Cœur de France;-0.45;-0.9;-1.06;-0.61
200036150;CC des Hauts du Val de Saône;-0.24;-0.8;-0.81;-0.57
200036465;CC de Thann-Cernay;-0.42;-0.3;-0.38;0.03
200036473;CA de Saintes;0.31;0.2;0.1;-0.22
200036499;CC de Marana-Golo;1;1.3;1.5;0.51
200036523;CC des Bastides en Haut-Agenais Périgord;0.48;-0.2;-0.15;-0.63
200036549;CC Val de Gray;0.11;-0.3;-0.3;-0.41
200037059;CC de la Haute Somme (Combles - Péronne - Roisel);-0.3;-0.5;-0.48;-0.17
200037133;CC du Provinois;-0.21;0.1;0.06;0.27
200038958;CC de la Pieve de l'Ornano et du Taravo;2.31;1.9;1.87;-0.44
200038990;CC de Saint-Méen Montauban;0.23;0.5;0.5;0.27
200039022;CA Vitré Communauté;0.21;0.7;0.66;0.45
200039055;CC Ouche et Montagne;-0.01;0.4;0.3;0.3
200039063;CC Forêts, Seine et Suzon;1.27;0.8;0.89;-0.38
200039204;CC de Lacq-Orthez;0.06;-0.1;-0.01;-0.07
200039519;CC du Quercy Blanc;0.06;-0.4;-0.45;-0.51
200039642;CC Le Tonnerrois en Bourgogne;-0.7;-1.6;-1.49;-0.79
200039709;CC du Serein;-0.61;-1.4;-1.5;-0.89
200039758;CC Avallon, Vézelay, Morvan;-0.77;-1.1;-1.18;-0.41
200039808;CC des Gorges de l'Ardèche;1.27;0.9;0.88;-0.39
200039824;CC Ardèche des Sources et Volcans;0.38;0;-0.24;-0.62
200039832;CC Pays des Vans en Cévennes;1.65;0.8;0.81;-0.83
200039857;CA du Pays de Grasse;-0.47;-0.2;-0.28;0.19
200039865;Metz Métropole;-0.35;0.2;-0.03;0.32
200039907;CC du Sud Messin;0.48;1;0.95;0.47
200039915;CA Cannes Pays de Lérins;0.06;0.1;-0.14;-0.19
200039931;CC Alpes d'Azur;0.22;-0.2;-0.17;-0.39
200039949;CC Rives de Moselle;-0.01;0.4;0.31;0.32
200040038;CC Saône Doubs Bresse;0.18;0.3;0.16;-0.02
200040095;CC Isle Vern Salembre en Périgord;0.42;-0.1;0.02;-0.4
200040111;CC Cœur de Chartreuse;0.2;0.2;0.22;0.02
200040137;CC des Lacs de Champagne;-0.46;-0.9;-0.94;-0.47
200040178;CC de l'Outre-Forêt;0.22;0.2;0.3;0.08
200040202;CC Provence Verdon;0.59;0.4;0.41;-0.19
200040210;CC Lacs et Gorges du Verdon;1.76;1.1;1.33;-0.43
200040244;CA du Bocage Bressuirais;0.07;0.3;0.25;0.18
200040251;CC Bassée-Montois;-0.13;-0.2;-0.14;-0.01
200040277;CA Agglo du Pays de Dreux;-0.44;0.1;0.07;0.52
200040293;CC du Clunisois;1.12;0.3;0.26;-0.86
200040350;CC Bugey Sud;0.45;0.5;0.47;0.02
200040384;CC Isle Double Landais;0.92;0.4;0.28;-0.64
200040392;CA Le Grand Périgueux;0.24;0.1;0.11;-0.13
200040400;CC du Périgord Ribéracois;0.63;-0.3;-0.22;-0.85
200040418;CC du Pays de Serres en Quercy;-0.12;-0.6;-0.68;-0.56
200040426;CC du Val de l'Oise;-0.48;-0.4;-0.48;0
200040442;CA Luberon Monts de Vaucluse;0.32;0.4;0.48;0.16
200040459;CA Montélimar Agglomération;0.96;1.2;1.32;0.36
200040475;CC Loué - Brûlon - Noyen;-0.52;-0.3;-0.28;0.24
200040491;CC Porte de Drômardèche;0.42;0.6;0.64;0.23
200040509;CC du Crestois et de Pays de Saillans Cœur de Drôme;1.39;1.2;1.22;-0.17
200040558;CC Écueillé-Valençay;-0.35;-1.3;-1.41;-1.06
200040566;CA de l'Ouest Rhodanien;0.02;0;0.06;0.04
200040574;CC Beaujolais Pierres Dorées;0.84;1.1;1.18;0.34
200040590;CA Villefranche Beaujolais Saône;-0.41;0.3;0.32;0.73
200040624;CC Pays d'Apt-Luberon;-0.67;-0.7;-0.86;-0.19
200040657;CC de la Matheysine;-0.21;-0.3;-0.33;-0.12
200040681;CC Enclave des Papes-Pays de Grignan;0.19;0;0.01;-0.18
200040715;Grenoble-Alpes-Métropole;-0.5;0.1;0.1;0.61
200040764;CC du Sud Corse;0.73;0.5;1.16;0.43
200040772;CC du Perche et Haut Vendômois;0.12;-0.2;-0.19;-0.31
200040798;CC Val Vanoise;-0.99;-0.5;-0.59;0.4
200040814;CC Briance Sud Haute Vienne;0.26;-0.1;-0.18;-0.44
200040830;CC du Pays de Fénelon;0.6;0;0.02;-0.58
200040889;CC de Portes Sud Périgord;1.19;0.3;0.36;-0.82
200040905;CC Carmausin-Ségala;0.51;0.2;0.16;-0.35
200040947;CC de Flandre Intérieure;0.05;0.3;0.26;0.21
200040954;CC des Hauts de Flandre;-0.04;0.2;0.18;0.23
200041010;CC Cœur de Savoie;0.6;0.8;0.84;0.23
200041051;CC Vallée de la Dordogne et Forêt Bessède;0.83;-0.1;-0.03;-0.86
200041150;CC Terrassonnais Haut Périgord Noir;0;-0.4;-0.44;-0.43
200041168;CC de la Vallée de l'Homme;0.46;-0.3;-0.38;-0.84
200041283;CC de la Plaine du Rhin;0.09;0.1;0.08;-0.01
200041317;CA du Niortais;0.41;0.5;0.49;0.09
200041325;CC du Pays Rhénan;0.23;0.4;0.4;0.17
200041333;CC de Parthenay-Gâtine;0.19;-0.3;-0.18;-0.37
200041366;CC Rhône Crussol;0.37;0.5;0.56;0.19
200041416;CC Airvaudais-Val du Thouet;0.37;-0.3;-0.28;-0.65
200041440;CC de Domme-Villefranche du Périgord;0.12;-0.6;-0.67;-0.79
200041465;CC Val Eyrieux;-0.18;-0.9;-1.02;-0.84
200041499;CC Aunis Atlantique;0.9;1.3;1.25;0.36
200041507;CA La Riviera du Levant;-1.62;-1;-1.09;0.54
200041515;CC du Bassin de Pont-à-Mousson;-0.32;0.1;0.09;0.4
200041523;CC de la Haute Saintonge;0.55;0.1;0.13;-0.43
200041556;CC Portes de la Creuse en Marche;1.16;-0.2;-0.19;-1.35
200041572;CC Dronne et Belle;0.48;-0.4;-0.44;-0.92
200041614;CC Aunis Sud;0.57;0.8;0.79;0.21
200041622;CC Ardennes Thiérache;-0.44;-0.6;-0.53;-0.08
200041630;CA Ardenne Métropole;-1.02;-0.9;-1;0.02
200041689;CC Vals de Saintonge Communauté;0.28;-0.3;-0.29;-0.57
200041721;CC de la Haute Comté;-0.69;-0.9;-0.9;-0.21
200041762;CA Rochefort Océan;0.17;0;-0.1;-0.27
200041788;CA du Pays Nord Martinique;-1.25;-1.2;-1.14;0.11
200041853;CC du Pays de Montbozon et du Chanois;0.41;0.1;0.09;-0.31
200041861;CC du Triangle Vert;-0.38;-0.1;-0.19;0.2
200041879;CC Terres de Saône;-0.64;-0.5;-0.44;0.2
200041887;CC du Val Marnaysien;0.19;0.7;0.79;0.6
200041960;CC Pévèle-Carembault;0.36;0.7;0.71;0.35
200041994;CC Haut Val de Sèvre;0.66;0.7;0.78;0.12
200042000;CC Bruyères-Vallons des Vosges;-0.29;-0.5;-0.54;-0.25
200042174;CA Lorient Agglomération;0.42;0.3;0.3;-0.12
200042182;CC du Mont des Avaloirs;-0.37;-0.8;-0.79;-0.42
200042190;CA de la Porte du Hainaut;-0.41;0;-0.02;0.39
200042372;CC des Coteaux Arrats Gimone;0.87;0.6;0.6;-0.27
200042414;CC Bresse Revermont 71;0.59;0.2;0.19;-0.39
200042463;CC de la Montagne Noire;0.62;-0.1;-0.02;-0.64
200042497;CC Dombes Saône Vallée;0.98;1.4;1.42;0.43
200042604;CC de Granville, Terre et Mer;0.52;0;0;-0.52
200042620;CC de la Région de Suippes;-0.42;0;-0.03;0.39
200042646;CC Grand Orb communauté de communes en Languedoc;0.23;-0.6;-0.57;-0.8
200042653;CC Sud-Hérault;1.04;0.5;0.47;-0.57
200042703;CC de l'Argonne Champenoise;-0.12;-0.5;-0.6;-0.48
