Insee - Statistiques locales; ; 
Référentiel géographique : France par arrondissement; ; 
Code;Libellé;Population municipale 2019
011;Belley;122624
012;Bourg-en-Bresse;337769
013;Gex;98257
014;Nantua;93782
021;Château-Thierry;70133
022;Laon;155351
023;Saint-Quentin;127461
024;Soissons;107600
025;Vervins;70800
031;Montluçon;105988
032;Moulins;104994
033;Vichy;124993
041;Barcelonnette;7770
042;Castellane;11422
043;Digne-les-Bains;47463
044;Forcalquier;97653
051;Briançon;34280
052;Gap;106940
061;Grasse;568675
062;Nice;525608
071;Largentière;103089
072;Privas;85714
073;Tournon-sur-Rhône;139475
081;Charleville-Mézières;155233
082;Rethel;37303
083;Sedan;56476
084;Vouziers;21570
091;Foix;47433
092;Pamiers;64972
093;Saint-Girons;40882
101;Bar-sur-Aube;27802
102;Nogent-sur-Seine;53988
103;Troyes;228452
111;Carcassonne;162376
112;Limoux;42091
113;Narbonne;169603
121;Millau;79672
122;Rodez;112301
123;Villefranche-de-Rouergue;87622
131;Aix-en-Provence;455914
132;Arles;171157
133;Marseille;1085819
134;Istres;330220
141;Bayeux;73466
142;Caen;390471
143;Lisieux;159824
144;Vire;71144
151;Aurillac;81939
152;Mauriac;25357
153;Saint-Flour;37396
161;Angoulême;181745
162;Cognac;99168
163;Confolens;71102
171;Jonzac;68248
172;Rochefort;191475
173;La Rochelle;222349
174;Saintes;117287
175;Saint-Jean-d'Angély;51999
181;Bourges;171566
182;Saint-Amand-Montrond;62042
183;Vierzon;68698
191;Brive-la-Gaillarde;128029
192;Tulle;70807
193;Ussel;41237
211;Beaune;109734
212;Dijon;365872
213;Montbard;58518
221;Dinan;104296
222;Guingamp;125097
223;Lannion;99747
224;Saint-Brieuc;271442
231;Aubusson;43625
232;Guéret;72992
241;Bergerac;102458
242;Nontron;54035
243;Périgueux;175640
244;Sarlat-la-Canéda;81090
251;Besançon;251717
252;Montbéliard;175970
253;Pontarlier;116287
261;Die;67643
262;Nyons;151600
263;Valence;297519
271;Les Andelys;235250
272;Bernay;226293
273;Évreux;137964
281;Chartres;209576
282;Châteaudun;57999
283;Dreux;128825
284;Nogent-le-Rotrou;35175
291;Brest;378492
292;Châteaulin;81058
293;Morlaix;129460
294;Quimper;326080
2A1;Ajaccio;117950
2A4;Sartène;40557
2B2;Bastia;91790
2B3;Corte;59417
2B5;Calvi;30726
301;Alès;150479
302;Nîmes;558707
303;Le Vigan;39251
311;Muret;227164
312;Saint-Gaudens;77654
313;Toulouse;1095221
321;Auch;82674
322;Condom;66962
323;Mirande;41741
331;Blaye;92878
332;Bordeaux;991393
333;Langon;133850
334;Lesparre-Médoc;92053
335;Libourne;154923
336;Arcachon;158652
341;Béziers;317835
342;Lodève;144166
343;Montpellier;713622
351;Fougères-Vitré;186228
352;Redon;103731
353;Rennes;620074
354;Saint-Malo;169465
361;Le Blanc;30846
362;Châteauroux;127138
363;La Châtre;27895
364;Issoudun;33437
371;Chinon;103524
372;Tours;389629
373;Loches;116926
381;Grenoble;743754
382;La Tour-du-Pin;310741
383;Vienne;216671
391;Dole;106252
392;Lons-le-Saunier;104273
393;Saint-Claude;48674
401;Dax;231593
402;Mont-de-Marsan;182097
411;Blois;150685
412;Vendôme;68072
413;Romorantin-Lanthenay;110713
421;Montbrison;184334
422;Roanne;156581
423;Saint-Étienne;424719
431;Brioude;45057
432;Le Puy-en-Velay;96973
433;Yssingeaux;85540
442;Nantes;864158
443;Saint-Nazaire;337148
445;Châteaubriant-Ancenis;227966
451;Montargis;169227
452;Orléans;447973
453;Pithiviers;63234
461;Cahors;73069
462;Figeac;54592
463;Gourdon;46433
471;Agen;119981
472;Marmande;83676
473;Villeneuve-sur-Lot;89093
474;Nérac;38521
481;Florac;13050
482;Mende;63554
491;Angers;389484
492;Cholet;223828
493;Saumur;134173
494;Segré;70788
501;Avranches;134218
502;Cherbourg;187447
503;Coutances;70326
504;Saint-Lô;103054
511;Châlons-en-Champagne;108747
512;Épernay;117765
513;Reims;296154
514;Vitry-le-François;44189
521;Chaumont;62626
522;Langres;42940
523;Saint-Dizier;66946
531;Château-Gontier;73520
532;Laval;114340
533;Mayenne;119202
541;Briey;167755
542;Lunéville;77284
543;Nancy;420120
544;Toul;68601
551;Bar-le-Duc;58349
552;Commercy;42538
553;Verdun;83196
561;Lorient;317144
562;Pontivy;155599
563;Vannes;286941
573;Forbach-Boulay-Moselle;239614
575;Sarrebourg-Château-Salins;91535
576;Sarreguemines;97488
577;Thionville;269974
579;Metz;347932
581;Château-Chinon (Ville);27593
582;Clamecy;20450
583;Nevers;113832
584;Cosne-Cours-sur-Loire;42577
591;Avesnes-sur-Helpe;227711
592;Cambrai;160208
593;Douai;245092
594;Dunkerque;374146
595;Lille;1249925
596;Valenciennes;351264
601;Beauvais;231249
602;Clermont;130571
603;Compiègne;182978
604;Senlis;284621
611;Alençon;85790
612;Argentan;108443
613;Mortagne-au-Perche;85709
621;Arras;249279
622;Béthune;292553
623;Boulogne-sur-Mer;157642
624;Montreuil;111299
625;Saint-Omer;129295
626;Calais;156977
627;Lens;368233
631;Ambert;27571
632;Clermont-Ferrand;362755
633;Issoire;79068
634;Riom;136440
635;Thiers;56318
641;Bayonne;302545
642;Oloron-Sainte-Marie;71807
643;Pau;308269
651;Argelès-Gazost;37527
652;Bagnères-de-Bigorre;48384
653;Tarbes;143656
661;Céret;131878
662;Perpignan;288033
663;Prades;60068
672;Haguenau-Wissembourg;243008
673;Molsheim;103948
674;Saverne;129543
675;Sélestat-Erstein;158286
678;Strasbourg;505272
681;Altkirch;69914
682;Colmar-Ribeauvillé;211650
684;Mulhouse;355829
686;Thann-Guebwiller;129693
691;Lyon;1622129
692;Villefranche-sur-Saône;253618
701;Lure;107891
702;Vesoul;127422
711;Autun;127616
712;Chalon-sur-Saône;156457
713;Charolles;86084
714;Louhans;67085
715;Mâcon;114251
721;La Flèche;149880
722;Mamers;150947
723;Le Mans;265585
731;Albertville;111978
732;Chambéry;281576
733;Saint-Jean-de-Maurienne;42880
741;Annecy;291261
742;Bonneville;189736
743;Saint-Julien-en-Genevois;193523
744;Thonon-les-Bains;151574
751;Paris;2165423
761;Dieppe;233699
762;Le Havre;385591
763;Rouen;636343
771;Meaux;337296
772;Melun;283360
773;Provins;184763
774;Fontainebleau;155817
775;Torcy;459961
781;Mantes-la-Jolie;276911
782;Rambouillet;228785
783;Saint-Germain-en-Laye;524951
784;Versailles;417560
791;Bressuire;109508
792;Niort;199847
793;Parthenay;65523
801;Abbeville;123892
802;Amiens;305667
803;Montdidier;47393
804;Péronne;93607
811;Albi;193307
812;Castres;196537
821;Castelsarrasin;78399
822;Montauban;182270
831;Draguignan;310401
832;Toulon;581459
833;Brignoles;184851
841;Apt;128651
842;Avignon;209360
843;Carpentras;223458
851;Fontenay-le-Comte;139290
852;La Roche-sur-Yon;300974
853;Les Sables-d'Olonne;245178
861;Châtellerault;108047
862;Montmorillon;66518
863;Poitiers;263870
871;Bellac;38258
872;Limoges;296438
873;Rochechouart;37663
881;Épinal;202252
882;Neufchâteau;52621
883;Saint-Dié-des-Vosges;109626
891;Auxerre;163440
892;Avallon;41298
893;Sens;130969
901;Belfort;141318
911;Étampes;131004
912;Évry;539918
913;Palaiseau;630737
921;Antony;403229
922;Nanterre;900667
923;Boulogne-Billancourt;320461
931;Bobigny;431444
932;Le Raincy;770290
933;Saint-Denis;443169
941;Créteil;321066
942;Nogent-sur-Marne;510395
943;L'Haÿ-les-Roses;575663
951;Argenteuil;424737
952;Sarcelles;477991
953;Pontoise;346946
9711;Basse-Terre;184765
9712;Pointe-à-Pitre;199474
9721;Fort-de-France;152102
9722;La Trinité;75238
9723;Le Marin;114824
9724;Saint-Pierre;22344
9731;Cayenne;184921
9732;Saint-Laurent-du-Maroni;96757
9741;Saint-Denis;211936
9742;Saint-Pierre;311401
9743;Saint-Benoît;127102
9744;Saint-Paul;210771
