Insee - Statistiques locales; ; 
Référentiel géographique : France par commune; ; 
Code;Libellé;Population municipale 2019
01001;L'Abergement-Clémenciat;779
01002;L'Abergement-de-Varey;256
01004;Ambérieu-en-Bugey;14134
01005;Ambérieux-en-Dombes;1751
01006;Ambléon;112
01007;Ambronay;2800
01008;Ambutrix;762
01009;Andert-et-Condon;326
01010;Anglefort;1105
01011;Apremont;368
01012;Aranc;329
01013;Arandas;143
01014;Arbent;3349
01015;Arboys en Bugey;650
01016;Arbigny;460
01017;Argis;457
01019;Armix;27
01021;Ars-sur-Formans;1457
01022;Artemare;1249
01023;Asnières-sur-Saône;76
01024;Attignat;3251
01025;Bâgé-Dommartin;4065
01026;Bâgé-le-Châtel;973
01027;Balan;2563
01028;Baneins;617
01029;Beaupont;685
01030;Beauregard;829
01031;Bellignat;3652
01032;Béligneux;3376
01033;Valserhône;16378
01034;Belley;9182
01035;Belleydoux;310
01036;Valromey-sur-Séran;1326
01037;Bénonces;308
01038;Bény;754
01039;Béon;443
01040;Béréziat;486
01041;Bettant;748
01042;Bey;291
01043;Beynost;4754
01044;Billiat;632
01045;Birieux;283
01046;Biziat;895
01047;Blyes;1182
01049;La Boisse;3283
01050;Boissey;365
01051;Bolozon;91
01052;Bouligneux;328
01053;Bourg-en-Bresse;41111
01054;Bourg-Saint-Christophe;1457
01056;Boyeux-Saint-Jérôme;349
01057;Boz;519
01058;Brégnier-Cordon;828
01060;Brénod;493
01061;Brens;1144
01062;Bressolles;934
01063;Brion;533
01064;Briord;1070
01065;Buellas;1812
01066;La Burbanche;89
01067;Ceignes;255
01068;Cerdon;775
01069;Certines;1503
01071;Cessy;4808
01072;Ceyzériat;3194
01073;Ceyzérieu;1000
01074;Chalamont;2589
01075;Chaleins;1382
01076;Chaley;125
01077;Challes-la-Montagne;196
01078;Challex;1557
01079;Champagne-en-Valromey;811
01080;Champdor-Corcelles;643
01081;Champfromier;735
01082;Chanay;628
01083;Chaneins;927
01084;Chanoz-Châtenay;895
01085;La Chapelle-du-Châtelard;400
01087;Charix;282
01088;Charnoz-sur-Ain;903
01089;Château-Gaillard;2253
01090;Châtenay;356
01092;Châtillon-la-Palud;1604
01093;Châtillon-sur-Chalaronne;4931
01094;Chavannes-sur-Reyssouze;761
01095;Nivigne et Suran;853
01096;Chaveyriat;1034
01098;Chazey-Bons;1159
01099;Chazey-sur-Ain;1566
01100;Cheignieu-la-Balme;131
01101;Chevillard;152
01102;Chevroux;961
01103;Chevry;2149
01104;Chézery-Forens;461
01105;Civrieux;1829
01106;Cize;179
01107;Cleyzieu;133
01108;Coligny;1176
01109;Collonges;2226
01110;Colomieu;156
01111;Conand;132
01112;Condamine;450
01113;Condeissiat;817
01114;Confort;667
01115;Confrançon;1333
01116;Contrevoz;498
01117;Conzieu;151
01118;Corbonod;1278
01121;Corlier;116
01123;Cormoranche-sur-Saône;1162
01124;Cormoz;689
01125;Corveissiat;612
01127;Courmangoux;508
01128;Courtes;305
01129;Crans;291
01130;Bresse Vallons;2363
01133;Cressin-Rochefort;394
01134;Crottet;1758
01135;Crozet;2171
01136;Cruzilles-lès-Mépillat;893
01138;Culoz;3004
01139;Curciat-Dongalon;444
01140;Curtafond;767
01141;Cuzieu;453
01142;Dagneux;4777
01143;Divonne-les-Bains;9951
01145;Dompierre-sur-Veyle;1179
01146;Dompierre-sur-Chalaronne;436
01147;Domsure;492
01148;Dortan;1879
01149;Douvres;1076
01150;Drom;214
01151;Druillat;1146
01152;Échallon;748
01153;Échenevex;2115
01155;Évosges;143
01156;Faramans;815
01157;Fareins;2250
01158;Farges;1048
01159;Feillens;3365
01160;Ferney-Voltaire;10026
01162;Flaxieu;65
01163;Foissiat;2038
01165;Francheleins;1594
01166;Frans;2423
01167;Garnerans;634
01169;Genouilleux;641
01170;Béard-Géovreissiat;1053
01171;Géovreisset;844
01173;Gex;13121
01174;Giron;178
01175;Gorrevod;784
01177;Grand-Corent;183
01179;Grièges;1881
01180;Grilly;839
01181;Groissiat;1241
01183;Guéreins;1479
01184;Hautecourt-Romanèche;763
01185;Plateau d'Hauteville;4844
01187;Haut Valromey;618
01188;Illiat;663
01189;Injoux-Génissiat;1115
01190;Innimond;87
01191;Izenave;154
01192;Izernore;2277
01193;Izieu;222
01194;Jassans-Riottier;6346
01195;Jasseron;1783
01196;Jayat;1226
01197;Journans;351
01198;Joyeux;268
01199;Jujurieux;2137
01200;Labalme;214
01202;Lagnieu;7161
01203;Laiz;1313
01204;Le Poizat-Lalleyriat;735
01206;Lantenay;277
01207;Lapeyrouse;317
01208;Lavours;131
01209;Léaz;778
01210;Lélex;228
