Insee - Statistiques locales; ; ; ; ; ; ; 
Référentiel géographique : France par région; ; ; ; ; ; ; 
Code;Libellé;Population municipale 2019;Estimations de population 2022;Estimations de population : part des 0 à 24 ans 2022;Estimations de population : part des 25 à 59 ans 2022;Estimations de population : part des 60 ans ou plus 2022;Estimations de population : part des 75 ans ou plus 2022
01;Guadeloupe;384239;372939;28.6;42.2;29.2;9.7
02;Martinique;364508;350373;26.1;42.1;31.8;10.7
03;Guyane;281678;294436;48.1;41.7;10.2;2.3
04;La Réunion;861210;868846;35.2;44.8;20.1;5.5
06;Mayotte;N/A;299348;60.2;35.5;4.3;0.9
11;Île-de-France;12262544;12395148;32;47.1;20.9;7.1
24;Centre-Val de Loire;2573180;2564915;28.4;41.5;30.1;11.2
27;Bourgogne-Franche-Comté;2805580;2785393;27.6;41.4;31;11.5
28;Normandie;3325032;3307286;28.8;41.7;29.5;10.5
32;Hauts-de-France;6004947;5987172;31.3;43.3;25.4;8.4
44;Grand Est;5556219;5542094;28.4;43.5;28.1;9.7
52;Pays de la Loire;3806461;3873096;29.9;42.2;28;10.2
53;Bretagne;3354854;3402932;28.3;41.5;30.2;11.1
75;Nouvelle-Aquitaine;6010289;6081985;26.5;41.7;31.7;12
76;Occitanie;5933185;6053548;27.7;42.3;30;11.3
84;Auvergne-Rhône-Alpes;8042936;8153233;29.8;43.6;26.7;9.9
93;Provence-Alpes-Côte d'Azur;5081101;5131187;27.5;42.3;30.2;11.9
94;Corse;340440;349465;24.9;43.9;31.1;12.1
