Insee - Statistiques locales; ; 
Référentiel géographique : France par intercommunalité; ; 
Code;Libellé;Population municipale 2019
200000172;CC Faucigny-Glières;27181
200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;35656
200000545;CC des Portes de Romilly-sur-Seine;18593
200000628;CC Rhône Lez Provence;23838
200000800;CC Cœur de Sologne;10517
200000925;CC de la Plaine Dijonnaise;22050
200000933;CC Sauldre et Sologne;14555
200004802;CC du Pays de Fayence;28266
200005932;CC des Portes de Sologne;15440
200005957;CC de la Région de Rambervillers;12999
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;51207
200006716;CC du Nogentais;16791
200006930;CC du Haut Allier;5188
200006971;CC du Perche;18119
200007052;CC de la Marche Berrichonne;5621
200007177;CC Pays de Nérondes;4832
200010650;CA du Grand Dole;54626
200010700;CA Caux Seine Agglo;78006
200011773;CA Annemasse-les Voirons-Agglomération;90562
200011781;CC Portes du Berry entre Loire et Val d'Aubois;9540
200013050;CC Sauer-Pechelbronn;17379
200015162;CC de l'Oriente;6024
200016905;CC du Pays de Lamastre;6711
200017341;CC Lodévois et Larzac;14764
200017846;CA Étampois Sud-Essonne;54673
200018083;CC de Desvres-Samer;23301
200018166;CC Le Grésivaudan;102188
200018406;CC du Romorantinais et du Monestois;33566
200018521;CC du Val de Bouzanne;5985
200018653;CA Cap Excellence;99532
200022986;CC du Grand Pic Saint-Loup;49676
200023075;CC du Pays de Maîche;18621
200023125;CC Les Portes Briardes entre Villes et Forêts;45937
200023240;CC Pays de Nemours;29574
200023299;CC Cœur de Tarentaise;9138
200023307;CA du Grand Villeneuvois;47571
200023372;CC de la Vallée de Chamonix-Mont-Blanc;13110
200023414;Métropole Rouen Normandie;494299
200023620;CC de la Gascogne Toulousaine;22299
200023737;CA du Grand Cahors;41795
200023778;CA du Pays de Saint-Gilles-Croix-de-Vie;50311
200023794;CC de Blaye;20078
200023919;CC Gâtinais Val de Loing;18662
200026573;CC Haut-Jura Saint-Claude;20009
200027027;CC Arc Sud Bretagne;28125
200027076;CC Arnon Boischaut Cher;8080
200027100;CC Méditerranée Porte des Maures;44692
200027183;CU Perpignan Méditerranée Métropole;270200
200027217;CC Sarlat-Périgord Noir;16085
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;8254
200027548;CC des Savanes;29773
200029734;CC des 4B Sud Charente;19921
200029999;CC Rives de l'Ain - Pays du Cerdon;14671
200030195;Métropole Nice Côte d'Azur;550498
200030385;CA de Blois Agglopolys;105445
200030435;CC d'Aire-sur-l'Adour;12864
200030526;CC du Ried de Marckolsheim;20330
200030633;CA du Caudrésis et du Catésis;64124
200030658;CC du Trièves;10120
200030674;CA Val de Garonne Agglomération;60226
200032514;CC Berry-Loire-Vauvise;5462
200033025;CA de Bar-le-Duc - Sud Meuse;34222
200033090;CC Plaines et Monts de France;25067
200033116;CC Cluses-Arve et Montagnes;46162
200033173;CC de la Haute Vallée de Chevreuse;25062
200033181;CA Chartres Métropole;136538
200033298;CC des Coëvrons;27140
200033579;CU d'Arras;108712
200033827;CC de Fium'orbu Castellu;13059
200033868;CC des Ballons des Hautes-Vosges;14987
200034023;CC Tarn-Agout;29234
200034031;CC des Monts d'Alban et du Villefranchois;6427
200034049;CC Centre Tarn;11118
200034056;CC du Lautrécois et du Pays d'Agout;14356
200034064;CC du Cordais et du Causse (4 C);5019
200034098;CC des Montagnes du Giffre;12142
200034130;CC Gally Mauldre;22100
200034197;CC de Montaigne Montravel et Gurson;12010
200034205;CC de la Costa Verde;10725
200034270;CC du Pays de Barr;24178
200034379;CC Pays d'Uzès;28961
200034411;CC du Piémont Cévenol;22029
200034601;CC Causses Aigoual Cévennes;5352
200034635;CC du Kochersberg;26130
200034692;CA du Gard Rhodanien;74645
200034700;CA Durance-Lubéron-Verdon Agglomération;62563
200034718;CC de Vitry, Champagne et Der;23641
200034726;CC Bastides de Lomagne;11254
200034825;CA du Grand Guéret;28527
200034833;CC des Bastides Dordogne-Périgord;18642
200034874;CC Côtes de Meuse Woëvre;5977
200034882;CC Pays du Mont-Blanc;45179
200034957;CC du Frontonnais;27217
200035087;CA Terre de Provence;59775
200035103;CC de la Vallée de la Haute Sarthe;7555
200035111;CC des Sources de l'Orne;11913
200035129;CC de Cèze Cévennes;19228
200035137;CC Marche Occitane - Val d'Anglin;6610
200035202;CC Charlieu-Belmont;23453
200035319;CA Estérel Côte d'Azur Agglomération;116268
200035327;CC Cazals-Salviac;5366
200035442;CC du Sud-Artois;27232
200035533;CC du Grand Saint-Émilionnais;14411
200035541;CC des Landes d'Armagnac;10789
200035632;CC Armagnac Adour;6788
200035707;CC Piège Lauragais Malepère;15875
200035715;CA Carcassonne Agglo;113933
200035723;CC Ventoux Sud;9474
200035731;CA Roannais Agglomération;100262
200035756;CC Astarac Arros en Gascogne;7185
200035764;CC de la Beauce Loirétaine;16914
200035772;CC du Pays du Saintois;14314
