Insee - Statistiques locales
Référentiel géographique : France par arrondissement
Code;Libellé
011;Belley
012;Bourg-en-Bresse
013;Gex
014;Nantua
021;Château-Thierry
022;Laon
023;Saint-Quentin
024;Soissons
025;Vervins
031;Montluçon
032;Moulins
033;Vichy
041;Barcelonnette
042;Castellane
043;Digne-les-Bains
044;Forcalquier
051;Briançon
052;Gap
061;Grasse
062;Nice
071;Largentière
072;Privas
073;Tournon-sur-Rhône
081;Charleville-Mézières
082;Rethel
083;Sedan
084;Vouziers
091;Foix
092;Pamiers
093;Saint-Girons
101;Bar-sur-Aube
102;Nogent-sur-Seine
103;Troyes
111;Carcassonne
112;Limoux
113;Narbonne
121;Millau
122;Rodez
123;Villefranche-de-Rouergue
131;Aix-en-Provence
132;Arles
133;Marseille
134;Istres
141;Bayeux
142;Caen
143;Lisieux
144;Vire
151;Aurillac
152;Mauriac
153;Saint-Flour
161;Angoulême
162;Cognac
163;Confolens
171;Jonzac
172;Rochefort
173;La Rochelle
174;Saintes
175;Saint-Jean-d'Angély
181;Bourges
182;Saint-Amand-Montrond
183;Vierzon
191;Brive-la-Gaillarde
192;Tulle
193;Ussel
211;Beaune
212;Dijon
213;Montbard
221;Dinan
222;Guingamp
223;Lannion
224;Saint-Brieuc
231;Aubusson
232;Guéret
241;Bergerac
242;Nontron
243;Périgueux
244;Sarlat-la-Canéda
251;Besançon
252;Montbéliard
253;Pontarlier
261;Die
262;Nyons
263;Valence
271;Les Andelys
272;Bernay
273;Évreux
281;Chartres
282;Châteaudun
283;Dreux
284;Nogent-le-Rotrou
291;Brest
292;Châteaulin
293;Morlaix
294;Quimper
2A1;Ajaccio
2A4;Sartène
2B2;Bastia
2B3;Corte
2B5;Calvi
301;Alès
302;Nîmes
303;Le Vigan
311;Muret
312;Saint-Gaudens
313;Toulouse
321;Auch
322;Condom
323;Mirande
331;Blaye
332;Bordeaux
333;Langon
334;Lesparre-Médoc
335;Libourne
336;Arcachon
341;Béziers
342;Lodève
343;Montpellier
351;Fougères-Vitré
352;Redon
353;Rennes
354;Saint-Malo
361;Le Blanc
362;Châteauroux
363;La Châtre
364;Issoudun
371;Chinon
372;Tours
373;Loches
381;Grenoble
382;La Tour-du-Pin
383;Vienne
391;Dole
392;Lons-le-Saunier
393;Saint-Claude
401;Dax
402;Mont-de-Marsan
411;Blois
412;Vendôme
413;Romorantin-Lanthenay
421;Montbrison
422;Roanne
423;Saint-Étienne
431;Brioude
432;Le Puy-en-Velay
433;Yssingeaux
442;Nantes
443;Saint-Nazaire
445;Châteaubriant-Ancenis
451;Montargis
452;Orléans
453;Pithiviers
461;Cahors
462;Figeac
463;Gourdon
471;Agen
472;Marmande
473;Villeneuve-sur-Lot
