Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Code;Libellé;Arrondissements, 2022;Intercommunalités, 2022;Départements, 2022;Régions, 2022
01001;L'Abergement-Clémenciat;012 - Bourg-en-Bresse;200069193 - CC de la Dombes;01 - Ain;84 - Auvergne-Rhône-Alpes
01002;L'Abergement-de-Varey;011 - Belley;240100883 - CC de la Plaine de l'Ain;01 - Ain;84 - Auvergne-Rhône-Alpes
01004;Ambérieu-en-Bugey;011 - Belley;240100883 - CC de la Plaine de l'Ain;01 - Ain;84 - Auvergne-Rhône-Alpes
01005;Ambérieux-en-Dombes;012 - Bourg-en-Bresse;200042497 - CC Dombes Saône Vallée;01 - Ain;84 - Auvergne-Rhône-Alpes
01006;Ambléon;011 - Belley;200040350 - CC Bugey Sud;01 - Ain;84 - Auvergne-Rhône-Alpes
01007;Ambronay;011 - Belley;240100883 - CC de la Plaine de l'Ain;01 - Ain;84 - Auvergne-Rhône-Alpes
01008;Ambutrix;011 - Belley;240100883 - CC de la Plaine de l'Ain;01 - Ain;84 - Auvergne-Rhône-Alpes
01009;Andert-et-Condon;011 - Belley;200040350 - CC Bugey Sud;01 - Ain;84 - Auvergne-Rhône-Alpes
01010;Anglefort;011 - Belley;200070852 - CC Usses et Rhône;01 - Ain;84 - Auvergne-Rhône-Alpes
01011;Apremont;014 - Nantua;200042935 - CA Haut - Bugey Agglomération;01 - Ain;84 - Auvergne-Rhône-Alpes
01012;Aranc;011 - Belley;200042935 - CA Haut - Bugey Agglomération;01 - Ain;84 - Auvergne-Rhône-Alpes
01013;Arandas;011 - Belley;240100883 - CC de la Plaine de l'Ain;01 - Ain;84 - Auvergne-Rhône-Alpes
01014;Arbent;014 - Nantua;200042935 - CA Haut - Bugey Agglomération;01 - Ain;84 - Auvergne-Rhône-Alpes
01015;Arboys en Bugey;011 - Belley;200040350 - CC Bugey Sud;01 - Ain;84 - Auvergne-Rhône-Alpes
01016;Arbigny;012 - Bourg-en-Bresse;200071371 - CC Bresse et Saône;01 - Ain;84 - Auvergne-Rhône-Alpes
01017;Argis;011 - Belley;240100883 - CC de la Plaine de l'Ain;01 - Ain;84 - Auvergne-Rhône-Alpes
01019;Armix;011 - Belley;200040350 - CC Bugey Sud;01 - Ain;84 - Auvergne-Rhône-Alpes
01021;Ars-sur-Formans;012 - Bourg-en-Bresse;200042497 - CC Dombes Saône Vallée;01 - Ain;84 - Auvergne-Rhône-Alpes
01022;Artemare;011 - Belley;200040350 - CC Bugey Sud;01 - Ain;84 - Auvergne-Rhône-Alpes
01023;Asnières-sur-Saône;012 - Bourg-en-Bresse;200071371 - CC Bresse et Saône;01 - Ain;84 - Auvergne-Rhône-Alpes
01024;Attignat;012 - Bourg-en-Bresse;200071751 - CA du Bassin de Bourg-en-Bresse;01 - Ain;84 - Auvergne-Rhône-Alpes
01025;Bâgé-Dommartin;012 - Bourg-en-Bresse;200071371 - CC Bresse et Saône;01 - Ain;84 - Auvergne-Rhône-Alpes
